sample_id,scenario,category,label,video_path,sensor_path,weather,timing,egoinvolve,split
1,real_accident_day_normal_ego_no_000939,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_000939.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_000939.csv,normal,day,No,train
2,real_accident_day_normal_ego_no_001440,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_001440.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_001440.csv,normal,day,No,train
3,real_accident_day_normal_ego_no_001299,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_001299.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_001299.csv,normal,day,No,train
4,real_accident_day_normal_ego_no_000600,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_000600.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_000600.csv,normal,day,No,train
5,real_accident_day_normal_ego_no_001443,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_001443.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_001443.csv,normal,day,No,train
6,real_accident_day_normal_ego_no_000538,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_000538.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_000538.csv,normal,day,No,train
7,real_accident_day_normal_ego_no_000765,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_000765.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_000765.csv,normal,day,No,test
8,real_accident_day_normal_ego_no_001468,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_001468.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_001468.csv,normal,day,No,train
9,real_accident_day_normal_ego_no_000980,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_000980.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_000980.csv,normal,day,No,train
10,real_accident_day_normal_ego_no_000844,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_000844.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_000844.csv,normal,day,No,train
11,real_accident_day_normal_ego_no_001074,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_001074.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_001074.csv,normal,day,No,train
12,real_accident_day_normal_ego_no_001054,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_001054.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_001054.csv,normal,day,No,train
13,real_accident_day_normal_ego_no_000914,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_000914.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_000914.csv,normal,day,No,test
14,real_accident_day_normal_ego_no_000349,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_000349.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_000349.csv,normal,day,No,train
15,real_accident_day_normal_ego_no_000120,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_000120.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_000120.csv,normal,day,No,train
16,real_accident_day_normal_ego_no_000979,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_000979.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_000979.csv,normal,day,No,test
17,real_accident_day_normal_ego_no_000332,accident,1,data\ccd\videos\real_accident_day_normal_ego_no_000332.mp4,data\ccd\sensors\real_accident_day_normal_ego_no_000332.csv,normal,day,No,train
18,real_accident_day_normal_ego_yes_001046,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_001046.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_001046.csv,normal,day,Yes,train
19,real_accident_day_normal_ego_yes_000237,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_000237.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_000237.csv,normal,day,Yes,train
20,real_accident_day_normal_ego_yes_001086,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_001086.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_001086.csv,normal,day,Yes,val
21,real_accident_day_normal_ego_yes_000469,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_000469.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_000469.csv,normal,day,Yes,test
22,real_accident_day_normal_ego_yes_000316,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_000316.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_000316.csv,normal,day,Yes,train
23,real_accident_day_normal_ego_yes_001171,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_001171.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_001171.csv,normal,day,Yes,train
24,real_accident_day_normal_ego_yes_001108,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_001108.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_001108.csv,normal,day,Yes,train
25,real_accident_day_normal_ego_yes_000363,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_000363.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_000363.csv,normal,day,Yes,train
26,real_accident_day_normal_ego_yes_000218,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_000218.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_000218.csv,normal,day,Yes,train
27,real_accident_day_normal_ego_yes_001324,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_001324.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_001324.csv,normal,day,Yes,train
28,real_accident_day_normal_ego_yes_000015,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_000015.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_000015.csv,normal,day,Yes,train
29,real_accident_day_normal_ego_yes_000577,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_000577.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_000577.csv,normal,day,Yes,train
30,real_accident_day_normal_ego_yes_001208,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_001208.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_001208.csv,normal,day,Yes,val
31,real_accident_day_normal_ego_yes_000262,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_000262.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_000262.csv,normal,day,Yes,train
32,real_accident_day_normal_ego_yes_001079,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_001079.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_001079.csv,normal,day,Yes,train
33,real_accident_day_normal_ego_yes_001143,accident,1,data\ccd\videos\real_accident_day_normal_ego_yes_001143.mp4,data\ccd\sensors\real_accident_day_normal_ego_yes_001143.csv,normal,day,Yes,train
34,real_accident_night_normal_ego_no_001155,accident,1,data\ccd\videos\real_accident_night_normal_ego_no_001155.mp4,data\ccd\sensors\real_accident_night_normal_ego_no_001155.csv,normal,night,No,val
