timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.0579,0.4361,9.798,-0.0287,0.0106,0.0046,0
20,-0.1406,0.0477,9.6083,-0.0046,-0.0184,-0.0489,0
40,0.1244,0.0683,9.4667,-0.0244,-0.0135,-0.0206,0
60,-0.1063,0.2349,10.218,-0.0021,-0.023,-0.0111,0
80,0.1349,0.1333,10.0589,0.0279,0.0767,0.0965,0
100,-0.0493,0.6011,9.5036,-0.0662,0.0586,-0.0354,0
120,-0.3098,0.1707,9.8443,0.0444,0.0222,-0.0046,0
140,-0.1768,0.2603,9.788,-0.0456,0.053,-0.0215,0
160,-0.0775,0.3699,9.7497,-0.0123,0.0319,0.02,0
180,0.2463,0.3664,9.72,0.0498,0.0073,-0.0209,0
200,0.1622,0.242,9.8939,0.0131,-0.0602,-0.0456,0
220,0.2923,0.171,9.99,0.0136,-0.0105,-0.0078,0
240,0.2977,0.5643,9.8985,-0.0472,-0.0134,-0.012,0
261,-0.0963,0.182,9.7835,-0.0418,-0.0453,-0.0237,0
281,-0.0339,0.1205,9.7754,0.0377,-0.0594,-0.0216,0
301,-0.074,0.0837,10.0161,-0.0236,0.0197,0.0474,0
321,-0.1209,-0.1108,9.912,-0.0198,0.013,-0.0128,0
341,-0.3315,0.3479,9.826,0.0386,-0.0467,-0.0454,0
361,-0.0027,-0.2227,9.8021,-0.042,-0.0298,-0.0185,0
381,-0.2314,0.199,9.886,0.0108,0.0464,0.0022,0
401,-0.0062,0.1631,9.707,0.0017,-0.0351,-0.0535,0
421,0.3808,0.6032,9.9907,-0.0001,0.0068,0.065,0
441,-0.0917,-0.1297,9.5733,-0.0207,-0.0076,0.0347,0
461,0.0351,0.0378,9.7195,-0.0232,0.0203,0.0572,0
481,0.1632,0.1755,9.9444,-0.0431,-0.0342,0.0157,0
502,0.0505,0.1644,9.5608,0.0193,0.0036,-0.0837,0
522,0.0526,0.1011,9.4639,-0.0267,0.0067,0.0614,0
542,-0.0652,0.1854,9.8239,0.0387,0.0092,-0.0345,0
562,-0.0417,-0.0267,9.4368,-0.009,0.0032,-0.0313,0
582,-0.1728,0.2643,9.5243,-0.0423,0.0138,0.0063,0
602,0.1523,-0.2179,9.9765,-0.0095,0.0877,0.0551,0
622,-0.3135,0.1954,9.7649,-0.0164,0.1025,0.0421,0
642,0.1748,0.0919,10.0928,0.0404,-0.0256,0.0363,0
662,-0.2527,0.3829,9.5449,-0.0148,-0.0927,-0.0125,0
682,0.1733,0.516,9.7893,-0.011,0.0238,-0.0131,0
702,-0.0637,0.1404,9.8979,0.0565,0.0075,0.0138,0
722,-0.2217,0.4503,9.5525,0.0203,0.0424,-0.0052,0
742,0.1043,0.1431,10.037,0.0665,0.0114,0.0356,0
763,0.1672,0.0261,9.9223,0.0504,0.0023,0.0332,0
783,-0.0789,0.5143,9.456,-0.0355,0.0452,0.0237,0
803,0.1297,0.2937,9.8017,0.0396,0.0508,-0.101,0
823,-0.4113,0.2008,9.8949,0.061,-0.0555,0.0051,0
843,-0.2377,0.3237,9.6802,0.0613,-0.0327,-0.0044,0
863,0.2326,0.2494,9.4844,0.0395,-0.0042,0.0067,0
883,-0.0403,0.1875,9.8713,0.0387,0.0039,-0.0302,0
903,-0.3352,-0.0388,10.2965,-0.0121,-0.009,-0.053,0
923,-0.1258,0.1513,9.7249,-0.0335,0.0174,0.0185,0
943,-0.1662,0.3122,10.1552,-0.0141,0.0398,-0.0143,0
963,-0.0299,0.1779,9.6445,-0.0666,0.0689,0.023,0
983,-0.0667,0.3624,9.8574,0.0537,0.0232,-0.0268,0
1004,0.0322,0.2691,9.9797,-0.0113,-0.0341,0.0566,0
1024,-0.0125,0.0419,9.8081,0.0517,-0.0059,0.04,0
1044,0.2448,-0.0375,9.7445,-0.0493,-0.003,0.0119,0
1064,0.0764,0.1717,9.9697,0.0433,0.0206,-0.0085,0
1084,0.0824,0.1056,10.2261,-0.0198,0.0155,0.0341,0
1104,0.2097,0.2605,9.8761,-0.0514,0.082,0.0157,0
1124,-0.07,0.0707,9.6965,0.0651,-0.0185,0.0095,0
1144,-0.2271,0.0892,9.7683,0.0443,0.0154,0.0417,0
1164,0.2173,0.3896,10.3643,0.0085,0.0942,0.0571,0
1184,0.0245,0.2267,9.8397,0.0014,-0.0234,-0.0501,0
1204,0.0251,0.0735,9.6792,0.0176,0.0058,-0.042,0
1224,-0.114,0.2032,9.5581,0.0078,-0.0378,-0.0312,0
1244,-0.111,0.4482,9.4083,-0.0317,0.0033,-0.0601,0
1265,0.1524,0.2529,9.89,-0.0165,-0.0312,-0.0025,0
1285,0.1772,0.3067,9.954,0.0784,0.0419,0.024,0
1305,0.1411,0.0646,9.7227,0.1069,0.0059,-0.0009,0
1325,0.1427,0.3848,9.8067,0.0625,-0.0374,-0.0214,0
1345,0.1024,0.6173,9.5525,0.0191,0.0336,0.0451,0
1365,0.0237,0.0575,9.8392,-0.0135,0.0072,0.0056,0
1385,-0.0316,-0.0127,9.9159,-0.0319,0.0381,0.0137,0
1405,0.2179,0.2316,9.6923,-0.0293,-0.0459,0.0462,0
1425,-0.0673,0.3576,10.1819,-0.0221,0.0148,-0.0049,0
1445,0.0666,0.1835,9.6258,0.086,0.0309,0.0824,0
1465,-0.1447,0.0104,9.8724,0.0723,-0.0169,-0.0179,0
1485,-0.1187,0.1805,9.9966,0.0299,-0.0504,0.0799,0
1506,-0.0425,0.3077,9.793,-0.0384,-0.0017,-0.039,0
1526,-0.1447,0.1267,9.7685,0.0357,0.0491,0.0207,0
1546,0.1436,0.3093,9.4956,-0.0095,0.045,-0.0257,0
1566,-0.2426,0.4096,10.1086,-0.0861,-0.0171,0.0448,0
1586,0.0179,0.2432,9.7726,0.0115,-0.0513,-0.0191,0
1606,0.0239,0.195,9.9282,-0.0337,-0.0172,0.0116,0
1626,-0.3259,0.3493,9.958,-0.0323,-0.0187,-0.026,0
1646,-0.0794,0.0459,9.6718,-0.01,0.0179,0.0375,0
1666,0.046,0.0282,9.7665,-0.0199,-0.0042,-0.0262,0
1686,0.0772,0.152,10.1036,-0.0014,-0.0301,0.0673,0
1706,-0.0368,0.1115,9.5642,-0.0033,0.0442,-0.0398,0
1726,0.1218,0.0554,10.2781,-0.075,0.0056,-0.0538,0
1746,-0.0197,0.5295,9.6461,0.0608,0.0174,0.0381,0
1767,0.0025,0.591,9.5505,-0.0393,-0.069,-0.0237,0
1787,0.0453,0.1363,9.8391,-0.0381,-0.097,-0.0003,0
1807,0.1669,0.2165,10.2958,-0.0131,-0.0575,-0.0129,0
1827,-0.1216,0.1662,9.3896,-0.0043,-0.0192,-0.0525,0
1847,-0.0876,0.3993,9.779,0.0584,0.0231,-0.0031,0
1867,-0.1204,0.435,9.9148,0.0108,-0.0937,0.0506,0
1887,-0.0598,-0.1199,9.8174,0.0227,0.0637,0.0401,0
1907,0.2567,0.2857,9.894,0.011,0.0068,0.0093,0
1927,0.1031,-0.0352,9.652,0.0093,0.0544,0.0445,0
1947,-0.2036,0.5165,9.6781,0.0124,-0.0354,-0.0424,0
1967,-0.1081,0.2792,9.7773,-0.0773,0.0202,-0.013,0
1987,0.0671,0.0518,9.5614,-0.01,0.0034,0.0158,0
2008,-0.1632,0.1566,9.8002,0.0465,0.0327,-0.0052,0
2028,-0.1306,0.148,9.7245,0.1577,-0.0094,-0.0099,0
2048,0.2421,0.2945,9.7066,-0.0482,0.0189,-0.048,0
2068,-0.1104,0.3875,9.8805,0.0169,0.0441,-0.0833,0
2088,0.1718,-0.0067,9.4095,-0.0228,-0.026,0.0327,0
2108,0.226,0.531,9.7596,0.0819,0.0097,0.0097,0
2128,-0.132,0.489,10.3198,-0.0542,-0.0755,0.0361,0
2148,-0.1602,0.0424,9.5711,0.025,0.0281,-0.0175,0
2168,-0.0497,0.2131,10.0928,-0.0563,0.0782,-0.0285,0
2188,-0.196,0.5079,9.822,-0.0127,-0.0498,0.0003,0
2208,0.0218,0.4219,9.6773,-0.0014,-0.0037,0.0342,0
2228,-0.037,0.1394,9.5195,0.0428,0.0352,-0.0093,0
2248,0.0649,0.3466,9.8407,-0.0431,0.0013,0.0321,0
2269,0.2514,0.7395,10.1297,0.0265,0.0066,-0.0403,0
2289,0.1471,0.2189,9.7244,0.0008,-0.0156,-0.0065,0
2309,0.0881,0.0861,9.7922,0.0109,-0.0171,-0.0028,0
2329,-0.3539,0.231,10.0323,0.0383,-0.0035,0.0491,0
2349,0.0798,0.2444,9.885,-0.0513,0.0017,0.0083,0
