timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.1691,0.2151,9.9448,-0.0267,0.0831,-0.0001,0
20,-0.303,0.0049,10.1162,-0.0046,0.0049,-0.0036,0
40,0.1005,0.0914,9.8852,0.0026,0.0288,0.0051,0
60,-0.0566,0.3356,9.8055,0.02,0.0202,0.0502,0
80,0.1007,0.2359,9.9696,0.0226,-0.0969,-0.0804,0
100,0.1779,0.4153,9.9151,0.026,-0.016,0.0768,0
120,-0.1574,0.3524,10.0048,0.0277,-0.0488,-0.014,0
140,-0.2052,0.13,9.781,0.011,0.0691,-0.0031,0
160,0.2639,0.4584,10.01,0.0022,-0.0728,0.0532,0
180,-0.0103,0.4732,9.9987,0.0372,-0.0168,0.0243,0
200,0.059,-0.1214,9.8569,0.0277,-0.0104,0.0214,0
220,0.1639,0.2057,9.6449,-0.0593,-0.0394,0.0498,0
240,-0.173,0.101,10.0829,-0.0069,0.0041,-0.0066,0
261,0.1624,0.1531,9.5439,-0.0721,-0.0017,0.0368,0
281,0.1152,0.0531,9.5993,-0.0729,0.0065,-0.0504,0
301,0.2646,0.0305,9.847,-0.0204,0.0201,0.0167,0
321,0.2615,0.3622,9.2583,-0.0051,0.0095,0.0225,0
341,0.0114,-0.0103,10.1495,-0.017,0.0152,0.0458,0
361,0.1356,0.2168,9.8132,-0.071,0.0445,0.0283,0
381,0.008,-0.0428,10.1487,0.031,-0.066,0.0082,0
401,0.0261,0.4285,10.2069,-0.0283,0.028,-0.0127,0
421,-0.2032,0.2054,9.7759,0.0196,-0.0418,-0.0131,0
441,-0.0404,0.3342,10.1067,-0.0272,-0.0257,-0.0128,0
461,-0.3231,0.2351,9.5768,-0.0199,0.0048,-0.0519,0
481,-0.0247,0.1544,9.9053,0.0173,0.0165,0.0697,0
502,0.2376,0.2123,9.7059,-0.014,0.0212,0.0399,0
522,0.14,0.4713,9.9632,0.0068,-0.0378,0.0102,0
542,0.0202,0.0385,10.0042,0.0111,0.0652,0.0326,0
562,-0.0364,-0.2589,9.7748,-0.0571,-0.0167,0.0301,0
582,-0.0973,0.0584,9.9299,0.0191,-0.0288,-0.0397,0
602,-0.1653,-0.0176,10.0178,-0.0375,-0.0509,0.0255,0
622,0.1474,0.3742,9.8513,-0.0444,-0.0548,0.0508,0
642,-0.2763,0.1684,10.3686,-0.0291,-0.056,-0.0271,0
662,-0.2804,0.3489,9.7798,0.0326,0.0126,-0.0613,0
682,0.1628,0.2057,10.1743,-0.064,0.0242,-0.0465,0
702,0.0374,0.2016,10.062,0.026,-0.0346,-0.0039,0
722,0.0081,0.2295,9.4008,0.0136,-0.0457,-0.0488,0
742,0.0373,0.4664,10.1385,0.003,-0.0085,-0.0069,0
763,0.3618,0.2336,10.0463,0.0099,0.0039,-0.0262,0
783,0.0101,0.3997,9.8351,-0.0116,0.0105,-0.0,0
803,0.0528,0.3881,9.8912,0.0273,-0.0386,-0.0204,0
823,0.3705,0.1706,9.9184,-0.0171,-0.0067,-0.0014,0
843,-0.0114,0.1867,10.1126,-0.065,0.0627,0.0241,0
863,0.3107,0.132,9.7191,-0.0031,-0.0478,-0.0383,0
883,-0.3793,0.431,10.1589,0.0321,-0.0012,0.0113,0
903,-0.2091,0.0306,9.5715,0.0197,0.02,-0.0341,0
923,-0.1202,0.0699,9.4228,0.0726,-0.0387,-0.0002,0
943,0.1051,0.1503,9.9406,-0.0101,0.0245,-0.0033,0
963,0.3193,-0.0067,10.087,-0.0064,-0.0536,0.0142,0
983,-0.1063,0.0936,9.7705,-0.0093,0.0254,0.0074,0
1004,0.1761,0.4045,9.3119,-0.0311,0.0017,0.0496,0
1024,0.4027,0.3173,9.482,-0.0189,-0.0568,-0.001,0
1044,0.2817,0.1243,9.906,-0.0416,0.0275,-0.0251,0
1064,-0.0727,0.3445,9.8078,-0.0918,-0.0358,0.0372,0
1084,0.1563,0.5747,10.0925,-0.0232,-0.0061,0.0132,0
1104,0.0611,0.2564,9.826,0.0009,0.0252,0.0354,0
1124,-0.1187,0.4557,9.6471,0.0252,-0.0386,-0.0048,0
1144,0.0769,0.3533,9.878,-0.023,-0.0211,-0.0523,0
1164,-0.0853,0.147,10.0334,-0.0226,0.045,0.0898,0
1184,0.0224,0.2355,10.1073,0.0412,-0.0828,-0.0241,0
1204,-0.2481,0.2947,9.7856,-0.0532,0.0567,-0.0464,0
1224,-0.3173,0.0659,9.8248,-0.0065,-0.0586,0.0287,0
1244,-0.0516,-0.2697,9.9814,0.0383,-0.028,-0.0378,0
1265,0.0573,0.0499,9.6453,-0.0283,0.0113,-0.0157,0
1285,-0.203,-0.1885,9.9721,-0.0613,0.0241,0.005,0
1305,0.0947,0.0647,9.759,0.0683,0.0119,-0.0057,0
1325,0.0077,-0.1073,9.7934,0.032,0.0019,-0.0145,0
1345,0.117,0.3584,9.8106,0.0332,-0.0174,0.0636,0
1365,0.1702,-0.0129,9.8385,-0.0036,0.0625,-0.0045,0
1385,0.2418,0.2979,10.231,0.0256,0.0309,-0.036,0
1405,0.1086,0.338,9.7068,-0.0996,0.047,0.0391,0
1425,-0.0531,0.3263,9.7182,-0.0175,-0.0169,-0.0289,0
1445,0.034,-0.1363,10.1283,0.0379,-0.0931,-0.0044,0
1465,0.4193,0.4021,9.9078,-0.0558,0.0408,-0.0362,0
1485,0.1774,0.2757,9.9789,-0.0133,0.0143,0.0085,0
1506,0.0129,0.3448,9.5833,0.0128,0.0073,0.0016,0
1526,-0.0271,0.5294,9.8642,-0.0314,-0.0227,-0.0012,0
1546,-0.1077,0.343,9.9883,0.0003,-0.0139,0.006,0
