timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.1243,0.0897,9.7525,0.028,0.02,-0.0111,0
20,-0.0575,0.2375,9.9989,0.0296,-0.0171,-0.0554,0
40,0.0371,0.4063,9.8147,0.0387,0.0099,-0.0779,0
60,-0.0929,0.4303,9.886,0.0339,-0.0582,-0.0589,0
80,-0.1532,0.3641,9.9041,0.0178,0.091,-0.0321,0
100,-0.1153,0.2801,9.5173,0.0162,0.0166,0.0001,0
120,0.4238,0.3216,9.893,0.0477,0.0683,-0.0159,0
140,-0.0688,0.2213,9.8329,-0.0249,-0.0106,0.0279,0
160,0.1801,0.0279,9.7503,0.0147,-0.042,-0.0374,0
180,0.3739,0.1319,9.8352,-0.0221,-0.0197,0.0491,0
200,0.1405,0.1419,10.3709,-0.0061,-0.0018,-0.0055,0
220,-0.1418,0.2527,9.3877,-0.1069,-0.0047,0.0183,0
240,-0.1326,-0.1175,9.7811,-0.0348,0.0745,-0.0208,0
261,0.0214,0.292,9.9886,-0.0175,-0.0342,0.0407,0
281,0.4062,-0.1623,9.5359,-0.0169,-0.0242,-0.0531,0
301,0.2562,0.274,9.8916,-0.0133,0.0285,-0.0494,0
321,0.0966,0.4106,9.8765,-0.0474,-0.0635,-0.0388,0
341,-0.0368,0.3611,9.4604,-0.0133,-0.0016,0.047,0
361,0.0683,0.0388,9.6815,0.0434,0.0057,-0.0095,0
381,0.0341,0.3122,10.2024,-0.0119,0.0173,-0.0379,0
401,0.0329,0.3268,9.4601,0.0519,0.014,-0.0079,0
421,-0.1576,0.507,9.7134,0.0493,0.0795,0.0069,0
441,-0.161,0.2658,9.7737,-0.0235,-0.0354,-0.0431,0
461,0.0592,0.3847,9.8109,0.0228,-0.0258,0.0064,0
481,-0.2087,0.1213,9.7191,-0.0525,0.0244,-0.0054,0
502,-0.1125,0.0466,9.8281,-0.0422,0.0091,-0.0202,0
522,0.0053,0.3556,9.8022,0.0045,0.014,-0.0507,0
542,0.0595,0.3581,9.9663,0.0203,-0.0562,0.0355,0
562,0.2008,0.0856,9.9958,0.0645,0.0872,-0.0188,0
582,-0.2255,-0.0181,9.9067,-0.0065,0.0181,-0.1174,0
602,-0.225,0.2222,9.8621,0.007,-0.0633,0.0142,0
622,0.2351,0.2079,9.466,0.0039,0.0245,0.0152,0
642,0.3018,0.2421,9.8355,0.0717,-0.0441,0.0373,0
662,-0.1879,0.3594,10.0551,0.0537,0.0372,0.0165,0
682,-0.1521,0.3852,9.4556,0.0154,-0.0526,0.0055,0
702,0.0982,0.2014,9.5202,0.0318,0.0402,-0.0195,0
722,0.0088,0.0208,10.1382,0.014,-0.0488,-0.0194,0
742,0.0102,0.0694,9.4805,0.043,-0.039,0.027,0
763,-0.1405,0.0926,9.7874,0.0345,0.0055,-0.0063,0
783,0.1295,0.1784,9.6886,-0.0121,-0.0245,-0.0575,0
803,-0.0427,0.1074,10.125,0.004,-0.0222,-0.0138,0
823,-0.0486,0.1559,9.8766,0.0065,-0.0612,-0.0022,0
843,-0.2036,0.2133,9.9841,0.0061,-0.0132,-0.0796,0
863,0.1424,0.0842,9.8223,-0.0203,0.0354,0.0299,0
