timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.0588,0.2173,9.9358,0.0131,-0.0563,0.083,0
20,-0.2123,0.4754,9.9985,-0.0189,0.0152,0.002,0
40,-0.324,0.2046,9.9637,-0.0381,-0.0371,0.0162,0
60,-0.2408,0.2814,9.8555,-0.0413,0.0138,0.034,0
80,-0.0543,0.1004,9.8682,0.0241,0.0041,-0.0303,0
100,-0.1701,-0.1394,9.9645,0.0309,0.0352,0.0227,0
120,0.2619,-0.1288,9.4911,-0.01,-0.0407,0.0528,0
140,-0.2645,0.1848,10.1025,-0.0239,0.0424,-0.0721,0
160,-0.2404,0.1573,9.909,0.0227,-0.0362,-0.0576,0
180,-0.3302,-0.0124,9.6239,-0.0593,-0.1097,0.03,0
200,-0.1162,0.1501,9.8507,0.078,0.0076,-0.0108,0
220,-0.0717,0.281,10.1001,0.0181,-0.035,-0.0155,0
240,-0.0143,0.4324,9.8739,-0.0064,0.06,-0.0131,0
261,-0.0063,0.0754,9.6489,0.0332,0.012,-0.0451,0
281,-0.1119,0.2707,9.5296,0.0252,-0.0034,-0.0164,0
301,-0.1894,0.5131,10.3523,0.0094,0.0081,-0.0528,0
321,0.0754,0.335,9.4274,-0.0756,-0.0199,0.0523,0
341,-0.1619,0.0615,9.8841,0.0164,0.0674,0.0053,0
361,0.1406,0.2183,9.681,0.0582,-0.0219,0.0043,0
381,-0.2668,0.2333,10.0393,-0.0222,0.0185,0.0267,0
401,-0.1347,0.3147,9.5424,0.0383,-0.0328,0.1116,0
421,0.3676,0.207,10.1638,0.034,0.0001,-0.0421,0
441,0.3921,0.2871,9.7825,0.0118,-0.0495,-0.0737,0
461,-0.245,0.3835,9.7616,0.0068,0.0091,-0.0012,0
481,0.2173,0.0107,9.7411,0.0224,0.0026,-0.0731,0
502,0.2904,-0.0377,9.6796,0.0166,0.022,-0.0135,0
522,0.1914,0.3096,9.7289,0.0756,0.0187,0.035,0
542,-0.012,0.1724,9.968,0.0387,0.0012,0.0611,0
562,-0.3474,0.3554,9.4312,0.0283,0.0816,-0.0626,0
582,0.0152,0.3958,9.6452,0.0423,-0.0007,-0.0377,0
602,0.0741,-0.1331,10.1389,0.0283,0.0016,0.0145,0
622,0.0429,0.0493,9.7901,-0.0832,-0.0034,0.0302,0
642,0.0859,0.1775,9.6841,-0.0047,0.0081,0.0324,0
662,-0.1462,0.0157,9.5295,-0.0248,-0.0114,0.059,0
682,-0.0871,0.1149,9.5525,0.0131,-0.0147,0.0291,0
702,-0.4309,-0.0302,10.0261,-0.0223,0.0301,-0.0048,0
722,0.1602,0.1211,9.629,0.0236,-0.0019,0.0425,0
742,-0.1616,0.0261,9.987,-0.0168,0.0422,0.0028,0
763,-0.0448,0.262,9.5943,0.0679,-0.0758,0.011,0
783,0.0456,0.3624,9.7823,0.066,0.0609,-0.0198,0
803,-0.1009,0.2736,9.7948,-0.0579,0.0358,0.0063,0
823,-0.1931,0.6676,9.6442,0.0129,-0.0021,-0.0652,0
843,0.0461,0.369,9.8269,-0.0185,-0.0031,0.0414,0
863,-0.321,0.3622,9.3445,0.0101,0.0256,-0.0404,0
883,0.138,0.1852,9.7905,0.0235,-0.0411,-0.0355,0
903,0.1189,0.1448,9.9079,-0.0512,0.0015,-0.0931,0
923,-0.0989,0.4292,9.6263,-0.0389,0.0062,-0.0329,0
943,-0.0889,0.1545,9.8569,-0.034,-0.0818,-0.0383,0
963,-0.1778,0.2063,9.8438,-0.0221,0.0139,0.0087,0
983,-0.0688,0.169,9.8526,-0.0209,-0.0541,-0.0518,0
1004,-0.0361,0.2972,9.5141,0.0319,0.0433,-0.0178,0
1024,-0.0573,0.3605,9.8309,0.0089,0.0535,-0.0272,0
1044,0.2608,0.3916,9.4311,-0.0348,0.0604,-0.0704,0
1064,-0.3148,0.1453,9.6715,-0.0128,-0.0129,0.0095,0
1084,-0.1634,0.2328,9.8092,-0.0948,-0.0135,-0.0088,0
1104,0.1317,0.2596,9.8558,0.0808,-0.0791,0.0016,0
1124,0.3699,0.4636,9.544,0.0007,0.0272,0.0332,0
1144,-0.1555,-0.1215,9.7475,0.0397,-0.0603,0.0003,0
1164,0.1822,0.2021,9.9848,0.0317,-0.058,-0.0133,0
1184,-0.207,0.0842,9.5945,-0.0014,-0.0121,0.0369,0
1204,-0.0701,0.1041,9.3362,-0.0953,-0.0442,-0.013,0
1224,0.0018,0.0469,9.9265,-0.0223,-0.0385,-0.0202,0
1244,-0.1243,0.297,9.6027,0.0141,0.0019,0.0268,0
1265,-0.0755,-0.2411,9.6694,0.0024,0.0353,-0.0312,0
1285,-0.2454,0.1751,9.8387,0.0416,0.0216,0.0467,0
1305,0.1214,-0.1279,9.827,-0.0001,0.0076,0.0064,0
1325,-0.1616,0.0753,10.0347,0.0737,0.0459,0.0628,0
1345,-0.1195,0.1615,9.7568,-0.0424,0.0051,-0.0024,0
1365,-0.1407,0.127,9.825,0.0207,-0.0211,0.0379,0
1385,-0.1312,0.3226,9.4376,-0.0412,-0.0308,-0.0656,0
1405,0.026,0.4249,9.9482,0.0366,0.0221,0.0513,0
1425,0.0113,0.5525,9.6579,-0.0301,-0.044,0.0276,0
1445,0.4533,0.1986,10.5208,-0.0703,0.014,-0.0258,0
1465,-0.0441,0.409,9.763,-0.0595,-0.0171,0.0346,0
1485,-0.0181,0.4635,9.9034,-0.0189,-0.0335,-0.0507,0
1506,0.2407,0.1143,9.9503,0.0623,-0.0342,-0.0199,0
1526,0.0405,0.422,9.7905,0.0297,0.0386,-0.034,0
1546,-0.0178,-0.1916,9.9061,0.0179,-0.0343,0.0368,0
1566,-0.024,0.2536,10.3062,-0.0026,-0.0112,0.0499,0
1586,0.0349,0.489,9.6442,-0.0451,-0.0187,-0.018,0
1606,0.1755,0.2179,9.3165,-0.0373,0.0424,-0.0509,0
1626,0.2422,0.1657,9.5234,-0.0221,0.0615,-0.0391,0
1646,0.1857,0.1648,10.0294,-0.0257,0.0364,0.0037,0
1666,0.084,0.4643,9.7046,-0.0263,-0.015,0.0012,0
1686,0.0379,-0.0865,10.323,-0.0381,0.0137,-0.0136,0
1706,0.3669,0.1296,9.97,0.0002,-0.0364,-0.0332,0
1726,-0.0854,0.3516,9.6663,-0.0301,0.0084,0.0651,0
1746,0.1257,0.2572,9.6387,0.0453,-0.0703,-0.0248,0
1767,0.2114,0.4136,9.7118,0.0449,0.0094,-0.0333,0
1787,0.188,0.3228,9.3558,0.024,-0.0022,0.0459,0
1807,-0.1372,0.1151,9.8711,0.0194,0.0176,-0.0113,0
1827,0.5067,0.3047,9.9626,-0.0621,-0.0005,0.0205,0
1847,0.3007,-0.0375,9.5972,0.0916,0.0334,-0.035,0
1867,0.1908,-0.1631,9.4687,-0.0113,-0.0305,0.0202,0
1887,-0.1812,0.0899,9.6097,0.0317,0.0303,0.0294,0
