timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.0655,0.0307,10.1555,0.0503,-0.0001,0.021,0
20,-0.3973,0.2379,10.2439,-0.0755,0.0048,0.031,0
40,0.0916,0.3915,9.6319,0.0443,0.0195,0.0374,0
60,0.2106,0.0419,9.6405,0.0063,-0.0162,-0.0033,0
80,-0.1505,0.1569,9.7135,0.0389,-0.0603,0.0406,0
100,0.1457,0.1634,10.0637,-0.0027,-0.028,-0.0243,0
120,-0.1104,0.3389,9.9169,0.0152,0.0466,0.015,0
140,-0.243,0.1223,9.9752,-0.0122,-0.0013,0.0019,0
160,-0.11,0.3356,10.0994,0.0397,-0.0168,-0.047,0
180,-0.0331,0.3288,9.6108,-0.0269,-0.059,-0.0732,0
200,-0.2377,0.0808,9.9206,0.041,0.0495,-0.012,0
220,0.2429,0.1473,9.8213,0.0071,-0.0083,-0.0118,0
240,-0.2755,0.2145,9.9046,0.0303,0.0435,-0.0108,0
261,-0.0975,0.1213,10.0628,-0.0404,0.0273,0.042,0
281,-0.166,0.0389,9.7766,0.0169,0.0318,0.055,0
301,0.2437,0.4668,9.6567,0.0213,0.0664,0.0263,0
321,-0.2713,-0.1209,9.5788,0.0742,0.0048,0.0235,0
341,0.1485,0.2419,10.1959,0.0279,-0.0053,-0.0032,0
361,0.0355,0.4456,9.8008,-0.0235,0.0626,0.0071,0
381,-0.2246,0.055,9.5091,-0.0252,0.0334,0.0172,0
401,-0.0633,0.2047,10.1143,0.0304,-0.0282,0.0056,0
421,-0.0329,0.3625,9.4338,-0.0216,0.0417,0.0237,0
441,0.1053,-0.3476,9.469,-0.0208,0.0606,0.0018,0
461,-0.1161,0.1909,9.7405,-0.0344,-0.092,-0.0198,0
481,0.1137,-0.083,9.6897,0.0053,-0.0498,0.0105,0
502,0.0088,0.3734,9.8786,0.0088,-0.0324,-0.0094,0
522,0.0812,0.0574,9.3862,-0.013,0.0289,0.0581,0
542,-0.1586,0.5212,9.8817,0.0678,0.0316,-0.0171,0
562,-0.0434,0.0281,10.0912,0.0228,0.0208,0.1144,0
582,0.0198,0.2809,9.594,0.0703,0.0351,0.0656,0
602,0.0147,0.0423,9.7268,0.0052,-0.0443,-0.0453,0
622,-0.0071,0.1573,9.6337,-0.0293,-0.0482,0.0501,0
642,0.3766,0.1992,9.8805,-0.0398,0.0501,-0.005,0
662,0.1034,0.2046,9.5734,-0.0049,0.0042,0.0226,0
682,0.1309,0.4979,9.5458,0.0301,0.0483,0.0631,0
702,0.0444,0.4569,9.7768,-0.0119,-0.0279,-0.031,0
722,0.096,0.0651,9.8841,0.0343,-0.0422,-0.0185,0
742,0.0357,0.2077,9.8431,0.0561,-0.0508,0.0301,0
763,0.3272,-0.0095,9.7133,-0.0323,0.032,-0.0147,0
783,-0.0108,-0.0504,9.957,-0.044,0.0453,-0.089,0
803,0.1496,0.08,9.8607,0.0379,0.0217,0.0385,0
823,0.3754,0.503,9.5528,0.0108,-0.0193,0.0148,0
843,0.1175,-0.1038,9.2213,0.013,0.0255,-0.0009,0
863,-0.0512,0.3037,9.9248,0.0279,0.0244,0.005,0
883,-0.1321,0.2829,9.7536,-0.061,-0.081,0.0895,0
903,-0.0892,0.0662,9.5658,0.0176,-0.014,0.0405,0
923,0.0705,0.3161,10.1676,0.0072,0.0112,-0.0344,0
943,0.3212,0.3153,10.1653,0.0185,0.0443,0.0049,0
963,0.1087,0.1933,10.0902,-0.0382,-0.0034,0.0474,0
983,-0.0696,0.1729,9.8598,0.0032,0.006,0.0466,0
1004,-0.0549,0.1558,9.1138,-0.0193,-0.0027,-0.0601,0
1024,-0.0269,0.0481,10.0686,0.0417,0.0106,-0.0201,0
1044,-0.2413,0.2298,9.6075,-0.0035,-0.0548,-0.0454,0
1064,-0.0824,0.1091,9.687,-0.024,-0.0242,0.0256,0
1084,-0.0903,0.2291,10.0078,-0.0396,-0.0893,-0.0363,0
1104,0.5001,0.0902,10.257,0.0349,-0.0177,0.0622,0
1124,0.1668,0.0817,10.149,0.0392,0.0198,0.0518,0
1144,-0.1932,0.1019,9.848,0.0769,-0.0317,-0.0099,0
1164,-0.2825,0.4284,9.9726,-0.0129,-0.0101,-0.0506,0
1184,-0.2351,-0.0479,9.5667,-0.0405,0.0156,-0.0316,0
1204,0.2545,0.5191,9.453,-0.005,0.1089,0.018,0
1224,-0.2428,0.3383,10.0476,-0.0279,-0.0033,0.0341,0
1244,0.2898,-0.0813,9.881,-0.0252,0.0288,-0.0015,0
1265,0.0432,0.0959,9.4914,0.019,-0.0075,-0.1027,0
1285,-0.0443,-0.0921,9.7994,0.0437,0.0142,0.0272,0
1305,-0.206,0.3164,9.9457,0.0165,-0.0011,-0.0808,0
1325,0.2275,0.4298,10.0095,0.0045,-0.0169,-0.0848,0
1345,0.0983,0.2413,9.9482,0.0328,-0.0081,0.0399,0
1365,0.162,0.4194,9.7301,-0.0091,0.0499,-0.0474,0
1385,-0.0491,0.2331,9.6234,0.058,0.0116,0.01,0
1405,0.12,0.3748,9.8358,0.12,-0.0479,0.0037,0
1425,0.2667,0.2526,9.9865,-0.0252,-0.017,-0.0322,0
1445,0.1071,0.2025,10.0092,0.0484,-0.0357,0.0082,0
1465,-0.19,0.3393,10.1577,0.0484,0.0371,-0.022,0
1485,0.0936,0.1719,9.8177,0.0211,-0.0304,0.0019,0
1506,0.1359,0.4622,9.5657,0.0515,0.0345,-0.0154,0
1526,0.3018,0.1432,10.049,0.0142,0.0391,-0.0201,0
1546,0.1053,0.3021,9.8283,0.026,0.0058,-0.0264,0
1566,0.1983,0.0728,9.5278,0.0033,0.0218,-0.0359,0
1586,0.1109,-0.0832,9.9472,0.0056,-0.0201,0.0341,0
1606,-0.2439,0.2644,10.1206,0.0254,0.034,-0.0181,0
1626,0.1493,-0.1247,9.8943,0.0169,-0.0496,-0.0453,0
1646,0.0216,0.5868,10.1233,-0.0419,-0.0185,-0.0164,0
1666,0.3595,0.1363,9.7034,0.0204,-0.0123,-0.0211,0
1686,-0.2591,0.186,9.6499,-0.0098,0.0395,-0.0158,0
1706,-0.2038,0.1442,9.998,-0.0222,0.0682,0.0285,0
1726,0.1306,0.2253,9.7324,0.0388,-0.0182,-0.0251,0
1746,0.2721,0.2612,10.0751,-0.0374,-0.0039,-0.0152,0
1767,-0.0216,0.0488,9.8476,-0.0108,-0.0472,0.0257,0
1787,-0.0207,-0.2597,10.0781,-0.0426,-0.0033,0.0178,0
1807,0.0373,0.0019,9.9489,-0.0161,0.0441,-0.0275,0
1827,-0.0871,0.1127,9.612,0.0957,-0.0718,0.0386,0
1847,0.1778,0.2504,9.3719,-0.0306,0.0007,0.0364,0
1867,-0.0869,0.233,9.982,-0.0061,0.0287,0.0336,0
1887,0.1261,0.3356,9.9343,0.0557,0.0023,0.0121,0
1907,-0.2382,-0.0957,9.586,0.0175,-0.0076,-0.0069,0
1927,0.3093,0.0393,9.9857,-0.0055,0.0351,-0.043,0
1947,-0.3817,0.1206,10.1159,-0.0277,-0.0323,-0.0553,0
1967,-0.1914,0.4743,9.6544,0.0269,-0.0312,-0.0034,0
1987,0.4056,0.6897,9.3846,-0.013,-0.0738,0.0006,0
2008,0.0182,-0.0427,10.0235,0.087,0.013,-0.0104,0
2028,-0.1188,0.3965,10.0899,-0.0113,0.0088,-0.0044,0
2048,-0.2299,0.2156,9.6485,0.0676,-0.0229,0.0545,0
2068,-0.0785,0.3001,9.9803,0.0351,-0.0357,0.0651,0
2088,0.0522,-0.0384,9.883,0.0348,-0.0019,-0.0442,0
2108,0.0876,0.4439,9.7859,-0.0063,0.0038,0.0115,0
2128,0.058,-0.1998,9.9377,-0.0184,-0.0479,0.0021,0
2148,-0.3215,-0.0366,9.6995,-0.0104,-0.0778,0.027,0
2168,0.025,0.1514,9.5677,0.0418,-0.069,0.0693,0
2188,0.061,0.0932,9.8993,0.021,-0.0581,0.0875,0
2208,0.0628,0.2046,9.869,-0.0746,-0.0482,0.0288,0
2228,0.0053,0.0768,9.2497,-0.0515,-0.0034,0.0016,0
2248,-0.2212,0.1358,9.5501,-0.0054,0.0034,-0.0145,0
2269,-0.1659,0.1668,9.6621,0.0215,-0.0067,0.0995,0
2289,0.2184,0.1598,9.9255,-0.0092,0.0143,-0.0307,0
2309,-0.1396,0.2267,9.475,-0.0201,0.016,0.0329,0
2329,-0.13,0.3613,9.7397,-0.0394,0.0132,-0.0106,0
2349,-0.0533,0.0644,10.2363,0.0365,0.0036,-0.0535,0
2369,-0.219,0.4426,9.8247,0.004,-0.0423,0.0686,0
2389,0.1141,0.2089,9.8384,0.0672,-0.0534,-0.0697,0
2409,-0.2283,0.427,9.7966,-0.052,-0.0225,-0.086,0
2429,0.1951,0.1383,10.0261,0.0276,0.0454,0.028,0
2449,-0.2421,0.0441,9.8192,0.0219,0.0938,-0.0122,0
2469,-0.0503,0.2144,9.7616,0.0339,0.0223,0.0173,0
2489,0.0619,0.6615,9.8435,0.0331,0.0143,-0.0003,0
