timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.0795,-0.027,9.7884,0.0243,-0.0076,0.0139,0
20,0.267,0.0726,9.7501,-0.0106,-0.008,0.0002,0
40,0.1749,0.2815,9.3351,0.0089,-0.0106,-0.0395,0
60,0.0601,0.2344,9.4289,-0.0066,0.0317,0.0121,0
80,-0.0681,0.1937,9.9301,0.0317,0.0341,0.0097,0
100,-0.1685,0.1956,10.009,-0.0059,-0.0431,0.0526,0
120,-0.0953,-0.243,10.0454,-0.0089,-0.0071,-0.0479,0
140,0.1147,0.2267,9.5136,0.0397,0.0443,-0.0286,0
160,-0.3569,0.0855,10.3146,0.0084,-0.0134,0.0777,0
180,0.3231,0.1335,10.0301,0.0267,0.0557,0.0077,0
200,0.223,-0.0862,9.6838,0.0999,0.0275,0.0101,0
220,0.2189,0.3212,9.8459,-0.0794,0.0703,0.0386,0
240,0.1106,0.2993,9.4366,-0.0411,-0.0124,0.0725,0
261,0.0194,-0.0097,9.6743,-0.0371,0.0281,-0.0465,0
281,0.068,0.2323,9.9284,-0.0341,0.0293,0.0873,0
301,-0.0659,0.4964,9.8238,0.0569,0.0431,-0.0017,0
321,0.3812,0.2252,10.1935,-0.1067,0.0141,0.0106,0
341,-0.0249,-0.1626,9.4845,0.0193,0.0445,0.0024,0
361,-0.0856,0.0973,9.7842,-0.0613,-0.0252,0.0599,0
381,-0.0478,0.2229,9.5599,0.001,-0.0022,0.0383,0
401,-0.1302,0.5809,10.1477,0.0104,-0.0595,-0.0058,0
421,0.1456,-0.0176,9.8684,0.0363,-0.0108,-0.0451,0
441,-0.0934,0.1735,9.8119,-0.0106,-0.034,-0.0097,0
461,-0.0227,0.0079,9.7807,-0.0069,0.0132,-0.0535,0
481,0.2405,0.3583,9.617,-0.082,0.0394,0.0356,0
502,0.1927,0.1341,10.0737,0.0912,0.0226,-0.0271,0
522,-0.1843,-0.2917,9.8475,0.0123,0.0312,-0.0041,0
542,0.2125,0.1292,9.8638,0.0176,0.0038,0.0469,0
562,-0.255,0.1798,9.9381,0.0429,-0.0056,0.0323,0
582,-0.2702,0.2698,9.6204,-0.0027,-0.0469,0.0153,0
602,-0.0588,0.2327,10.249,0.017,-0.077,-0.0318,0
622,0.0527,0.3183,10.1553,0.0286,-0.0603,0.0194,0
642,-0.0404,0.1778,9.8021,-0.059,-0.0265,-0.0318,0
662,0.079,0.2152,9.7438,0.0212,0.0365,0.0198,0
682,-0.0678,0.2022,9.9507,0.083,-0.0492,-0.0523,0
702,-0.3707,0.1253,10.0564,0.0699,-0.0329,0.0483,0
722,-0.0343,0.3023,10.1951,0.0613,-0.0188,0.008,0
742,-0.2737,0.3524,9.9519,0.0764,0.0515,-0.0005,0
763,0.0006,0.1921,9.84,-0.0504,-0.0015,0.0156,0
783,-0.2255,0.1115,9.8402,-0.021,0.0054,-0.0046,0
803,0.0931,0.0051,9.3962,-0.0365,0.0164,0.0027,0
823,0.2438,0.2639,9.7153,0.1398,0.0558,0.0517,0
843,-0.3112,0.0194,9.8895,0.0098,0.0033,0.0423,0
863,-0.3675,0.2287,9.3133,-0.0566,-0.0706,0.0285,0
883,-0.0541,0.2236,9.8496,-0.0441,0.0051,0.0101,0
903,0.2033,0.3921,9.6314,0.0043,0.0576,-0.0127,0
923,0.0281,0.4497,10.1569,-0.0545,0.0256,0.0429,0
943,-0.0768,-0.3469,9.7474,0.0747,0.0086,-0.0364,0
963,-0.1936,0.1637,9.752,0.0316,0.0141,0.0714,0
983,0.1302,-0.1782,9.7798,0.0125,-0.0735,0.0285,0
1004,0.2767,0.4091,9.809,-0.0421,-0.0791,0.0473,0
1024,-0.3365,0.1958,9.9844,-0.0528,0.0358,0.0187,0
1044,0.0529,0.4073,9.7343,0.014,0.0514,-0.0049,0
1064,0.4581,0.2465,9.8152,0.0055,-0.0252,0.0379,0
1084,-0.109,-0.0431,9.9857,-0.0513,0.0077,-0.0563,0
1104,-0.0343,0.0258,9.8119,-0.0022,0.0248,-0.0235,0
1124,-0.0062,0.1758,9.9542,-0.0021,0.0664,-0.0076,0
1144,-0.0735,0.3025,9.712,0.0295,-0.0032,-0.0552,0
1164,0.1975,0.2102,9.8872,0.0843,0.0295,0.0255,0
1184,0.3243,0.232,10.098,-0.0832,0.0797,0.0506,0
1204,-0.3068,0.1357,9.9425,0.032,-0.0112,-0.0684,0
1224,-0.1682,0.4034,9.3984,-0.0279,0.0026,-0.0166,0
1244,0.2243,0.2263,9.9322,0.0169,-0.0442,-0.0068,0
1265,0.1081,0.2087,9.5561,0.0052,-0.0422,0.0129,0
1285,0.0786,0.2532,9.6065,0.02,0.035,0.0342,0
1305,0.1254,0.1253,9.9182,-0.0497,0.0478,-0.0112,0
1325,0.0173,0.137,9.5967,0.0388,0.0465,0.0376,0
1345,0.0866,0.2866,9.5658,0.0016,-0.0413,0.0035,0
1365,-0.0586,0.3397,9.8092,0.0557,-0.0082,-0.0241,0
1385,-0.041,0.3585,9.675,0.0637,0.0191,0.0092,0
1405,-0.0171,0.1649,9.4515,0.0095,-0.0911,-0.0505,0
1425,-0.0733,0.2222,9.9322,0.0396,0.0183,-0.0102,0
1445,0.0844,0.0908,10.0268,0.0361,0.0752,-0.007,0
1465,0.0536,0.3416,10.009,0.0535,0.0455,-0.0242,0
1485,-0.3359,0.0299,9.6124,0.0507,-0.0964,0.1013,0
1506,-0.0366,0.24,9.9004,-0.0466,0.0159,0.0521,0
1526,0.0037,0.3582,9.7013,0.0111,0.0086,0.008,0
1546,0.2754,0.2226,9.5312,-0.0555,0.0109,0.0171,0
1566,-0.0516,0.254,9.6456,-0.0209,0.0043,0.0207,0
1586,0.0174,0.1509,9.1897,-0.0193,-0.0131,0.025,0
1606,-0.0138,-0.1337,9.5774,0.0234,-0.093,0.0625,0
1626,0.238,0.0788,9.4873,-0.0092,0.0124,0.0371,0
1646,-0.2151,0.208,9.8546,-0.0064,0.0251,-0.0794,0
1666,-0.1413,0.076,9.8741,0.04,-0.0222,0.0333,0
1686,-0.1533,0.2873,9.4383,0.0352,0.0503,-0.0335,0
1706,0.0025,-0.0635,9.9922,0.011,-0.0656,-0.0222,0
