timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.1109,0.3208,9.8316,0.0257,0.0355,-0.0309,0
20,0.1712,0.3738,9.7959,-0.0553,-0.0496,0.0352,0
40,-0.098,0.2211,10.0194,0.013,0.0317,0.0125,0
60,0.0525,0.3693,10.1472,0.0584,-0.0146,0.0262,0
80,-0.0222,0.677,9.9611,0.0202,-0.0516,0.0201,0
100,0.0291,-0.1381,10.0325,0.0159,0.0083,0.0956,0
120,0.0133,0.2093,9.7622,-0.0215,-0.028,0.0208,0
140,-0.0058,-0.0418,9.8376,-0.0362,-0.0229,-0.0512,0
160,-0.0852,0.4809,10.1369,-0.0629,-0.025,0.0429,0
180,-0.1196,0.2443,9.9259,0.0303,0.0046,-0.0172,0
200,0.0569,0.0743,9.7568,-0.0088,-0.0156,0.0538,0
220,0.0095,0.1531,9.8172,-0.0537,0.0156,0.0617,0
240,-0.1246,0.4405,10.0382,0.0391,0.0405,0.0249,0
261,0.0618,0.2814,10.0578,-0.0235,0.0217,-0.0511,0
281,-0.0833,0.3042,9.6247,-0.0343,0.0722,-0.0184,0
301,0.28,0.4679,9.8898,-0.0198,0.0821,0.0536,0
321,0.4481,0.3718,9.8083,-0.0077,-0.0116,0.08,0
341,0.25,0.4023,9.7956,0.0183,-0.0461,0.0025,0
361,0.24,0.1773,10.1027,-0.035,-0.0116,-0.011,0
381,0.1466,-0.2057,9.7577,0.0404,0.0047,-0.0472,0
401,-0.0378,0.2186,9.6834,0.0194,0.089,-0.0467,0
421,-0.3418,0.0804,9.6307,-0.0206,-0.015,0.0093,0
441,-0.1845,0.3419,9.7716,-0.0064,0.0111,0.028,0
461,-0.1218,-0.1187,9.6482,-0.0169,-0.0272,-0.0595,0
481,0.2174,0.3491,9.6197,0.0026,-0.0139,0.0332,0
502,0.0461,0.2339,9.6142,0.0608,-0.0486,0.0549,0
522,-0.1187,0.2637,9.6273,-0.0173,-0.0585,0.0252,0
542,-0.3321,0.3114,9.6426,0.0076,0.0544,0.0661,0
562,0.4173,0.1949,9.8978,-0.0279,0.0426,0.0142,0
582,0.096,0.1401,9.3788,0.0213,-0.0148,0.0146,0
602,0.1635,0.4043,9.6556,0.0111,0.0425,0.0139,0
622,-0.0964,0.3068,9.788,0.0532,-0.0523,0.0544,0
642,-0.025,0.324,10.0627,-0.0332,-0.0069,0.0215,0
662,-0.0619,0.1851,9.7559,0.0276,0.007,-0.0212,0
682,0.0116,0.2197,9.7763,0.0506,0.0506,0.0169,0
702,0.3322,0.1976,9.7907,-0.0175,0.0079,0.0173,0
722,-0.2168,-0.1139,9.4088,-0.0051,0.0218,-0.0085,0
742,-0.0074,-0.0486,9.955,0.0076,-0.0188,0.0409,0
763,0.065,0.1778,9.9458,-0.0095,0.0106,0.0037,0
783,-0.021,-0.1379,9.9892,0.0071,0.0506,0.0282,0
803,0.1792,0.1802,10.3613,0.0269,-0.0647,0.0204,0
823,-0.3124,0.039,9.5243,-0.0046,0.0454,-0.029,0
843,0.3391,0.1863,9.4826,-0.0049,-0.0084,-0.0392,0
863,-0.2467,0.2306,9.9653,0.0107,-0.0562,-0.0286,0
883,-0.2034,-0.1345,9.7358,-0.016,-0.0107,-0.0032,0
903,-0.0809,0.2585,9.5932,-0.014,0.0516,0.0637,0
923,-0.1166,0.1191,9.7478,-0.036,-0.0193,-0.0019,0
943,0.0764,-0.2181,9.674,-0.0017,0.012,0.015,0
963,0.0556,0.117,10.1895,0.0179,-0.0645,0.0349,0
983,0.0204,0.2683,10.3076,-0.0108,-0.073,-0.0144,0
1004,-0.2552,0.127,9.4502,-0.0309,-0.0431,-0.0166,0
1024,-0.0251,0.116,9.4852,-0.0038,0.0405,0.0421,0
1044,0.0036,0.2277,9.6429,0.0159,-0.002,0.0227,0
1064,0.2218,0.1137,9.6583,0.0051,0.044,-0.0226,0
1084,0.0359,0.1519,9.6394,0.0892,0.0463,-0.0165,0
1104,0.0689,-0.0388,9.7673,-0.0263,-0.0303,0.0034,0
1124,0.3532,0.1067,9.7117,-0.006,0.0627,0.0132,0
1144,-0.2088,0.5391,9.5122,0.0312,-0.0218,0.0498,0
1164,-0.0699,0.2321,9.5841,-0.0278,0.04,0.0213,0
1184,-0.2045,0.2484,10.1502,0.0771,0.0384,-0.0393,0
1204,0.2892,0.0843,9.7314,0.0002,0.0026,-0.0315,0
1224,0.3015,0.129,9.7201,0.0224,0.0027,0.0124,0
1244,0.2751,0.1589,9.4755,0.0008,0.0128,0.0057,0
1265,0.0985,0.3574,9.7081,0.0407,0.0046,-0.0338,0
1285,0.0685,0.4158,10.0214,-0.0425,-0.0156,0.0421,0
1305,-0.0824,0.1182,9.941,0.0629,-0.019,-0.0899,0
1325,0.1385,0.1958,9.9884,0.0093,-0.0153,0.0134,0
1345,-0.2306,0.1577,9.5452,0.0263,0.0487,-0.0619,0
1365,-0.2313,0.3372,9.5417,-0.0295,-0.0635,0.0352,0
1385,-0.0756,0.2843,10.0594,0.0135,-0.0199,-0.0106,0
1405,0.3397,0.1838,9.9918,-0.0387,-0.013,0.0299,0
1425,-0.0924,0.3817,9.7531,0.047,-0.0091,-0.0156,0
1445,-0.0681,0.2933,9.9977,-0.0516,0.0119,0.053,0
1465,0.0518,0.0612,9.5453,0.0062,-0.0539,-0.0746,0
1485,0.1618,0.2015,9.5362,-0.0155,0.041,0.0352,0
1506,0.2254,0.1682,9.4542,-0.0625,0.0355,-0.0243,0
1526,-0.2017,0.0222,9.8895,-0.0374,0.027,0.015,0
1546,-0.0174,0.1594,9.8577,0.018,-0.0083,0.0167,0
1566,0.0404,0.405,9.6951,-0.0359,-0.0295,-0.0557,0
1586,0.0585,0.3971,9.6383,-0.0268,-0.013,0.0399,0
1606,0.1558,0.3644,10.3412,0.0149,0.0024,0.0157,0
1626,0.1476,0.3402,9.753,0.0366,0.0266,0.0047,0
1646,0.0046,0.2374,10.1154,0.0264,-0.0033,0.0154,0
1666,0.2074,0.0918,9.7778,-0.0019,0.0144,0.005,0
1686,0.1744,0.3015,9.6998,0.0087,-0.0174,0.0334,0
1706,0.1599,-0.0963,10.1217,0.0047,0.0115,-0.0189,0
1726,-0.0952,0.0791,9.9838,-0.0415,-0.01,0.0334,0
1746,0.1283,0.3989,9.8047,0.0112,0.0107,0.0229,0
1767,0.2166,0.1114,10.0594,-0.0418,-0.0707,-0.0069,0
1787,-0.0925,0.3152,10.3645,0.0246,0.0195,0.0738,0
1807,0.0237,0.1346,9.6489,0.0054,0.0216,0.0181,0
1827,0.2817,0.299,9.9138,-0.0866,0.0212,0.0078,0
1847,0.0714,-0.0772,9.72,0.0392,-0.0395,0.023,0
1867,-0.0158,0.4289,9.6044,-0.0209,-0.0284,-0.0042,0
1887,0.2631,-0.0009,9.5983,-0.0242,-0.0347,0.048,0
1907,-0.0847,-0.0451,10.1603,0.0382,0.0132,-0.0009,0
1927,-0.3053,0.4193,9.4086,-0.0065,0.0263,0.0328,0
1947,-0.1403,0.1995,9.9217,0.0239,-0.0279,-0.0427,0
1967,0.2045,0.1449,9.6284,-0.0261,0.0526,-0.0718,0
1987,0.0937,0.4822,10.1999,0.0321,0.0521,0.0161,0
2008,0.0123,0.3316,9.7499,0.0079,0.0055,-0.0154,0
2028,0.191,0.1191,9.7299,0.0162,0.0148,-0.0077,0
2048,0.03,0.1758,10.1553,-0.0071,-0.0672,-0.0937,0
2068,-0.04,0.3933,10.0029,0.0652,-0.0212,0.068,0
2088,0.1503,0.0266,9.9319,0.0748,-0.0501,0.0042,0
2108,-0.0688,0.4598,9.9873,-0.0881,-0.0364,0.0534,0
2128,0.0882,0.1202,9.5717,0.0371,0.0206,-0.0557,0
2148,-0.1431,0.0431,9.9732,-0.0432,0.0302,0.0039,0
2168,-0.1898,0.3956,9.7662,0.0204,0.0319,0.0163,0
2188,-0.1558,0.3322,9.8894,-0.0711,0.0097,0.0054,0
2208,-0.0047,-0.1198,9.9166,0.0161,0.0209,0.0093,0
2228,-0.1166,0.1808,9.5657,-0.0334,-0.0636,-0.0556,0
2248,-0.1116,0.0011,9.9406,-0.0184,-0.0516,0.0127,0
2269,-0.0276,0.3437,9.769,-0.0173,-0.0084,-0.0337,0
2289,-0.013,0.5095,9.5372,-0.0294,0.0239,-0.0247,0
2309,-0.2792,0.2968,9.7778,-0.0283,-0.0179,0.0007,0
2329,-0.454,0.0633,9.8144,-0.0159,-0.0544,-0.0141,0
2349,0.072,0.3602,9.9406,-0.0062,-0.0277,-0.0118,0
2369,0.0251,0.1909,9.2846,0.0129,-0.0373,0.045,0
2389,-0.2466,0.1867,9.8954,0.0744,-0.069,-0.0062,0
2409,0.0785,0.1126,9.6974,-0.0379,0.089,-0.0159,0
2429,0.0782,0.2188,9.9882,0.0051,0.0493,-0.0049,0
2449,-0.0544,0.1872,9.8096,0.0309,-0.079,-0.0445,0
2469,0.3527,-0.2328,9.7367,-0.0284,-0.0769,0.0065,0
2489,0.2285,0.2047,9.7709,-0.0903,-0.0322,0.0289,0
2510,-0.0718,0.1752,9.8834,-0.0764,-0.0596,0.0126,0
2530,-0.0685,0.2624,10.0097,-0.0888,0.0953,0.0015,0
2550,-0.2624,-0.1612,9.614,0.0616,-0.0321,0.0241,0
2570,0.2205,0.2922,9.7344,0.0246,0.0145,-0.0222,0
2590,0.0444,0.2051,10.1333,0.0302,-0.0202,0.0016,0
2610,0.1482,0.2891,9.7306,0.0393,-0.0467,0.0559,0
2630,-0.3841,-0.0932,9.8908,-0.023,0.0419,-0.0118,0
2650,0.14,-0.0222,9.5385,0.0921,0.0262,0.0243,0
2670,-0.0917,-0.1375,9.4328,0.0134,-0.0024,0.0253,0
2690,0.1052,0.2263,9.5812,-0.0029,0.0953,-0.0303,0
2710,0.0938,0.1379,9.6582,0.0444,0.0094,0.0275,0
2730,-0.0037,0.1741,10.0388,0.0267,-0.0183,-0.0243,0
2751,-0.1255,-0.0506,10.0629,0.0534,0.0766,0.0172,0
2771,0.0718,-0.0178,9.3864,0.0558,0.0162,-0.0249,0
2791,-0.1505,-0.2493,9.6909,-0.0141,0.0651,0.0112,0
2811,0.1891,-0.0422,9.9635,0.0075,-0.0016,0.0052,0
2831,-0.1299,0.083,9.7868,-0.0364,-0.1206,0.0045,0
2851,0.0041,0.0923,10.141,-0.0651,-0.0624,0.0109,0
2871,-0.1342,0.1878,9.9582,0.0335,0.0433,-0.0212,0
2891,0.0286,0.3371,9.7511,0.0383,-0.0236,-0.0467,0
2911,-0.1857,0.076,9.7707,-0.0793,0.0101,0.0033,0
2931,-0.1456,0.288,9.7975,-0.0287,0.0454,0.0441,0
2951,0.413,0.3401,9.6239,0.0022,0.0072,0.0233,0
2971,0.152,0.407,10.0166,0.0061,-0.0344,0.0179,0
2991,0.0665,0.2882,9.9733,0.0818,-0.0004,-0.0204,0
3012,0.0925,0.2132,9.9099,-0.0251,0.0043,0.0075,1
3032,0.055,-0.226,9.9166,-0.0069,-0.0163,-0.0332,1
3052,-0.016,-0.2134,9.6923,0.026,-0.0554,-0.0169,1
3072,0.1362,-0.5598,10.08,-0.014,-0.0142,0.0143,1
3092,-0.1489,-0.472,10.0498,-0.0202,-0.0037,-0.0727,1
3112,0.2872,-0.9283,10.5136,-0.0235,-0.0577,0.0692,1
3132,0.0217,-1.1954,9.8396,0.0093,-0.0367,-0.0534,1
3152,0.1443,-1.1296,10.015,-0.007,-0.0287,0.0755,1
3172,0.2832,-1.6847,9.8742,0.0273,-0.0744,-0.0336,1
3192,0.0884,-1.8068,10.2231,0.0143,0.0051,-0.034,1
3212,-0.1459,-1.6472,9.9347,-0.1166,0.0095,-0.0159,1
3232,0.2195,-2.1573,10.6236,-0.0701,-0.0218,-0.0176,1
3253,0.3053,-2.1923,10.6467,-0.02,-0.0547,-0.0242,1
3273,-0.3504,-2.3063,10.4131,0.0392,0.0163,-0.0148,1
3293,-0.0183,-2.8507,10.2653,-0.0261,0.0218,0.0037,1
3313,0.0525,-2.7537,10.1912,0.015,0.0039,-0.0359,1
3333,-0.0475,-3.1344,10.4077,0.0239,0.0017,0.0336,1
3353,-0.2243,-2.8551,10.7341,0.0216,0.0238,0.0565,1
3373,-0.1589,-3.1006,10.4552,-0.0219,-0.0038,-0.0778,1
3393,-0.3328,-3.3547,11.0776,-0.0459,-0.0367,0.0742,1
3413,0.1719,-3.4181,11.0127,-0.0525,-0.0028,0.0309,1
3433,0.2472,-3.8381,10.7095,0.1188,-0.0157,0.0103,1
3453,0.2447,-3.4995,10.6297,0.0182,-0.0028,-0.023,1
3473,-0.0053,-4.0558,10.6255,0.0736,0.0354,0.0067,1
3493,0.0489,-3.8925,11.1191,-0.0333,-0.0481,0.0359,1
3514,0.1926,-4.1552,10.637,0.0499,0.0071,0.1044,1
3534,-0.0419,-3.9208,10.9982,-0.0191,-0.0501,0.0877,1
3554,-0.1709,-3.7984,10.8059,-0.0012,-0.0367,-0.0611,1
3574,-0.1027,-4.0559,10.9638,-0.0115,0.063,-0.0083,1
3594,0.0316,-4.0928,10.6292,-0.0352,0.0183,0.0031,1
3614,-0.1285,-4.1699,10.7364,-0.0346,0.0064,0.0537,1
3634,0.0852,-4.1191,10.8015,-0.0016,-0.0663,-0.0034,1
3654,-0.2439,-4.173,10.6623,-0.0235,-0.0094,-0.0302,1
3674,-0.0437,-3.7817,11.0675,0.0051,-0.0829,0.0022,1
3694,0.073,-3.8838,10.6133,-0.0335,0.0015,-0.0154,1
3714,0.0239,-4.0283,10.6405,0.0283,-0.0499,0.0395,1
3734,-0.1323,-3.8821,11.0496,-0.0184,0.0223,0.0955,1
3755,0.1323,-3.2838,10.9876,0.0655,0.0065,0.0364,1
3775,0.0472,-3.664,11.0587,-0.002,-0.0486,0.038,1
3795,-0.376,-3.3446,10.2649,-0.0041,0.0153,0.0494,1
3815,0.082,-3.5923,10.7019,0.0641,0.0837,0.0182,1
3835,-0.076,-3.2752,10.6482,-0.0198,-0.0081,-0.0159,1
3855,-0.0945,-3.3347,10.473,-0.0163,0.0352,-0.012,1
3875,-0.1494,-3.1708,10.634,-0.028,-0.0841,0.0438,1
3895,-0.1805,-2.7745,10.4557,0.0082,0.0187,0.0116,1
3915,0.0372,-2.9126,10.524,-0.0294,-0.0228,-0.0393,1
3935,0.0983,-2.7916,11.1967,0.0311,-0.0108,0.0524,1
3955,0.0276,-2.2715,10.4761,-0.0019,0.0238,-0.031,1
3975,0.1709,-2.2931,10.4418,0.0336,-0.0097,-0.0451,1
3995,0.1047,-2.0593,10.4983,0.029,-0.0647,-0.0351,1
4016,-0.3613,-2.1304,10.3108,-0.0205,0.0611,0.0123,1
4036,-0.165,-1.8264,9.9816,-0.0295,-0.058,0.0389,1
4056,0.2139,-1.3448,9.8119,-0.0131,-0.0336,0.0102,1
4076,-0.2285,-1.2086,10.1176,0.0004,0.0051,-0.0223,1
4096,-0.4923,-0.7811,10.0139,0.0134,0.0055,-0.0323,1
4116,0.3297,-0.8817,9.5894,0.0178,0.0171,0.0308,1
4136,0.0534,-0.522,10.3275,-0.0013,0.0053,-0.0037,1
4156,-0.123,-0.2541,9.9398,-0.0272,0.0459,0.0136,1
4176,-0.1527,-0.0683,10.1799,-0.0235,0.0196,-0.0056,1
4196,0.1133,0.3076,9.319,0.0207,-0.0474,0.012,1
4216,0.086,0.0046,10.1309,-0.026,-0.1039,0.0156,1
4236,0.0589,0.2922,9.7033,0.0224,0.006,0.097,1
4257,-0.034,0.405,10.087,0.0237,0.0586,0.0161,1
4277,-0.2305,0.0518,9.8573,0.0614,-0.0501,-0.0155,1
4297,-0.0065,0.2721,9.9097,-0.0192,-0.042,0.007,1
4317,0.1917,0.2643,9.91,-0.013,0.0142,-0.038,1
4337,-0.0976,0.306,9.7165,-0.0925,0.0193,-0.0383,1
4357,0.1082,0.2003,9.6678,-0.0377,0.0449,0.05,1
4377,-0.0728,0.4553,9.7305,-0.0382,0.0656,0.0122,1
4397,0.1442,0.5799,9.4862,0.0202,0.0094,0.0448,1
4417,-0.1764,0.3125,9.7042,0.0723,-0.0371,-0.065,1
4437,0.0025,0.2565,9.6567,0.0232,-0.0358,-0.039,1
4457,0.0822,0.2025,9.4809,0.0396,-0.0217,0.0119,1
4477,-0.1216,-0.0364,9.9109,-0.0285,0.0412,-0.033,1
4497,0.0653,-0.0569,9.8117,-0.0479,-0.02,-0.057,1
4518,-0.0053,-0.0077,9.8641,-0.0097,0.0385,-0.0432,1
4538,-0.0079,0.2478,9.9634,-0.025,-0.061,-0.0128,1
4558,-0.122,0.1653,9.7577,-0.0344,0.0115,0.0165,1
4578,0.1795,0.4749,9.6035,0.0087,-0.03,0.0686,1
4598,-0.1701,-0.2509,9.8769,-0.0474,0.0209,-0.0421,1
4618,0.0504,0.2073,9.1671,0.0331,-0.0103,-0.04,1
4638,-0.1529,0.278,9.7862,-0.016,0.0319,-0.058,1
4658,-0.0119,0.3616,9.9783,-0.0018,-0.0174,0.0229,1
4678,0.1157,0.2258,10.0403,0.004,-0.001,0.005,1
4698,-0.052,0.2657,9.6935,-0.0187,0.0323,-0.0386,1
4718,-0.5537,0.2317,9.3169,0.0506,-0.0041,-0.0332,1
4738,-0.242,0.2792,9.2307,-0.0642,0.0023,-0.005,1
4759,-0.3884,0.1965,9.9504,0.0513,0.0304,-0.0027,1
4779,0.0122,0.5809,9.7321,-0.0139,-0.0031,-0.0416,1
4799,-0.0009,0.304,10.2538,0.0368,-0.0634,0.0071,1
4819,-0.0631,0.2355,9.4996,0.008,-0.0228,-0.0551,1
4839,-0.1128,0.0671,9.8853,0.034,-0.0769,0.002,1
4859,0.0398,0.1384,10.1757,-0.0047,-0.01,-0.0071,1
4879,-0.2605,0.4718,9.8554,0.0095,0.0189,0.016,1
4899,0.1721,-0.2473,9.4598,0.0439,0.005,0.0485,1
4919,0.0135,0.2102,10.42,0.0038,0.0558,-0.0148,1
4939,-0.1701,0.1955,10.1577,0.0532,0.0513,0.0,1
4959,-0.0753,0.29,9.76,0.0141,0.0103,-0.0792,1
4979,-0.0236,0.2477,9.9902,-0.0293,-0.0957,0.0789,1
5000,-0.2485,0.4728,9.9925,-0.0142,0.0269,-0.0744,1
