timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.0149,0.3469,9.7852,0.0084,0.0648,0.0545,0
20,-0.4587,0.2218,9.7807,0.025,-0.044,0.0114,0
40,-0.1486,0.2596,9.8519,0.0055,-0.047,-0.0214,0
60,0.3124,-0.0647,10.0686,0.0534,0.0268,-0.0607,0
80,0.206,0.0505,10.1546,-0.015,0.0345,0.0151,0
100,0.1773,0.2153,9.7513,-0.042,-0.0667,0.0083,0
120,-0.0347,0.2334,9.5705,-0.0266,0.01,0.0343,0
140,0.2972,0.2721,9.6297,-0.0316,-0.0219,-0.0587,0
160,0.0463,0.4531,10.2385,-0.0182,0.0132,0.0057,0
180,0.1242,0.183,10.1358,-0.0108,-0.0121,0.0172,0
200,0.4764,0.2653,9.5699,-0.0091,-0.0546,-0.0361,0
220,0.1963,0.2106,10.1754,0.0093,-0.0193,0.0047,0
240,-0.0118,0.1551,9.6534,-0.0184,0.025,-0.0291,0
261,0.0919,0.1621,9.9562,0.042,0.0777,-0.033,0
281,0.2527,0.0588,9.6533,-0.0775,0.0156,-0.0212,0
301,0.112,0.1789,10.2858,-0.0891,-0.0156,-0.0106,0
321,0.141,0.1606,9.6846,0.0401,-0.0472,0.0495,0
341,0.2318,0.1727,9.579,0.0369,-0.0063,-0.0129,0
361,0.4554,-0.1135,9.7096,0.0496,-0.0151,-0.0338,0
381,-0.1683,0.1822,10.3879,0.0255,0.0122,0.0325,0
401,0.1264,0.0421,9.8673,0.0001,-0.0024,0.0411,0
421,0.0827,0.1889,9.5838,-0.0103,0.0192,0.0328,0
441,-0.0694,0.0029,9.6366,-0.0641,-0.0144,0.0548,0
461,-0.1165,0.209,9.4255,0.0059,0.0684,0.0077,0
481,0.2974,0.1465,9.9288,-0.0575,0.0234,0.0062,0
502,-0.184,0.0873,9.5349,0.0986,-0.0283,-0.0282,0
522,-0.2536,0.2521,10.0532,-0.0413,0.04,0.056,0
542,-0.1013,0.2676,9.9838,-0.003,-0.0462,-0.0037,0
562,-0.3207,0.1911,9.788,0.0603,-0.0342,-0.0121,0
582,-0.1523,0.3024,10.0819,-0.0146,-0.032,-0.0157,0
602,-0.1895,0.1256,10.0136,-0.0144,0.0531,0.0255,0
622,0.0155,0.272,9.8445,-0.1035,-0.0072,0.0033,0
642,0.2602,0.1924,9.641,-0.0524,-0.0251,0.0076,0
662,-0.1061,0.0201,9.901,0.0225,0.0066,-0.013,0
682,0.1557,0.0558,9.8997,0.0669,0.0217,-0.0079,0
702,0.1352,0.4098,9.9181,-0.0356,0.0636,-0.0059,0
722,-0.3997,0.4837,9.8274,0.0079,-0.0599,0.0569,0
742,-0.0993,0.3284,9.882,0.1083,0.0505,-0.072,0
763,-0.0677,0.095,9.8765,0.0227,-0.0827,0.0179,0
783,0.0687,0.457,10.1097,0.039,0.0363,0.0435,0
803,0.1026,0.3103,9.5297,-0.0306,0.0465,-0.0735,0
823,0.0595,0.2604,9.5897,0.0621,0.0486,-0.0029,0
843,-0.1611,0.5316,9.8265,-0.0277,0.0228,0.0393,0
863,-0.114,0.0452,9.6428,-0.0347,-0.0426,-0.0301,0
883,-0.2706,0.3391,9.8564,0.0592,0.0299,0.0107,0
903,0.0119,0.0534,9.5651,-0.0255,-0.0427,-0.0373,0
923,-0.0661,0.0908,9.5998,-0.0001,-0.0375,0.0013,0
943,0.0959,0.6684,10.2633,0.065,-0.0183,0.0511,0
963,0.1254,0.2904,9.7595,-0.0366,-0.0146,0.0678,0
983,-0.0601,0.5329,9.5523,-0.0095,0.0096,0.0102,0
1004,0.0508,0.2978,9.7847,-0.0244,-0.0278,-0.0512,0
1024,-0.0388,0.2724,10.038,-0.0131,0.0132,-0.0124,0
1044,-0.2004,0.0873,10.0752,0.0016,-0.0549,-0.0725,0
1064,-0.144,0.376,9.4886,0.0536,0.0016,-0.0118,0
1084,-0.4084,0.2046,9.6413,0.0657,-0.0109,0.0386,0
1104,-0.0712,0.2145,9.859,0.0062,0.0406,-0.0545,0
1124,-0.1068,0.153,9.8025,-0.0291,0.0446,-0.0083,0
1144,-0.1971,0.1819,9.458,0.0271,-0.0068,-0.0326,0
1164,0.1475,0.2045,9.4936,0.0002,-0.0784,0.0717,0
1184,0.0947,0.2221,9.5751,0.0015,-0.059,0.0159,0
1204,0.0997,0.1909,9.4204,-0.0413,0.0449,0.034,0
1224,0.1245,-0.0802,9.7091,-0.0647,-0.0057,0.0117,0
1244,-0.0003,0.2975,10.0728,-0.0008,0.07,0.0304,0
1265,-0.0022,0.1779,9.6635,-0.0428,0.0359,0.0432,0
1285,0.1494,-0.3971,10.0481,-0.0212,0.0102,0.0015,0
1305,0.1201,-0.0858,9.8165,0.0593,0.0051,-0.0212,0
1325,0.1849,0.1148,9.7697,-0.0028,-0.046,-0.0374,0
1345,-0.0078,0.4301,9.4435,0.0443,-0.0253,0.0703,0
1365,-0.1775,0.3094,10.0674,0.0118,0.0167,0.0328,0
1385,0.0427,0.0763,9.8356,0.0234,-0.0138,-0.0889,0
1405,-0.1041,0.1657,9.458,-0.022,0.0187,-0.0098,0
1425,0.1176,0.3988,9.894,0.0461,0.0412,0.0166,0
1445,0.0518,0.0891,9.6807,0.0124,-0.0072,0.0669,0
1465,0.0093,0.0045,9.8235,-0.0106,-0.0173,-0.0441,0
1485,-0.0706,0.3585,9.8628,0.0124,-0.0359,0.0171,0
1506,0.1801,0.4009,10.0775,-0.0286,0.0334,-0.016,0
1526,0.1663,0.0911,9.562,-0.0117,0.0301,-0.0479,0
1546,-0.1009,0.2878,9.9358,-0.0022,0.0875,0.0538,0
1566,-0.2211,0.1927,10.1022,-0.021,0.0071,-0.0386,0
1586,0.0323,0.0937,10.3645,0.0623,-0.0039,0.0388,0
1606,0.2135,0.4104,10.0409,-0.0166,0.0187,-0.0638,0
1626,-0.2271,0.0805,9.8895,0.0833,-0.0115,-0.0196,0
1646,0.0847,0.3361,9.8705,0.0027,-0.0354,0.0229,0
1666,-0.1478,0.2123,10.1515,-0.0094,0.0036,0.0287,0
1686,-0.183,0.169,9.747,-0.0202,0.0183,0.0175,0
1706,0.1676,0.1001,9.9851,0.0169,0.021,0.0394,0
1726,0.1171,0.0224,10.2927,0.0358,0.0178,-0.0115,0
1746,-0.0274,0.155,9.7859,-0.1015,0.0426,0.0557,0
1767,0.1421,0.1078,9.3669,0.0002,0.0208,0.0143,0
1787,0.123,0.2167,9.6206,-0.0795,0.0108,0.0294,0
1807,-0.2675,-0.0155,9.8746,0.0393,-0.0506,0.0145,0
1827,0.0152,0.1727,9.6259,0.04,0.0098,0.0197,0
1847,0.2543,0.2731,9.7336,0.0016,-0.0068,-0.04,0
1867,0.0853,0.0788,9.7451,0.0083,-0.0449,-0.0377,0
1887,-0.4708,0.3334,9.9334,-0.0572,0.02,-0.0216,0
1907,-0.1927,0.3529,9.6019,-0.0219,0.0207,0.0206,0
1927,0.1792,-0.0173,9.6816,-0.0245,0.017,-0.0235,0
1947,-0.1003,0.0635,10.1196,-0.018,0.0222,-0.0118,0
1967,0.2018,-0.0413,9.704,0.0349,0.005,-0.0029,0
1987,0.3683,0.2762,9.9697,0.0513,-0.0099,0.0567,0
2008,-0.0428,0.223,9.8131,0.0244,0.0708,0.0241,0
2028,-0.1112,-0.0882,9.8049,-0.0129,0.0059,-0.0585,0
2048,-0.1811,0.0826,9.9724,-0.0298,-0.1017,0.0064,0
2068,0.1365,0.2555,9.4003,0.0036,-0.0971,-0.0121,0
2088,-0.1085,0.2203,9.9075,0.0119,0.0482,-0.0091,0
2108,-0.0724,0.4178,9.9316,-0.0088,-0.0734,0.0,0
2128,-0.1995,-0.0073,9.9967,-0.0264,-0.0218,0.045,0
2148,-0.0779,0.1984,9.7274,0.0246,-0.0486,-0.0325,0
2168,-0.1272,0.0197,9.8101,0.0285,-0.0121,0.0082,0
2188,-0.3568,0.2198,9.2704,-0.0525,0.0154,0.0116,0
2208,-0.151,0.1674,9.6626,-0.0153,-0.0266,-0.0089,0
2228,0.1343,0.2489,9.8486,0.0311,-0.0326,-0.0255,0
2248,0.2428,0.1264,10.1335,0.0395,0.0292,-0.0302,0
2269,-0.0192,0.3372,10.2161,0.0026,0.1053,-0.0168,0
2289,0.0061,0.0714,9.7347,0.0146,0.0216,0.0295,0
2309,0.0515,0.0173,10.0023,0.0101,-0.0366,-0.0143,0
2329,0.3533,0.2405,9.7776,0.0382,0.0348,-0.004,0
2349,-0.1818,0.5337,9.4545,-0.0444,0.0698,-0.0463,0
2369,-0.2272,-0.0738,9.9431,0.0107,0.0425,-0.019,0
2389,-0.0093,-0.006,10.2129,-0.0356,-0.0617,0.0092,0
2409,0.071,0.2417,9.7261,0.0435,0.0211,-0.0667,0
2429,-0.006,0.4029,9.6104,-0.0423,-0.0184,0.0418,0
2449,-0.2456,0.2552,9.8248,0.0163,0.0021,-0.0237,0
2469,0.1593,0.0906,9.783,-0.0353,-0.015,0.0705,0
2489,-0.0249,0.2757,10.3842,0.0301,0.0297,0.0168,0
2510,0.0998,0.2929,10.0313,0.0176,-0.0141,-0.0734,0
2530,0.2795,0.0776,9.8385,0.0096,0.0567,0.0111,0
2550,-0.2634,0.3485,9.173,0.0784,-0.0001,-0.0127,0
2570,-0.3093,0.1938,9.7785,-0.0281,-0.0089,0.0116,0
2590,0.1018,-0.1149,10.2175,0.037,0.0229,0.0647,0
2610,-0.3662,0.1757,9.8276,0.0469,0.0143,0.0282,0
2630,-0.072,0.0976,9.9908,0.0371,0.024,-0.009,0
2650,-0.1028,0.4349,9.8962,-0.0271,-0.0053,-0.0559,0
2670,0.0648,-0.0392,9.7029,-0.0094,0.0534,0.0349,0
2690,-0.1199,0.113,10.1821,-0.0242,0.0396,0.0204,0
2710,0.0886,0.2463,9.8516,-0.0119,-0.0005,0.0463,0
2730,-0.1921,0.6354,9.6545,-0.0336,0.0329,-0.0057,0
2751,-0.2236,0.5519,9.8147,-0.0145,-0.0105,0.0118,0
2771,0.0035,0.1919,10.1241,0.0587,0.0228,-0.0099,0
2791,0.019,0.2629,9.4845,-0.0128,0.033,0.0035,0
2811,0.0531,0.3084,9.8695,0.0042,0.01,-0.0606,0
2831,0.2663,0.0178,9.8262,-0.029,-0.0328,0.0127,0
2851,0.2305,0.2018,9.4712,-0.0006,-0.0477,0.0153,0
2871,0.0813,0.4441,9.9787,0.0331,0.0117,-0.0202,0
2891,0.1457,0.2255,9.8664,0.0196,-0.029,0.0243,0
2911,0.0472,0.551,10.0033,0.0567,0.0422,0.0349,0
2931,0.2123,0.1198,10.0604,-0.0484,-0.0604,0.056,0
2951,0.0655,0.184,9.7978,-0.0303,0.0527,-0.0408,0
2971,-0.0994,0.1855,9.6878,-0.0165,0.002,0.0268,0
2991,-0.1354,-0.0342,9.4966,0.061,-0.0342,0.0535,0
3012,0.2072,0.3991,9.6682,0.012,-0.0181,-0.014,0
3032,-0.033,0.1399,9.8124,-0.0567,-0.0081,0.0558,0
3052,0.345,0.2465,9.598,0.0437,0.0193,-0.029,0
3072,-0.1988,0.0923,9.9384,0.0044,-0.049,0.0028,0
3092,0.2253,0.5105,9.6112,0.0356,-0.0384,-0.0691,0
3112,-0.0768,0.4219,9.4222,0.0633,-0.013,-0.0747,0
3132,0.0733,0.2105,9.6829,-0.0391,-0.0012,-0.0621,0
3152,-0.2343,-0.0204,9.8505,0.0633,0.0287,0.0567,0
3172,-0.3309,0.3339,9.5329,-0.003,0.0108,-0.031,0
3192,0.2664,0.3949,9.6146,-0.0166,-0.0156,-0.0309,0
3212,-0.079,0.0331,9.6714,0.0062,0.0095,0.0163,0
3232,0.1774,0.1742,9.7002,-0.0477,0.0066,-0.0297,0
3253,-0.1182,0.2138,9.8755,-0.0008,-0.0101,0.0482,0
3273,0.1776,0.3957,9.9503,-0.0097,0.0047,0.0745,0
3293,-0.0772,0.1728,9.7056,-0.0375,-0.0861,-0.0889,0
3313,-0.2179,0.3732,9.5814,-0.0259,0.0373,0.0208,1
3333,2.3824,-1.488,10.6133,0.1548,0.0219,0.1391,1
3353,4.6765,-3.0834,11.4682,0.211,0.0599,0.388,1
3373,6.8111,-4.0995,12.4759,0.2872,-0.0324,0.6812,1
3393,8.7832,-6.188,13.1332,0.4518,0.0229,0.8421,1
3413,10.5082,-7.5922,13.3555,0.5706,-0.0762,1.1056,1
3433,12.5216,-8.7992,14.3419,0.6445,-0.0706,1.3086,1
3453,14.3346,-10.4935,15.2009,0.698,-0.0095,1.4499,1
3473,15.9976,-11.9259,15.6262,0.7462,-0.0231,1.7463,1
3493,17.649,-13.2545,16.4317,0.9103,0.0419,1.9313,1
3514,18.628,-14.9625,17.3337,1.0841,0.0471,2.1147,1
3534,19.2623,-15.6862,17.8962,1.173,0.0513,2.2751,1
3554,19.945,-17.1242,18.4745,1.1921,0.0239,2.498,1
3574,20.8249,-18.5206,18.9387,1.3005,0.0256,2.605,1
3594,21.1587,-19.8496,19.3466,1.42,-0.0513,2.7832,1
3614,21.3755,-20.8965,20.1501,1.4649,0.056,2.9951,1
3634,20.869,-21.9887,20.7234,1.582,0.0501,3.1738,1
3654,20.4611,-22.6498,20.9141,1.6104,-0.0552,3.255,1
3674,20.1365,-23.572,21.709,1.6987,0.0187,3.4245,1
3694,19.4127,-24.3611,22.2123,1.7269,-0.0219,3.537,1
3714,17.7195,-25.126,22.3665,1.7639,0.074,3.6578,1
3734,16.6301,-25.8593,22.9641,1.8923,-0.039,3.7158,1
3755,15.4742,-26.3358,23.2556,1.8308,0.0037,3.8291,1
3775,13.7747,-26.9617,23.4097,1.9066,0.0074,3.9142,1
3795,11.6186,-27.491,23.6281,1.9612,-0.0021,4.0453,1
3815,10.0388,-28.0285,23.85,2.028,0.0859,3.9995,1
3835,7.7717,-28.2689,23.8983,1.9816,0.0676,4.0343,1
3855,5.7279,-28.719,24.2855,2.0392,-0.0655,4.2457,1
3875,3.2644,-28.8496,24.1059,1.9903,0.0195,4.1617,1
3895,1.1873,-28.5824,24.1612,2.0692,-0.0005,4.183,1
3915,-1.3445,-28.9926,24.4424,2.1246,0.0334,4.1868,1
3935,-3.4896,-28.9233,24.2386,1.9674,0.0085,4.1802,1
3955,-5.6625,-28.7103,24.2232,2.0051,-0.0325,4.1617,1
3975,-7.7383,-28.4975,23.7101,2.0503,-0.0415,4.1216,1
3995,-9.3969,-28.1548,23.808,2.1114,-0.0161,4.0887,1
4016,-11.3244,-27.6199,24.0894,1.9885,-0.0048,3.992,1
4036,-13.6766,-27.1273,23.0849,1.9014,0.0078,3.9586,1
4056,-15.0079,-26.4486,23.5799,1.8849,-0.0228,3.9107,1
4076,-16.9682,-25.5785,22.9328,1.7966,0.0682,3.7513,1
4096,-18.001,-25.3242,22.4015,1.8275,0.0214,3.6605,1
4116,-19.2959,-24.4831,22.0811,1.7817,0.035,3.5056,1
4136,-20.136,-23.9456,21.9692,1.7357,-0.0055,3.3997,1
4156,-20.2311,-22.9233,20.7361,1.6011,-0.0415,3.2882,1
4176,-21.2001,-21.7281,21.0549,1.5122,0.0353,3.1171,1
4196,-21.4285,-20.5673,20.2773,1.5302,-0.0397,2.986,1
4216,-21.4312,-19.4522,19.8873,1.4474,-0.0809,2.8372,1
4236,-21.0884,-18.2635,18.6979,1.2704,0.0226,2.7176,1
4257,-20.6673,-16.9295,18.4241,1.2089,-0.0302,2.4479,1
4277,-19.6014,-15.5809,17.3289,1.1661,-0.0134,2.3179,1
4297,-18.6123,-14.6182,17.4489,1.0318,0.0278,2.089,1
4317,-17.3847,-13.3634,16.2926,0.9476,-0.0372,1.95,1
4337,-16.0462,-11.7077,15.5938,0.7893,-0.0641,1.7538,1
4357,-14.5631,-10.2299,14.675,0.7025,0.0488,1.5829,1
4377,-12.8322,-8.916,14.4707,0.6409,-0.0023,1.2903,1
