timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.1333,0.0727,10.0448,0.0094,0.0059,0.0068,0
20,-0.1105,0.0815,9.7994,0.016,0.0349,-0.0017,0
40,0.1699,0.1481,9.8178,-0.0134,0.0978,0.0736,0
60,0.1951,0.4153,9.7323,0.0054,-0.0791,0.016,0
80,-0.0886,-0.244,9.5771,0.0243,-0.0319,-0.0447,0
100,-0.0792,0.5618,9.9772,-0.0433,0.0089,0.0253,0
120,-0.0777,0.1998,9.9535,0.0074,0.0404,-0.0136,0
140,-0.1533,0.4118,9.655,0.0886,0.0139,-0.0132,0
160,0.1641,-0.0213,10.1185,-0.0331,0.0449,-0.0069,0
180,0.028,0.3303,9.9739,0.0412,-0.0592,-0.0114,0
200,-0.1306,0.2696,9.6222,-0.0038,-0.0127,0.0108,0
220,0.0116,0.3015,9.7468,0.0473,0.0585,0.0846,0
240,-0.0681,0.0755,9.729,-0.0289,-0.0344,-0.0147,0
261,0.4506,0.1311,9.8787,0.0002,-0.116,0.0036,0
281,-0.0448,-0.0223,9.4957,0.0884,-0.0327,0.0094,0
301,0.1332,0.3375,9.6549,-0.0069,0.0175,-0.0205,0
321,0.0782,0.4417,9.9848,0.0253,-0.0028,-0.0161,0
341,-0.0271,0.2508,9.4609,0.0238,-0.0514,0.0397,0
361,0.0792,-0.2823,9.7665,-0.0811,-0.0289,-0.0204,0
381,0.0379,0.4442,9.5402,0.0178,-0.0532,-0.0355,0
401,0.4476,0.2214,10.0109,-0.0495,-0.0485,0.0713,0
421,-0.0175,-0.2778,9.8855,0.0253,-0.0352,-0.0482,0
441,-0.4692,-0.1066,9.4871,0.0047,0.0042,0.0353,0
461,0.394,0.0103,9.5807,-0.0446,-0.0955,-0.0081,0
481,-0.0917,0.1999,9.8131,-0.0476,0.0546,-0.0486,0
502,0.0156,0.0161,9.3025,-0.0029,-0.0041,-0.0151,0
522,-0.0979,0.0398,9.568,0.0992,-0.0443,-0.009,0
542,-0.1078,0.3645,9.6287,0.0649,-0.0389,-0.0652,0
562,-0.2014,0.4137,10.0927,0.0144,-0.0254,0.0171,0
582,-0.3604,0.3709,9.6831,0.0206,0.0002,0.0131,0
602,-0.1291,-0.0945,9.9551,0.0241,0.0061,-0.0139,0
622,0.0926,0.3697,9.706,-0.0214,-0.0078,0.0189,0
642,-0.2964,0.1138,9.9738,-0.0277,-0.0302,0.0082,0
662,0.091,0.5533,9.4685,0.034,-0.0004,0.0517,0
682,0.4176,0.2468,9.6509,-0.0241,-0.083,-0.0431,0
702,0.0516,0.419,9.786,0.0576,-0.0486,-0.0117,0
722,-0.2501,0.3001,9.8491,-0.0541,-0.027,0.04,0
742,0.0725,0.2779,9.8812,-0.0361,-0.0537,0.0217,0
763,0.1724,0.1337,9.8524,0.0566,-0.0087,-0.0921,0
783,0.2348,0.4173,9.9213,-0.0115,-0.0535,-0.0668,0
803,0.0338,0.3676,9.8074,-0.0049,0.0685,0.0,0
