timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.2614,-0.1516,9.7458,0.0064,0.0083,0.0117,0
20,0.0039,0.168,9.9581,-0.0442,-0.0214,0.0433,0
40,0.0236,0.1881,10.1347,-0.0002,-0.0114,0.0564,0
60,0.1597,0.0566,9.879,-0.0537,0.0607,-0.0119,0
80,-0.109,0.4473,9.8521,0.0385,0.0602,-0.0021,0
100,0.2605,0.0362,9.4448,0.0236,-0.066,-0.0257,0
120,0.1039,0.0384,9.5104,0.0173,-0.0225,0.0387,0
140,-0.1154,-0.245,9.4822,-0.0255,0.118,-0.0494,0
160,-0.0778,0.3999,9.7679,0.0568,-0.0173,-0.0289,0
180,-0.2261,0.1407,9.6266,-0.0434,0.0169,-0.1663,0
200,0.0554,0.141,9.7009,0.002,0.0455,-0.0472,0
220,-0.032,0.1616,9.6238,-0.0468,0.0341,-0.0236,0
240,0.0563,0.4148,9.6432,-0.0073,-0.1127,-0.0204,0
261,-0.3063,0.4903,9.4021,0.0508,0.0134,-0.0518,0
281,-0.0943,-0.1118,9.8584,0.0189,0.07,-0.0452,0
301,-0.1768,0.1167,9.964,-0.0368,0.0012,0.0505,0
321,0.0887,-0.0043,9.8253,-0.0209,-0.0416,-0.0312,0
341,-0.1083,0.1597,9.8903,-0.0152,-0.0409,-0.0724,0
361,0.0847,0.1836,9.9123,-0.0334,-0.008,-0.0417,0
381,-0.096,-0.1094,9.9035,0.0109,0.027,-0.0412,0
401,0.2927,0.2664,9.9962,0.0874,0.1156,-0.0028,0
421,0.0093,0.1191,10.072,-0.0224,-0.0116,0.0144,0
441,0.1649,0.3405,10.1572,0.0772,0.0225,-0.0541,0
461,-0.0204,0.2055,9.3863,-0.0001,-0.0618,0.012,0
481,0.1661,-0.1089,9.9128,0.0129,-0.0674,0.056,0
502,-0.1391,0.3106,9.5438,0.0104,-0.0199,0.0406,0
522,-0.0076,-0.0412,10.1194,-0.0679,0.0178,0.0232,0
542,-0.0837,-0.0217,9.8245,0.0182,-0.0035,0.0163,0
562,0.3364,0.143,9.8708,-0.0973,0.0021,-0.0127,0
582,-0.2139,0.1487,9.8358,0.0084,-0.011,0.0568,0
602,0.3726,-0.1156,9.8563,0.0065,-0.0011,0.0172,0
622,-0.2474,0.1734,10.1724,-0.0614,-0.0118,-0.0322,0
642,0.1325,0.184,10.0827,0.0026,-0.054,-0.006,0
662,-0.1119,0.1769,10.163,-0.0117,-0.0597,-0.027,0
682,0.0459,-0.1038,9.7672,-0.0061,0.0544,-0.0056,0
702,-0.0308,0.2259,9.3426,-0.0057,-0.0329,0.0486,0
722,-0.1495,0.3115,9.9744,-0.0236,-0.0096,-0.0071,0
742,0.0146,-0.0424,9.5644,0.003,0.0476,-0.0318,0
763,-0.0751,0.0064,9.7303,0.0346,-0.0108,0.0416,0
783,0.1028,0.3417,9.7963,-0.0096,0.0351,0.0511,0
803,-0.181,0.4844,9.8104,-0.002,-0.0355,-0.0314,0
823,0.085,0.1701,9.9516,0.026,0.0622,0.0592,0
843,0.1555,0.1191,9.6069,0.0908,0.0091,0.0385,0
863,-0.0195,0.2357,9.9478,-0.0077,-0.0011,-0.0221,0
883,-0.2381,0.4441,9.7681,-0.0681,-0.0066,0.0488,0
903,0.3118,0.047,10.3825,-0.0359,0.0306,-0.0493,0
923,0.0841,0.1129,9.4602,0.0241,0.0094,-0.0193,0
943,-0.1298,0.1082,9.838,0.0605,-0.1279,-0.0438,0
963,0.0889,-0.055,9.9453,-0.0378,-0.0179,-0.0391,0
983,-0.3016,0.3535,9.7195,-0.0017,0.0129,0.034,0
1004,0.2117,0.247,9.6838,0.0008,-0.0387,-0.0006,0
1024,0.3824,-0.1631,10.1014,-0.0308,-0.0202,-0.0444,0
1044,0.1483,0.198,9.995,0.0614,-0.0155,-0.0236,0
