timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.0852,0.3771,9.8037,0.0275,0.0128,0.0567,0
20,-0.2307,0.0301,9.9194,-0.0278,0.0446,0.0164,0
40,0.4801,-0.0051,9.828,-0.0423,-0.0602,-0.0048,0
60,0.2413,0.2048,9.7245,-0.0214,0.0696,0.0524,0
80,0.0693,0.5606,9.8385,0.0986,0.0132,-0.0163,0
100,-0.2887,0.301,9.7707,0.0063,0.0044,-0.0153,0
120,-0.2475,0.6235,10.1828,0.016,-0.0381,-0.0266,0
140,0.3412,0.1704,9.6834,-0.0102,-0.0255,-0.0627,0
160,-0.2084,0.359,9.9322,0.0693,-0.0151,-0.0344,0
180,0.09,0.1431,10.011,0.0344,-0.057,0.0022,0
200,0.3282,0.056,9.5193,-0.0416,-0.0126,0.0092,0
220,0.0191,0.0287,9.5652,0.0063,-0.0357,-0.0387,0
240,-0.2151,0.2636,10.2348,-0.0155,0.0273,-0.0204,0
261,-0.3196,0.4331,9.661,0.0164,-0.1218,-0.0757,0
281,0.0689,0.1412,9.8127,0.0399,-0.0099,0.0875,0
301,-0.1987,0.4558,9.7718,-0.0489,-0.0387,0.0587,0
321,0.0004,0.5295,9.8016,0.0144,0.0001,-0.0286,0
341,-0.1918,0.3562,9.7281,-0.0323,0.0942,0.0055,0
361,-0.1083,0.2588,9.8366,0.0567,0.067,-0.0352,0
381,-0.1025,0.0793,9.6312,0.0387,-0.0198,0.041,0
401,-0.047,0.4345,9.7608,-0.0796,-0.0074,0.0257,0
421,-0.1333,-0.0054,9.3763,-0.0451,-0.0335,-0.0526,0
441,0.0513,0.3093,9.7844,-0.0537,-0.006,-0.039,0
461,0.1795,-0.032,9.8837,-0.0025,0.0294,-0.0028,0
481,-0.0648,0.0097,10.021,0.0121,-0.0525,0.0554,0
502,0.047,0.189,10.0625,0.0317,0.0627,-0.0152,0
522,-0.1683,0.3267,9.727,-0.0098,0.0366,0.0523,0
542,-0.2821,0.3809,9.9949,-0.0113,0.0348,0.0124,0
562,0.0723,0.2007,9.5568,0.0114,0.0153,-0.0333,0
582,0.1583,0.1248,9.6962,0.126,-0.0361,-0.0167,0
602,-0.3445,0.0578,10.1666,-0.0606,0.0405,0.0253,0
622,-0.0164,0.326,9.8501,-0.0752,-0.0128,0.0336,0
642,0.0778,0.3191,9.8612,-0.0214,-0.0675,0.0373,0
662,0.0521,0.232,9.7708,-0.0287,0.0032,0.0086,0
682,-0.1062,0.2543,10.2211,-0.0295,-0.0464,0.0178,0
702,0.0086,0.4883,9.9268,-0.0005,-0.0242,0.0903,0
722,0.1667,0.383,10.1367,-0.0468,0.0283,0.0963,0
742,-0.1548,-0.0548,9.6798,-0.0238,-0.0048,0.0019,0
763,0.2799,0.3598,9.5961,-0.0118,-0.0015,-0.0707,0
783,-0.2498,0.4486,9.6417,-0.0108,0.0467,0.0052,0
803,0.1616,0.0525,9.9484,-0.0056,-0.0902,0.0046,0
823,0.0097,0.3707,10.1724,-0.006,0.045,-0.0505,0
843,-0.0927,0.741,9.975,-0.0323,0.0059,0.005,0
863,-0.3315,0.2868,10.003,-0.0102,-0.0028,-0.0418,0
883,0.2142,0.1576,9.848,-0.0002,-0.0015,0.0151,0
903,-0.1681,0.1819,9.5299,0.0384,0.0256,0.0238,0
923,-0.0054,0.2236,10.2551,-0.0592,0.041,0.0211,0
943,0.0848,-0.0839,9.9562,0.001,-0.0095,0.0396,0
963,0.4283,-0.0922,9.9251,0.0066,-0.0054,0.0188,0
983,-0.064,0.2487,10.0022,0.0074,0.0244,0.0315,0
1004,0.0092,0.1912,9.4329,0.0093,-0.0839,0.0517,0
1024,0.0745,0.3193,9.6998,-0.0525,-0.0039,-0.0177,0
1044,0.021,0.1492,9.9468,0.0064,0.0199,-0.0058,0
1064,-0.137,0.2149,9.7781,0.0042,-0.0197,-0.0142,0
1084,0.2674,0.3711,9.7932,0.0219,-0.0319,-0.0298,0
1104,-0.083,-0.2097,10.0919,-0.0067,-0.0061,-0.0119,0
1124,0.0843,0.0351,9.8358,-0.0216,-0.0234,0.0334,0
1144,-0.039,0.1058,10.3332,0.04,-0.0098,0.0291,0
1164,-0.1091,0.1714,9.801,-0.0487,-0.0189,-0.0678,0
1184,0.1887,-0.0551,9.9871,-0.055,0.0625,0.0686,0
1204,0.0473,0.0365,9.9165,-0.0496,-0.0456,0.0339,0
1224,-0.3932,0.3259,9.6837,0.0139,0.0334,0.0091,0
1244,0.0536,0.2837,9.5832,-0.0289,-0.0235,-0.0552,0
1265,-0.1129,-0.3027,9.8182,-0.0044,0.013,-0.0474,0
1285,-0.286,0.1595,10.2325,0.0554,0.0259,0.0601,0
1305,0.1722,0.1744,9.7234,-0.0471,0.0612,0.0402,0
1325,-0.1374,0.0356,9.9242,-0.0681,0.0157,0.0451,0
1345,0.0472,0.1744,9.7534,0.0332,-0.0159,-0.0053,0
1365,0.1656,0.2707,9.8587,-0.0334,0.0026,0.0523,0
