timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.0093,-0.0588,9.6435,-0.0329,-0.0023,-0.1004,0
20,-0.028,0.0899,10.1459,0.0213,0.0206,0.0162,0
40,0.0762,0.2705,9.7648,-0.0121,0.0138,0.0124,0
60,0.0654,0.3258,10.0392,0.0227,-0.0144,0.023,0
80,-0.0936,0.0546,9.5727,-0.1068,-0.0563,0.0045,0
100,0.2183,0.2899,9.8061,0.0798,-0.0209,-0.0215,0
120,0.2038,0.0894,9.4545,-0.0404,-0.0212,-0.0315,0
140,0.1337,0.0418,9.8149,0.0307,0.0222,0.0017,0
160,0.3201,0.5438,9.9831,0.02,-0.0026,0.0396,0
180,0.1394,0.1253,10.0227,0.0285,-0.0325,-0.1184,0
200,-0.1181,-0.0655,9.809,-0.0327,-0.0066,0.0375,0
220,0.0142,0.1212,9.7312,-0.0136,-0.0128,-0.0116,0
240,0.1692,0.1521,9.8292,0.0159,-0.0368,-0.0067,0
261,-0.1893,0.3643,9.6842,0.0002,0.0587,0.0278,0
281,-0.0491,0.1354,9.6839,-0.0364,-0.0074,-0.0068,0
301,-0.285,0.2681,9.7202,0.0229,-0.0317,0.009,0
321,0.3621,0.3913,9.8601,0.0913,-0.0665,-0.0654,0
341,0.0733,0.095,10.126,-0.0169,0.0035,-0.0111,0
361,0.1073,0.2524,10.0958,0.0195,0.0207,0.0203,0
381,-0.2715,0.1887,9.7399,0.0091,-0.0261,-0.0157,0
401,0.2002,0.2405,9.6306,-0.0148,0.0056,-0.0133,0
421,0.056,0.2182,9.6488,0.0323,-0.0437,0.0066,0
441,-0.3237,0.2263,9.4846,0.0317,-0.0092,0.0172,0
461,0.0822,0.1486,9.9702,-0.022,0.0434,0.0609,0
481,-0.176,0.2045,9.5034,0.0573,-0.0093,0.0176,0
502,0.0102,0.1509,9.3133,0.0004,-0.0258,0.0541,0
522,0.1355,0.6196,9.9704,0.043,0.0537,-0.0039,0
542,0.0351,0.3089,9.9608,0.0138,0.0079,-0.0947,0
