timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.14,0.381,9.6901,0.0195,0.01,-0.0103,0
20,0.2323,0.0978,9.699,-0.0328,0.0556,0.0238,0
40,-0.024,0.1469,10.0757,-0.0665,0.0373,-0.0731,0
60,0.0365,0.0097,9.2193,-0.0118,0.0226,0.0479,0
80,-0.1165,0.4476,10.1122,-0.0304,-0.0167,0.0368,0
100,-0.0087,0.2356,10.2552,-0.0133,-0.0325,-0.0084,0
120,0.1489,0.2415,9.6321,0.0686,0.0027,-0.0099,0
140,0.3274,0.2743,9.7121,-0.0304,0.0029,0.0623,0
160,-0.2336,0.2198,9.9076,-0.0194,-0.0349,-0.031,0
180,0.0036,0.2819,9.8601,0.0274,0.0325,-0.0079,0
200,-0.5009,0.07,10.0069,0.0088,0.0055,0.0526,0
220,-0.0687,0.4625,9.9096,0.045,0.0176,-0.0322,0
240,0.0188,-0.1474,9.9761,0.0246,0.051,0.0049,0
261,0.0261,0.056,10.4977,-0.0207,-0.0233,-0.0072,0
281,0.2621,0.377,9.4912,0.0154,-0.0625,0.0618,0
301,-0.0364,0.0727,10.0785,0.0035,-0.0176,-0.0163,0
321,0.2499,0.206,10.1059,-0.0528,0.0519,-0.0407,0
341,0.0395,0.0245,9.5904,0.0649,0.0003,0.0073,0
361,-0.0817,0.1714,9.6502,-0.0318,-0.0057,-0.0163,0
381,0.0305,0.0424,9.9104,-0.0032,-0.0155,0.0179,0
401,0.0206,0.287,9.56,-0.0142,-0.0002,0.013,0
421,0.0318,0.1465,9.6871,0.0035,-0.0171,-0.0351,0
441,-0.1116,-0.18,9.8578,0.0058,-0.0148,0.0552,0
461,-0.1135,-0.0301,9.6733,0.0174,0.0314,-0.0183,0
481,0.1817,-0.056,9.7645,-0.0143,0.0777,-0.0151,0
502,0.1688,0.325,9.6366,0.0325,-0.0253,0.0173,0
522,-0.1326,-0.0986,9.6215,-0.0204,-0.0161,0.049,0
542,-0.0216,0.0571,9.9043,-0.016,-0.0167,-0.0386,0
562,0.0613,0.4378,9.7898,-0.0516,0.0477,-0.0139,0
582,0.1303,0.2996,9.8347,0.0069,0.0228,0.0287,0
602,0.0301,-0.0367,9.9508,0.0456,-0.0077,-0.0172,0
622,0.1846,-0.0415,9.8468,-0.0074,-0.0151,0.0047,0
642,-0.0125,-0.0569,9.743,0.0529,0.0469,-0.0124,0
662,0.2475,0.133,9.6339,-0.0327,0.0012,0.0148,0
682,0.4083,0.0207,9.8998,-0.0407,-0.0012,-0.0374,0
702,0.0116,0.1368,10.2089,0.0417,-0.0648,0.0095,0
722,0.06,0.1495,9.9861,-0.0051,0.0239,0.0146,0
742,-0.1505,0.1075,9.509,-0.0292,-0.0002,0.0204,0
763,-0.0274,0.1236,9.4051,0.0079,0.0032,-0.0157,0
783,0.0286,0.1138,9.663,0.01,0.0031,0.0434,0
803,0.1118,-0.0235,9.5025,0.0284,0.0282,-0.063,0
823,-0.0327,-0.1314,9.553,-0.0099,-0.067,-0.0199,0
843,0.1194,0.1087,9.3349,-0.0407,-0.0359,0.0733,0
863,-0.06,-0.0251,9.8566,-0.0082,0.0588,0.0009,0
883,0.1614,0.2562,9.5783,-0.0006,-0.0368,0.0337,0
903,0.0664,-0.1,9.5764,0.0338,-0.0229,0.0057,0
923,0.0592,0.0429,9.6773,-0.0453,0.0375,0.0521,0
943,-0.0736,0.1248,9.6815,-0.0113,0.0015,-0.0058,0
963,-0.0134,0.3017,9.7575,0.0088,0.0018,0.0067,0
983,-0.0598,0.0372,9.5299,0.0464,0.0477,0.0262,0
1004,0.139,0.1295,10.007,-0.0201,-0.0172,0.046,0
1024,-0.2169,0.1987,9.8658,-0.0244,-0.0161,-0.0554,0
1044,-0.113,0.2221,9.8928,0.02,0.0228,0.0155,0
1064,0.1931,0.1587,9.722,-0.0683,0.0048,-0.0256,0
1084,0.03,0.3893,10.0249,-0.017,0.0308,-0.0017,0
1104,0.1957,0.0365,9.9077,0.0177,-0.0193,-0.0161,0
1124,0.1328,0.3769,9.8481,0.0106,0.006,-0.0672,0
1144,0.1492,0.2103,10.0096,0.0061,-0.0022,0.0317,0
1164,0.0673,0.1392,9.4759,-0.0492,-0.0117,-0.0394,0
1184,-0.1052,0.1518,9.8488,-0.0383,-0.0385,-0.0021,0
1204,0.0121,0.25,9.6761,0.0403,-0.0126,-0.0032,0
1224,-0.1997,-0.015,9.6647,-0.0028,-0.0162,-0.0239,0
1244,-0.0265,0.1233,9.9698,-0.0066,0.0376,0.0192,0
1265,-0.0872,0.0612,10.0844,-0.0237,0.017,-0.011,0
1285,-0.2978,0.3564,10.0645,0.0006,0.0133,-0.0215,0
1305,0.0682,-0.0041,9.8114,-0.0147,-0.0055,-0.0437,0
1325,0.0525,0.4197,9.7452,0.0257,-0.0268,-0.0278,0
1345,0.2019,0.0284,10.0582,-0.0316,0.0067,0.0127,0
1365,-0.1958,-0.1222,9.6136,0.025,0.0425,-0.06,0
1385,0.1729,-0.0393,10.1494,0.0493,-0.0258,0.0503,0
1405,-0.3711,-0.036,9.7328,0.0185,0.0136,-0.0046,0
1425,-0.0236,0.3653,9.8001,-0.037,-0.0136,-0.026,0
1445,0.3162,-0.1151,9.7034,0.0246,-0.0002,0.0179,0
1465,-0.0046,0.1517,9.817,-0.0147,-0.0047,-0.0125,0
1485,-0.1176,0.3348,9.6278,-0.0157,0.0135,0.0267,0
1506,-0.0001,0.5433,9.7355,0.0041,-0.0047,-0.0286,0
1526,0.1931,0.0824,9.8407,-0.0074,-0.0151,-0.0154,0
1546,0.0564,0.1179,9.7887,-0.0139,-0.0473,0.0432,0
1566,0.2082,-0.0866,9.3122,0.0206,0.0066,0.0723,0
1586,0.2502,0.0391,10.3048,0.0035,0.0183,0.0532,0
1606,0.3208,0.4497,10.1263,-0.0574,0.0019,0.0652,0
1626,0.4422,0.2394,9.577,0.0307,-0.0022,0.0441,0
1646,0.6363,0.2944,9.6857,0.036,0.0446,0.0644,0
1666,0.3763,0.2037,9.7757,0.018,0.0486,0.0709,0
1686,0.4565,0.2709,9.9429,0.0198,0.0321,0.1401,0
1706,0.2569,0.4102,9.9045,-0.0067,0.01,0.1534,0
1726,0.6397,0.0269,9.5902,-0.0359,0.0029,0.1377,0
1746,0.7474,0.218,10.2785,0.0053,-0.0316,0.1927,0
1767,0.6804,-0.0106,9.7307,0.0464,-0.0572,0.1611,0
1787,0.3885,-0.2257,10.171,0.0082,0.0411,0.188,0
1807,0.585,0.1424,9.6892,0.0498,0.0034,0.1559,0
1827,0.6967,0.1199,10.0214,0.0513,0.1018,0.1674,0
1847,0.5895,0.088,9.8851,-0.0011,-0.0175,0.177,0
1867,1.1072,-0.0023,9.6389,-0.0139,0.0128,0.1629,0
1887,0.8661,0.1219,9.9275,-0.0129,0.0307,0.1869,0
1907,0.9855,0.1678,9.8466,-0.0038,-0.0196,0.219,0
1927,1.023,0.4139,9.9944,-0.0292,-0.0081,0.1999,0
1947,0.9234,0.1856,9.6549,0.0167,-0.0058,0.2431,0
1967,0.7466,0.194,9.7932,0.0287,-0.0122,0.2125,0
1987,1.0972,-0.0199,9.9718,-0.0555,0.012,0.2192,0
2008,1.3242,-0.0528,9.4444,0.0535,0.0016,0.251,0
2028,0.9722,-0.0569,9.5792,-0.0158,-0.0611,0.1969,0
2048,0.9713,0.0526,9.8181,-0.0089,0.0033,0.2979,0
2068,1.2244,0.1096,9.846,0.0092,0.0112,0.2937,0
2088,1.2652,0.1345,9.7909,-0.0252,-0.0012,0.3038,0
2108,1.3266,-0.0309,9.9697,-0.0177,0.0494,0.3082,0
2128,1.1457,-0.2586,9.7899,-0.0249,0.0104,0.2886,0
2148,1.1691,0.0329,10.0145,-0.0,0.0007,0.3053,0
2168,0.7941,0.25,9.8747,-0.0174,0.0273,0.3154,0
2188,1.244,0.0398,9.5864,0.0113,0.068,0.2655,0
2208,1.1659,0.0881,9.8423,-0.0395,-0.0043,0.3201,0
2228,0.9219,-0.155,9.7943,0.0133,0.0316,0.3074,0
2248,1.5956,0.1199,9.6758,-0.0338,0.0552,0.3786,0
2269,1.3476,0.1655,9.5065,0.0303,-0.0069,0.3215,0
2289,1.0386,0.0088,9.574,0.0244,-0.0352,0.3272,0
2309,1.3979,0.2543,9.6404,-0.0642,0.0131,0.2978,0
2329,1.6477,0.2918,10.0218,0.0253,0.0404,0.3258,0
2349,1.5536,0.4385,9.745,-0.0783,-0.0086,0.2768,0
2369,1.5253,-0.0483,10.0544,-0.0352,0.0329,0.3984,0
2389,1.1819,0.1458,9.6056,0.031,-0.0258,0.3623,0
2409,1.2988,-0.09,9.6688,-0.0162,-0.0074,0.3355,0
2429,1.2525,0.1967,9.6975,0.0468,-0.0028,0.363,0
2449,1.3985,0.1775,9.7517,0.0212,-0.0042,0.3201,0
2469,1.5225,-0.2084,9.8581,-0.0129,-0.0258,0.3442,0
2489,1.4698,0.1435,9.9353,-0.0172,-0.0101,0.3167,0
2510,1.2546,0.0681,10.0611,0.0451,-0.059,0.304,0
2530,1.369,-0.0896,9.3701,-0.0144,0.0208,0.3725,0
2550,1.5626,0.0533,10.2148,-0.0558,0.0011,0.3458,0
2570,1.4732,0.4299,9.5978,-0.0278,0.0345,0.296,0
2590,1.4499,0.1917,9.83,0.0037,-0.0027,0.3216,0
2610,1.2385,-0.0323,10.0021,-0.0236,-0.054,0.3839,0
2630,1.3963,0.047,9.9384,0.0717,0.0096,0.321,0
2650,1.1794,-0.2097,10.0341,-0.0194,-0.0199,0.3589,0
2670,1.2179,-0.0729,10.0136,-0.0187,0.0321,0.3154,0
2690,1.101,0.3695,9.8934,-0.0296,-0.0064,0.3417,0
2710,1.6005,0.2467,9.96,0.0264,0.0605,0.3467,0
2730,1.5919,0.1722,9.5624,-0.0084,-0.0268,0.3074,0
2751,1.1319,0.1624,9.668,0.0244,0.0074,0.3191,0
2771,1.1509,0.3267,9.6152,0.0346,0.018,0.328,0
2791,1.2053,0.1513,9.3359,0.0109,-0.0099,0.297,0
2811,1.4309,0.0547,9.6222,0.0093,-0.04,0.3027,0
2831,1.3119,0.0854,9.6031,-0.036,-0.006,0.2754,0
2851,1.4131,0.0581,9.6238,-0.0454,-0.0546,0.3012,0
2871,1.4383,0.056,9.9435,-0.0449,-0.021,0.3244,0
2891,1.2208,0.3714,9.6567,0.0022,-0.0053,0.251,0
2911,1.1651,-0.0691,9.979,0.0691,0.03,0.2582,0
2931,1.3081,0.0192,9.4965,-0.017,0.0084,0.2112,0
2951,1.2349,-0.192,9.6793,0.0307,-0.0121,0.2809,0
2971,1.2046,0.2617,9.7319,0.0158,-0.014,0.2102,0
2991,1.0784,0.1548,10.0472,0.001,-0.0165,0.2657,0
3012,1.1377,0.3781,9.8223,-0.0073,0.0276,0.2599,0
3032,0.8907,-0.0023,9.8683,-0.0129,-0.0445,0.262,0
3052,0.8147,-0.0271,9.5905,-0.0135,-0.0254,0.2374,0
3072,0.8172,-0.0864,9.9803,0.0182,-0.0447,0.1726,0
3092,1.1999,0.1729,9.7982,0.0258,0.0176,0.2051,0
3112,0.6336,0.044,9.4593,-0.0127,0.0454,0.206,0
3132,0.9148,0.148,9.9501,-0.0131,0.0172,0.207,0
3152,1.0435,0.0321,9.8683,-0.0175,0.0194,0.1988,0
3172,0.752,0.3302,9.7412,0.03,-0.0158,0.1593,0
3192,0.5988,0.3024,9.741,0.0264,0.0146,0.1592,0
3212,0.6992,0.1138,9.5959,0.0443,-0.0225,0.1496,0
3232,0.4913,0.2685,10.0417,-0.0244,-0.0173,0.1046,0
3253,0.3841,0.0788,9.9554,-0.0185,-0.0011,0.1034,0
3273,0.7038,0.0927,9.5983,0.0496,0.0013,0.12,0
3293,0.652,-0.2463,9.8201,0.0397,0.0538,0.0866,0
3313,0.3538,0.1811,9.6682,-0.0297,0.026,0.0573,0
3333,0.2843,0.1037,9.5549,-0.0268,0.0035,0.045,0
3353,0.3541,0.2408,10.1211,0.0076,0.0513,0.1007,0
3373,0.2611,0.2143,9.7393,0.0373,0.0721,0.0797,0
3393,0.1021,-0.0198,9.6418,-0.0271,0.0006,0.0627,0
3413,-0.0545,0.0693,9.572,0.0026,0.0115,0.0375,0
3433,-0.0879,0.0235,9.7617,0.0327,-0.0372,0.0189,0
3453,-0.0906,0.2672,9.386,-0.0061,0.005,-0.0351,0
3473,-0.109,0.3517,9.7795,-0.0023,-0.0203,0.0322,0
3493,0.0472,0.2278,10.0522,0.0426,-0.0566,-0.0089,0
3514,-0.1286,0.4177,9.9955,-0.0125,0.0297,0.0186,0
3534,-0.1244,0.1838,9.9064,0.038,0.0032,-0.0281,0
3554,-0.2006,-0.0559,10.291,-0.0045,-0.0261,0.0494,0
3574,-0.1976,-0.122,9.8612,-0.0326,-0.0548,0.0056,0
3594,-0.2019,-0.0472,9.6277,0.0167,-0.0183,-0.0036,0
3614,-0.0128,0.0274,9.9769,-0.0185,-0.0202,-0.0306,0
3634,0.1667,-0.0084,9.8369,-0.0351,-0.0033,0.005,0
3654,0.2404,0.1087,9.818,0.0589,-0.0523,0.0185,0
3674,0.0084,0.0711,9.8691,0.0126,0.0129,-0.0672,0
3694,0.1698,0.1119,9.7308,-0.0096,0.0192,-0.004,0
3714,-0.1252,0.4907,10.1838,-0.009,-0.0391,-0.0036,0
3734,0.0909,0.2402,9.4844,0.0459,-0.0508,0.0135,0
