timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.1026,-0.2071,9.7086,-0.0029,-0.0279,0.0286,0
20,0.1748,0.3612,9.5252,0.0011,0.0295,-0.0161,0
40,-0.3753,-0.0263,9.7877,-0.0369,0.0026,-0.0044,0
60,-0.2792,-0.0183,9.7521,-0.0415,-0.0111,-0.0113,0
80,0.0286,0.1683,9.7095,-0.0041,0.0311,0.0434,0
100,0.1193,-0.0332,9.6999,0.0311,0.0068,0.0161,0
120,-0.1571,-0.0296,9.6321,-0.031,0.0028,0.0292,0
140,0.1823,0.3802,9.783,-0.015,-0.0182,0.022,0
160,-0.0248,0.3551,9.9263,-0.001,0.021,-0.0148,0
180,-0.185,0.0691,9.9061,0.047,0.0224,-0.0273,0
200,-0.2084,0.0292,9.7262,0.0209,0.0085,0.0149,0
220,0.038,0.0092,9.4493,0.0462,0.0029,0.0442,0
240,0.0818,-0.3842,9.8497,0.025,0.0563,0.0099,0
261,-0.3989,0.2586,9.7978,0.0305,-0.0254,-0.0356,0
281,-0.1023,0.1388,9.7143,-0.0473,-0.0098,0.017,0
301,-0.2609,0.0055,9.9555,-0.077,-0.0258,-0.0156,0
321,-0.006,0.475,10.0296,0.0267,0.0053,-0.0526,0
341,-0.0292,-0.2092,10.1129,0.0112,-0.0297,0.0484,0
361,-0.0633,0.3492,10.1746,-0.0646,-0.0094,-0.0247,0
381,0.3598,-0.0767,9.7801,-0.0243,0.0253,0.0387,0
401,0.2342,0.3979,10.2342,-0.0137,-0.0319,0.0414,0
421,0.0563,0.3344,9.7238,0.0229,0.0251,0.0122,0
441,-0.1585,-0.0914,9.8233,0.0024,-0.034,-0.0256,0
461,-0.1429,0.196,10.1539,0.0253,0.0054,0.0354,0
481,0.1949,0.1798,9.6293,-0.0365,0.0122,-0.0242,0
502,-0.215,0.0065,9.9206,-0.0506,0.0316,-0.0014,0
522,0.0379,0.2509,10.0476,-0.0581,0.0271,-0.0073,0
542,0.3115,0.2736,9.7362,0.0147,-0.0259,-0.0115,0
562,-0.2725,0.1966,9.7706,-0.0041,0.008,0.0073,0
582,0.188,0.0021,10.0857,0.0035,-0.0239,-0.0505,0
602,0.0992,0.3723,9.7921,0.0052,0.0178,-0.0205,0
622,0.0525,-0.0095,9.7418,-0.0618,0.0312,-0.0271,0
642,0.0399,0.0588,9.5893,-0.0029,-0.0013,0.0164,0
662,0.0463,0.097,9.6932,0.0306,0.0008,0.0212,0
682,0.0734,0.1665,9.7318,0.0326,-0.0024,-0.006,0
702,-0.0958,0.0447,9.6525,-0.0212,-0.0159,0.0185,0
722,0.0701,0.0571,10.1254,-0.0192,-0.02,-0.002,0
742,-0.0788,-0.1429,9.6868,0.0128,0.0292,-0.0087,0
763,-0.1333,-0.2287,10.164,0.0009,-0.0073,0.0097,0
783,-0.0651,0.2274,10.1905,-0.0378,0.0041,0.0064,0
803,-0.0429,0.2456,10.0321,-0.0131,0.018,-0.0318,0
823,0.2784,0.517,9.7449,0.0213,0.0066,0.0281,0
843,0.1788,0.1308,9.7027,-0.0309,-0.0205,-0.043,0
863,0.0252,-0.0682,9.9353,0.0578,-0.0018,-0.0393,0
883,-0.2227,-0.1126,9.8181,-0.0008,0.0181,-0.0308,0
903,-0.1347,-0.0208,9.8502,-0.0129,0.0104,-0.0006,0
923,0.265,0.1646,10.0653,0.028,-0.0405,0.047,0
943,-0.2048,-0.0394,9.5605,0.0104,-0.0434,0.0386,0
963,0.1083,0.2345,9.796,0.0207,-0.0216,-0.0274,0
983,-0.1011,0.1926,9.7998,-0.0485,-0.0093,-0.0032,0
1004,0.0967,0.1624,9.8365,0.0051,-0.0204,-0.0372,0
1024,0.0256,-0.1455,9.9919,0.0212,-0.0524,-0.0208,0
1044,0.0287,0.2968,10.2897,0.0057,-0.0407,0.0579,0
1064,-0.174,0.4865,9.7698,0.0248,-0.0113,-0.0061,0
1084,0.0593,-0.0714,9.9459,0.0453,0.0498,0.0354,0
1104,-0.0065,0.022,9.6199,0.0229,0.0683,0.0244,0
1124,-0.0313,-0.0801,9.8329,0.0016,0.0187,-0.0204,0
1144,-0.1284,0.1388,10.0945,0.0499,-0.0051,-0.0257,0
1164,-0.0709,0.1855,9.8668,0.0404,0.001,-0.0013,0
1184,-0.1637,0.0887,10.1712,0.0304,0.0026,-0.0041,0
1204,-0.0539,0.2889,9.6888,-0.0145,0.0083,0.0267,0
1224,0.0728,0.3286,9.8547,-0.0253,-0.0041,-0.0083,0
1244,-0.232,-0.1192,9.5373,-0.0079,-0.0137,0.0265,0
1265,-0.0046,0.1302,10.0287,0.012,0.0512,-0.02,0
1285,-0.095,0.166,9.5889,-0.015,-0.037,0.0008,0
1305,0.2024,0.1477,9.8333,0.0046,0.0275,-0.0298,0
1325,-0.0615,0.0464,10.206,0.0103,-0.0534,-0.0511,0
1345,-0.0135,0.1492,9.9274,0.0364,0.0131,-0.0274,0
1365,0.0606,-0.1414,9.6494,0.0512,-0.0493,0.0151,0
1385,0.2727,0.3374,9.3759,0.001,0.0561,0.041,0
1405,0.0604,0.0553,9.5918,-0.0234,-0.0225,-0.0043,0
1425,0.3828,0.0082,9.9041,0.0242,0.0044,0.0138,0
1445,0.1844,-0.1644,9.9794,-0.0195,0.0283,-0.0098,0
1465,-0.0179,0.3782,9.7978,-0.0326,-0.0326,-0.0141,0
1485,-0.4387,0.419,9.5678,0.038,0.003,0.0333,0
1506,-0.1192,0.1227,9.7477,-0.0167,-0.0086,0.039,0
1526,0.1034,-0.1134,9.7577,0.037,0.0298,0.0424,0
1546,-0.2022,0.0525,10.043,-0.0363,0.0309,0.0252,0
1566,-0.3102,0.0766,9.9859,0.0239,0.0105,-0.0095,0
1586,0.0415,-0.0217,9.8701,0.0574,-0.0402,-0.0177,0
1606,-0.2555,0.1568,10.0218,-0.0394,-0.015,-0.0499,0
1626,0.0136,0.2204,9.8854,0.0174,-0.0026,0.058,0
1646,-0.0317,0.1001,10.0265,-0.0131,0.0377,-0.0447,0
1666,-0.2402,-0.1549,9.9138,-0.0278,-0.0416,0.0012,0
1686,0.3027,0.0265,9.8865,0.092,-0.008,-0.048,0
1706,-0.1081,0.0427,9.8031,-0.0325,0.039,0.0321,0
1726,0.1565,0.04,10.1961,0.0162,-0.0065,0.0115,0
1746,0.2067,0.3293,9.9003,-0.0264,-0.0002,0.0396,0
1767,-0.1215,0.0702,9.7368,0.0042,-0.0554,0.0064,0
1787,0.3325,0.1828,9.5532,0.003,-0.0138,0.021,0
1807,-0.1372,0.3597,10.0682,0.0183,0.0167,0.0106,0
1827,-0.0179,0.0956,9.7831,-0.0015,-0.024,0.0381,0
1847,0.0473,0.1002,9.8571,-0.0005,-0.0525,0.0106,0
1867,-0.2259,0.1195,10.1137,0.0105,-0.0288,0.0297,0
1887,-0.0284,0.3502,9.9159,0.0144,0.0379,0.0606,0
1907,0.1034,0.5464,9.9139,0.0283,0.011,-0.0241,0
1927,0.0543,0.116,9.9028,-0.0127,0.0268,-0.022,0
1947,0.2108,0.3093,9.8435,-0.0391,0.018,0.0373,0
1967,-0.19,0.3049,9.7338,-0.0232,0.0747,0.0074,0
1987,-0.039,0.3102,9.9062,0.0146,0.0306,0.0082,0
