timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.0231,0.1716,9.5815,0.0666,0.0243,0.0251,0
20,-0.0163,0.1462,9.4869,0.0849,-0.0344,-0.0064,0
40,0.1233,0.1665,9.626,0.007,0.0203,0.0724,0
60,-0.307,0.1093,9.3733,-0.0347,-0.024,0.002,0
80,-0.2397,-0.0208,9.7121,-0.0461,-0.0188,0.007,0
100,0.2246,0.0145,9.8173,0.0227,-0.0313,0.0161,0
120,-0.1547,-0.31,9.8678,0.0528,0.0042,0.0024,0
140,0.0173,0.2461,10.0397,0.045,-0.0071,0.0184,0
160,0.0494,-0.0473,9.605,0.0295,0.0602,-0.0402,0
180,0.1718,0.0915,9.6053,-0.0004,0.0445,0.0487,0
200,-0.0911,0.1091,9.6372,-0.0362,-0.0183,-0.023,0
220,0.1061,0.1737,9.9079,0.0394,-0.0346,-0.0403,0
240,-0.1311,0.1716,9.8633,-0.0339,-0.0102,-0.0197,0
261,-0.0972,0.2372,9.7185,-0.0141,0.0127,0.0523,0
281,-0.0746,0.0469,10.1278,-0.0368,-0.0037,-0.0182,0
301,-0.0576,-0.0985,9.7873,-0.0557,0.0188,-0.0279,0
321,-0.1139,0.0995,9.7129,-0.0413,-0.0547,-0.0405,0
341,-0.0268,0.0073,9.7306,-0.0398,0.0402,-0.0289,0
361,0.0437,0.1994,9.7796,0.0005,0.0612,-0.009,0
381,0.1577,0.1591,9.6738,-0.0206,-0.0531,-0.0174,0
401,-0.184,-0.074,9.1782,0.0588,0.0186,0.0226,0
421,-0.1947,0.1688,9.8936,-0.0311,0.0042,-0.008,0
441,-0.1522,-0.058,9.9497,-0.0423,0.0148,-0.0271,0
461,0.0151,0.035,10.0709,0.0504,-0.066,0.0376,0
481,0.0878,0.0765,9.8015,0.0485,-0.06,-0.0123,0
502,-0.0746,-0.2009,9.3863,-0.0205,-0.0006,0.0188,0
522,0.2168,0.2989,9.9104,0.0289,-0.0197,0.0202,0
542,0.0676,-0.0099,9.4959,0.0412,-0.0179,-0.0102,0
562,0.0588,-0.0575,10.0064,-0.0409,0.0105,-0.0046,0
582,0.1497,0.0689,10.0195,0.0035,0.0366,-0.0003,0
602,0.1563,-0.0495,9.476,-0.0504,-0.034,0.0265,0
622,0.0838,0.5042,9.9573,-0.0083,0.0012,-0.0269,0
642,-0.2144,0.1931,9.7726,0.0036,-0.0239,-0.0111,0
662,0.3907,-0.1309,9.563,0.0096,0.0048,0.0436,0
682,-0.1223,0.2388,9.8704,-0.0054,-0.0081,0.0083,0
702,0.2462,-0.1168,9.6472,-0.0126,0.0178,0.0371,0
722,-0.3494,0.1405,9.3091,-0.0172,-0.0443,-0.0357,0
742,-0.0738,0.3061,10.0586,-0.043,0.0198,0.0503,0
763,-0.0308,0.0536,9.8842,0.0369,-0.0248,0.0213,0
783,0.1726,-0.0819,9.953,0.0565,-0.0303,0.0251,0
803,0.0978,0.0755,10.1385,0.0383,-0.0139,-0.0267,0
823,0.1063,-0.0789,9.8647,0.0321,0.0391,0.0331,0
843,0.3186,-0.2655,9.9904,0.0136,0.0049,-0.0414,0
863,0.2995,0.2537,9.9858,0.0135,0.0047,0.0087,0
883,0.1593,0.1758,9.7176,0.0406,0.0285,-0.0019,0
903,-0.0771,-0.0636,9.7407,-0.0336,-0.0859,0.0254,0
923,-0.0106,0.2109,9.8124,0.0241,-0.0388,0.0085,0
