sample_id,scenario,category,label,video_path,sensor_path,split
1,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_01.mp4,data\raw\sensors\normal_normal_smooth_01.csv,train
2,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_02.mp4,data\raw\sensors\normal_normal_smooth_02.csv,train
3,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_03.mp4,data\raw\sensors\normal_normal_smooth_03.csv,train
4,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_04.mp4,data\raw\sensors\normal_normal_smooth_04.csv,train
5,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_05.mp4,data\raw\sensors\normal_normal_smooth_05.csv,train
6,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_06.mp4,data\raw\sensors\normal_normal_smooth_06.csv,train
7,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_07.mp4,data\raw\sensors\normal_normal_smooth_07.csv,train
8,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_08.mp4,data\raw\sensors\normal_normal_smooth_08.csv,train
9,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_09.mp4,data\raw\sensors\normal_normal_smooth_09.csv,train
10,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_10.mp4,data\raw\sensors\normal_normal_smooth_10.csv,train
11,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_11.mp4,data\raw\sensors\normal_normal_smooth_11.csv,train
12,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_12.mp4,data\raw\sensors\normal_normal_smooth_12.csv,train
13,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_13.mp4,data\raw\sensors\normal_normal_smooth_13.csv,train
14,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_14.mp4,data\raw\sensors\normal_normal_smooth_14.csv,train
15,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_15.mp4,data\raw\sensors\normal_normal_smooth_15.csv,train
16,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_16.mp4,data\raw\sensors\normal_normal_smooth_16.csv,train
17,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_17.mp4,data\raw\sensors\normal_normal_smooth_17.csv,train
18,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_18.mp4,data\raw\sensors\normal_normal_smooth_18.csv,train
19,normal_smooth,normal,0,data\raw\videos\normal_normal_smooth_19.mp4,data\raw\sensors\normal_normal_smooth_19.csv,train
