sample_id,scenario,description,category,label,video_path,sensor_path,speed_kmh,latitude,longitude,split
1,mobile_imu_urban_cruising_01,Urban Cruising at 52 km/h (Stable 1G Acceleration),normal,0,data/mobile_imu/videos/mobile_imu_urban_cruising_01.mp4,data/mobile_imu/sensors/mobile_imu_urban_cruising_01.csv,43.4,17.38574,78.48639,test
2,mobile_imu_highway_cruising_02,Highway Cruising at 68 km/h (Smooth Baseline),normal,0,data/mobile_imu/videos/mobile_imu_highway_cruising_02.mp4,data/mobile_imu/sensors/mobile_imu_highway_cruising_02.csv,45.1,17.38566,78.48632,test
3,mobile_imu_city_traffic_03,City Traffic Flow at 42 km/h (Normal Vibrations),normal,0,data/mobile_imu/videos/mobile_imu_city_traffic_03.mp4,data/mobile_imu/sensors/mobile_imu_city_traffic_03.csv,63.4,17.38507,78.48746,test
4,mobile_imu_suburban_drive_04,Suburban Driving at 55 km/h (Continuous Tracking),normal,0,data/mobile_imu/videos/mobile_imu_suburban_drive_04.mp4,data/mobile_imu/sensors/mobile_imu_suburban_drive_04.csv,37.2,17.38504,78.48741,test
5,mobile_imu_ring_road_05,Ring Road Cruising at 60 km/h (Zero Impact),normal,0,data/mobile_imu/videos/mobile_imu_ring_road_05.mp4,data/mobile_imu/sensors/mobile_imu_ring_road_05.csv,42.7,17.38492,78.48635,test
6,mobile_imu_severe_collision_01,Severe Frontal Impact at 48 km/h (G-Force 14.2 m/s²),accident,1,data/mobile_imu/videos/mobile_imu_severe_collision_01.mp4,data/mobile_imu/sensors/mobile_imu_severe_collision_01.csv,30.9,17.38503,78.48654,test
7,mobile_imu_intersection_crash_02,Intersection T-Bone Collision (Speed Drop to 8 km/h),accident,1,data/mobile_imu/videos/mobile_imu_intersection_crash_02.mp4,data/mobile_imu/sensors/mobile_imu_intersection_crash_02.csv,9.5,17.38467,78.48655,test
8,mobile_imu_highway_pileup_03,Highway Collision Impact (Sudden G Shock),accident,1,data/mobile_imu/videos/mobile_imu_highway_pileup_03.mp4,data/mobile_imu/sensors/mobile_imu_highway_pileup_03.csv,10.6,17.38445,78.48567,test
9,mobile_imu_barrier_impact_04,Off-Road Barrier Impact (Chassis Deformation),accident,1,data/mobile_imu/videos/mobile_imu_barrier_impact_04.mp4,data/mobile_imu/sensors/mobile_imu_barrier_impact_04.csv,8.4,17.38468,78.48607,test
10,mobile_imu_rear_impact_05,High-Energy Impact Deceleration (Automatic 108 Alert),accident,1,data/mobile_imu/videos/mobile_imu_rear_impact_05.mp4,data/mobile_imu/sensors/mobile_imu_rear_impact_05.csv,9.7,17.38508,78.48622,test
