timestamp_ms,ax,ay,az,gx,gy,gz,speed_kmh,label
0,3.3262,4.547,12.744,0.0904,-0.0316,0.0095,13.4,0
20,3.3855,4.4059,12.9151,0.0649,-0.0019,-0.0149,13.5,0
40,3.3664,4.4463,12.9031,0.0843,-0.0219,0.0199,13.5,0
60,3.3405,4.4752,12.9006,0.0656,-0.0121,0.012,13.6,0
80,3.438,4.3969,12.9781,0.0791,-0.0127,0.0255,13.6,0
100,3.3286,4.506,12.9618,0.0586,-0.0319,0.0334,13.7,0
120,3.2679,4.5215,13.0366,0.069,-0.0371,0.007,13.7,0
140,3.3338,4.4708,13.0244,0.049,0.0008,0.0116,13.8,0
160,3.3572,4.4495,12.9871,0.0739,-0.0364,0.007,13.8,0
180,3.2603,4.4503,12.9588,0.049,-0.013,0.004,13.8,0
200,3.3489,4.367,13.1366,0.0653,0.008,0.0111,13.9,0
220,3.3009,4.4746,13.0259,0.0574,-0.0152,0.0044,13.9,0
240,3.4013,4.4948,13.1613,0.0595,-0.0072,0.0238,14.0,0
260,3.4262,4.5158,13.2064,0.047,-0.0324,0.011,14.0,0
280,3.3271,4.5342,13.137,0.0484,-0.0163,0.0092,14.1,0
300,3.3559,4.5824,13.2171,0.0511,-0.0127,0.0096,14.1,0
320,3.3003,4.4605,13.2021,0.052,-0.0144,0.01,14.2,0
340,3.2948,4.4914,13.307,0.0417,0.0026,-0.0043,14.2,0
360,3.3697,4.452,13.1807,0.0445,-0.0057,0.0247,14.3,0
380,3.3004,4.4968,13.3053,0.0484,-0.0133,0.0157,14.3,0
400,3.3055,4.5152,13.3553,0.0273,0.0006,0.0145,14.4,0
420,3.354,4.406,13.3441,0.03,-0.0095,0.0109,14.4,0
440,3.2856,4.4441,13.3763,0.0326,-0.0036,-0.0013,14.5,0
460,3.287,4.5844,13.4474,0.0188,-0.017,0.0122,14.5,0
480,3.3,4.4542,13.3444,0.0345,-0.0227,0.008,14.6,0
