timestamp_ms,ax,ay,az,gx,gy,gz,speed_kmh,label
0,0.3161,0.587,9.5889,0.0696,-0.0479,0.0178,39.4,0
20,0.2879,0.4797,9.5087,0.0701,-0.0518,0.0283,40.1,0
40,0.2226,0.5178,9.5087,0.0569,-0.0395,0.0175,40.7,0
60,0.315,0.5128,9.519,0.0798,-0.05,0.0276,41.4,0
80,0.3044,0.4482,9.6217,0.0714,-0.0272,0.0204,42.0,0
100,0.3783,0.4743,9.5707,0.0931,-0.0232,0.0056,42.7,0
120,0.3674,0.4431,9.5985,0.0596,-0.0159,0.0467,43.3,0
140,0.299,0.4011,9.5839,0.0665,-0.0284,0.0306,44.0,0
160,0.3499,0.4019,9.5463,0.0596,-0.0388,0.0346,44.6,0
180,0.322,0.2491,9.588,0.0671,-0.0218,0.0169,45.3,0
200,0.3423,0.2885,9.5948,0.0478,-0.0266,0.0375,45.9,0
220,0.4176,0.3187,9.6462,0.0584,-0.0252,0.0496,46.6,0
240,0.3794,0.3193,9.5525,0.0472,-0.0048,0.0299,47.2,0
260,0.2928,0.2159,9.6105,0.0534,-0.0113,0.0369,47.9,0
280,0.3262,0.1905,9.5674,0.0373,0.0154,0.0406,48.5,0
300,0.3795,0.2253,9.7469,0.0509,0.0117,0.0434,49.2,0
320,0.2455,0.1553,9.6527,0.0295,0.0076,0.0628,49.8,0
340,0.2588,0.1158,9.6103,0.0374,0.0059,0.0546,50.5,0
360,0.3591,0.207,9.7889,0.0361,0.0161,0.0373,51.1,0
380,0.3488,0.1086,9.5926,0.0285,0.0407,0.0625,51.8,0
400,0.3672,-0.006,9.6157,0.0295,-0.0151,0.0346,52.4,0
420,0.3321,-0.0275,9.5769,0.0434,0.0145,0.0305,53.1,0
440,0.3619,0.0683,9.6654,0.0289,0.0305,0.0485,53.7,0
460,0.3404,0.0217,9.816,0.0223,0.0262,0.0353,54.4,0
480,0.4129,-0.0335,9.6864,0.0181,0.0351,0.0523,55.0,0
500,0.3566,-0.0365,9.6829,0.0266,0.0252,0.0418,55.7,0
520,0.3958,-0.1143,9.6885,0.0016,0.0388,0.0535,56.3,0
540,0.2739,-0.0378,9.7135,0.0019,0.0482,0.0567,57.0,0
560,0.2597,-0.1163,9.6699,0.0186,0.0363,0.0579,57.6,0
580,0.3226,-0.1919,9.8269,0.0042,0.0423,0.0511,58.2,0
600,0.421,-0.156,9.8883,-0.0046,0.0421,0.0546,58.9,0
620,0.424,-0.1818,9.8456,0.0086,0.0494,0.0432,59.5,0
640,0.3525,-0.1636,9.7548,0.0146,0.0631,0.0726,60.2,0
660,0.4132,-0.1732,9.7105,0.0118,0.0626,0.0505,60.8,0
680,0.3515,-0.1752,9.6959,0.0085,0.0614,0.0665,61.5,0
700,0.4412,-0.2953,9.7856,-0.0107,0.0885,0.0557,62.1,0
720,0.4766,-0.381,9.7537,-0.0006,0.0717,0.0676,62.8,0
740,0.3275,-0.2826,9.806,0.0114,0.0743,0.0533,63.4,0
760,0.4064,-0.3875,9.8143,-0.0069,0.067,0.0557,64.1,0
780,0.4327,-0.4311,9.7937,-0.0094,0.0696,0.0615,64.7,0
800,0.4495,-0.3441,9.7585,-0.0024,0.0932,0.0266,65.4,0
820,0.4055,-0.4049,9.8647,-0.0189,0.0827,0.0657,66.0,0
840,0.4307,-0.5087,9.8054,-0.0063,0.081,0.0762,66.7,0
860,0.4086,-0.4551,9.7683,-0.032,0.0846,0.0592,67.3,0
880,0.359,-0.5037,9.805,-0.0273,0.0878,0.0727,68.0,0
900,0.3879,-0.4838,9.764,-0.0231,0.1092,0.0567,68.6,0
920,0.4376,-0.4529,9.8861,-0.0235,0.1034,0.0682,69.3,0
940,0.4979,-0.6262,9.9187,-0.0194,0.0841,0.0713,69.9,0
960,0.3859,-0.544,9.9129,-0.0263,0.1174,0.0731,70.6,0
980,0.3585,-0.5334,9.8597,-0.0295,0.1033,0.083,71.2,0
1000,0.3473,-0.6637,9.8709,-0.0388,0.1057,0.061,71.9,0
1020,0.4135,-0.6212,9.861,-0.0172,0.1163,0.0766,72.0,0
1040,0.3615,-0.5993,9.8177,-0.0345,0.102,0.0731,72.1,0
1060,0.381,-0.5281,9.8476,-0.0301,0.0973,0.071,72.2,0
1080,0.3522,-0.6477,9.8144,-0.0254,0.0995,0.0836,72.3,0
1100,0.5042,-0.5682,9.8355,-0.0273,0.0913,0.0701,72.4,0
1120,0.4226,-0.5444,9.7926,-0.0295,0.0927,0.0909,72.5,0
1140,0.3457,-0.6297,9.8723,-0.0309,0.0963,0.0931,72.6,0
1160,0.4603,-0.5995,9.7699,-0.0437,0.0955,0.0966,72.7,0
1180,0.357,-0.5633,9.8828,-0.0311,0.0798,0.0905,72.8,0
1200,0.4317,-0.6361,9.9342,-0.0346,0.0743,0.0923,73.0,0
1220,0.4674,-0.5643,9.8014,-0.0314,0.1148,0.0744,73.1,0
1240,0.4087,-0.5234,9.8364,-0.0391,0.0917,0.0825,73.2,0
1260,0.4393,-0.5404,9.8879,-0.0336,0.082,0.0759,73.3,0
1280,0.3999,-0.5279,9.7732,-0.0306,0.0788,0.0878,73.4,0
1300,0.3269,-0.546,9.833,-0.0459,0.0717,0.079,73.5,0
1320,0.4522,-0.5696,9.8067,-0.042,0.0606,0.0793,73.6,0
1340,0.396,-0.5308,9.6836,-0.0319,0.0664,0.083,73.7,0
1360,0.3427,-0.4533,9.7476,-0.0255,0.065,0.0874,73.8,0
1380,0.4573,-0.4065,9.7803,-0.0339,0.058,0.0679,73.9,0
1400,0.3942,-0.5492,9.7493,-0.035,0.0783,0.0724,74.0,0
1420,0.3392,-0.6104,9.7671,-0.0315,0.0774,0.0715,74.1,0
