timestamp_ms,ax,ay,az,gx,gy,gz,speed_kmh,label
0,1.0753,0.6372,10.0662,0.0071,-0.0372,0.0242,23.1,0
20,1.1648,0.5382,10.0,0.0055,-0.0289,0.0469,23.8,0
40,1.0596,0.4978,10.0657,0.0133,-0.0424,0.0638,24.4,0
60,0.9889,0.5396,10.084,0.0347,-0.0327,0.0339,25.0,0
80,1.0759,0.5725,10.0412,0.0099,-0.0411,0.0108,25.6,0
100,1.0716,0.4763,9.9976,0.0147,-0.0513,0.04,26.2,0
120,1.1355,0.4845,10.0267,0.0335,-0.0359,0.0166,26.8,0
140,0.9738,0.5541,9.9962,0.0186,-0.0368,0.0222,27.4,0
160,0.9485,0.5447,9.8851,0.0406,-0.0287,0.0164,28.0,0
180,0.9232,0.5478,9.9975,0.0226,-0.0372,0.012,28.6,0
200,0.9183,0.5009,9.9698,0.0288,-0.0237,0.0402,29.2,0
220,0.932,0.4948,9.9819,0.0006,-0.0328,0.0231,29.8,0
240,0.9286,0.5744,10.0096,0.018,-0.0247,0.0221,30.4,0
260,0.8911,0.5948,9.9238,0.0172,-0.0262,0.0024,31.1,0
280,0.9451,0.4982,9.9203,0.0167,-0.021,0.0163,31.7,0
300,0.8682,0.5011,9.9553,0.0232,-0.0136,0.0278,32.3,0
320,0.9494,0.5089,10.0156,0.047,-0.0265,-0.0085,32.9,0
340,0.7401,0.5228,9.824,0.0446,-0.0042,0.0251,33.5,0
360,0.8481,0.4994,9.9816,0.0315,-0.0196,0.0039,34.1,0
380,0.7893,0.4645,9.9144,0.03,-0.0084,0.0024,34.7,0
400,0.7702,0.5558,9.9144,0.0313,-0.0053,0.0061,35.3,0
420,0.6945,0.5114,9.9161,0.0561,0.0054,0.0112,35.9,0
440,0.7405,0.5085,9.9683,0.0285,-0.0113,0.0073,36.5,0
460,0.6452,0.4108,9.9367,0.0408,0.0001,0.022,37.1,0
480,0.678,0.5541,9.9394,0.0301,-0.0133,0.0054,37.7,0
500,0.5437,0.501,9.927,0.0412,-0.0029,-0.0042,38.3,0
520,0.574,0.4304,10.029,0.0235,-0.0182,0.0083,39.0,0
540,0.6366,0.4353,9.7934,0.049,0.0205,-0.0002,39.6,0
560,0.5807,0.4377,9.8962,0.046,-0.0058,-0.0229,40.2,0
580,0.6059,0.4317,9.8652,0.0481,-0.0096,0.0049,40.8,0
600,0.5325,0.4439,9.9062,0.0431,-0.0055,-0.0172,41.4,0
620,0.6211,0.4181,9.7944,0.033,0.0073,-0.0174,42.0,0
640,0.5262,0.3607,9.8215,0.0616,0.0071,-0.0068,42.6,0
660,0.5463,0.4694,9.8205,0.0564,0.0085,-0.0013,43.2,0
680,0.441,0.3545,9.8672,0.0435,0.0068,-0.0088,43.8,0
700,0.5155,0.4865,9.7933,0.0461,0.0021,-0.0245,44.4,0
720,0.4189,0.4285,9.7397,0.0616,0.0104,-0.0143,45.0,0
740,0.3167,0.3433,9.8459,0.0527,0.0152,-0.0333,45.6,0
760,0.423,0.4436,9.7216,0.0576,0.0277,-0.0169,46.3,0
780,0.3851,0.3781,9.8146,0.0482,0.0402,-0.0365,46.9,0
800,0.2929,0.5764,9.7652,0.058,0.0159,-0.0428,47.5,0
820,0.3223,0.3752,9.8146,0.0702,0.0208,-0.0045,48.1,0
840,0.2811,0.4132,9.6502,0.0376,0.0094,-0.0245,48.7,0
860,0.3129,0.3817,9.7488,0.0519,0.0123,-0.0259,49.3,0
880,0.3163,0.3902,9.7802,0.0554,0.0069,-0.0529,49.9,0
900,0.1945,0.3813,9.6909,0.0598,0.0411,-0.031,50.5,0
920,0.2404,0.3212,9.6979,0.0501,0.0419,-0.0215,51.1,0
940,0.2063,0.3714,9.6578,0.0477,0.0242,-0.034,51.7,0
960,0.2577,0.3057,9.7172,0.0443,0.0341,-0.0178,52.3,0
980,0.1149,0.2999,9.7847,0.0495,0.017,-0.0659,52.9,0
1000,0.101,0.3156,9.8024,0.0406,0.0385,-0.048,53.5,0
1020,0.216,0.3827,9.6218,0.0458,0.04,-0.0431,53.6,0
1040,0.2218,0.4441,9.6904,0.0582,0.0402,-0.0401,53.6,0
1060,0.22,0.4205,9.6434,0.0559,0.0354,-0.0291,53.6,0
1080,0.1463,0.5385,9.7508,0.0694,0.0483,-0.0341,53.6,0
1100,0.1664,0.393,9.5989,0.0644,0.0532,-0.0251,53.6,0
1120,0.1122,0.4354,9.7388,0.0561,0.0484,-0.0334,53.6,0
1140,0.1616,0.5676,9.6756,0.0546,0.0554,-0.0325,53.6,0
1160,0.0841,0.4597,9.6841,0.0641,0.0501,-0.0278,53.6,0
1180,0.0979,0.5353,9.6438,0.058,0.0563,-0.0292,53.6,0
1200,0.0634,0.5446,9.7462,0.0727,0.0573,-0.0002,53.6,0
1220,0.1548,0.5209,9.6828,0.051,0.025,-0.0132,53.6,0
1240,0.0212,0.6373,9.7588,0.0618,0.0413,-0.0202,53.6,0
1260,-0.0051,0.5803,9.7427,0.0661,0.0523,-0.0198,53.6,0
1280,0.1312,0.5384,9.7406,0.0477,0.0381,-0.0072,53.6,0
1300,0.0364,0.6076,9.6466,0.0858,0.0696,-0.0028,53.6,0
1320,0.0854,0.682,9.6934,0.0369,0.048,0.0005,53.6,0
1340,0.0843,0.7498,9.6888,0.0554,0.0673,0.0013,53.6,0
