timestamp_ms,ax,ay,az,gx,gy,gz,speed_kmh,label
0,2.8251,2.9779,11.2728,-0.0282,0.0465,0.0729,11.0,0
20,2.8167,3.0125,11.2071,-0.0006,0.0535,0.0618,10.8,0
40,2.8687,3.0512,11.2811,0.003,0.043,0.0582,10.6,0
60,2.9233,2.9879,11.3233,-0.0132,0.0534,0.0702,10.5,0
80,2.9545,2.9915,11.3644,0.0059,0.0708,0.0906,10.3,0
100,3.0,2.997,11.3644,0.0022,0.0347,0.0692,10.2,0
120,2.9936,2.971,11.5195,0.0177,0.0501,0.086,10.0,0
140,3.0523,3.037,11.4183,0.0057,0.0567,0.0691,9.8,0
160,3.0629,3.021,11.4037,0.0091,0.0635,0.0616,9.7,0
180,3.1499,2.9425,11.5381,0.0105,0.0431,0.0648,9.5,0
200,3.1953,2.9382,11.6262,0.0322,0.0631,0.0631,9.4,0
220,3.1421,2.9915,11.6545,0.017,0.0599,0.0747,9.2,0
240,3.2742,3.1053,11.6603,0.0308,0.0558,0.0702,9.0,0
260,3.2168,3.056,11.6725,0.0017,0.0403,0.0774,8.9,0
280,3.3077,3.0237,11.7531,0.0172,0.0323,0.0706,8.7,0
300,3.306,2.9529,11.708,0.0273,0.0595,0.0554,8.6,0
320,3.4001,3.0033,11.7988,0.0201,0.0476,0.0656,8.4,0
340,3.3325,2.9986,11.7809,0.0175,0.0569,0.0506,8.2,0
360,3.4018,3.0029,11.8538,0.0302,0.0565,0.0578,8.1,0
380,3.3988,3.0703,11.8806,0.0357,0.0466,0.0635,7.9,0
400,3.4693,3.0057,11.95,0.0314,0.0492,0.057,7.8,0
420,3.4863,2.9907,11.9486,0.0235,0.0578,0.0742,7.6,0
440,3.5354,3.0728,11.9116,0.0359,0.044,0.0623,7.4,0
460,3.5481,3.0049,12.081,0.0358,0.0259,0.0627,7.3,0
480,3.6488,3.0466,12.0531,0.0314,0.0509,0.0696,7.1,0
500,3.5993,3.0077,12.0131,0.0465,0.046,0.0631,7.0,0
520,3.7161,3.1699,12.1433,0.0467,0.0584,0.0309,6.8,0
540,3.669,3.0443,12.1913,0.0398,0.0605,0.0526,6.6,0
560,3.7101,2.9789,12.2253,0.038,0.0546,0.0653,6.5,0
580,3.8476,3.1475,12.2197,0.064,0.0494,0.0402,6.3,0
600,3.7836,3.1694,12.2722,0.0514,0.0541,0.0443,6.2,0
620,3.7366,3.1375,12.3605,0.0636,0.0393,0.0457,6.0,0
640,3.7926,3.1524,12.4551,0.0698,0.0472,0.0369,5.9,0
660,3.976,3.1815,12.446,0.0703,0.0548,0.0691,5.7,0
680,3.8762,3.1525,12.3921,0.069,0.0439,0.0537,5.5,0
700,3.8547,3.1858,12.5152,0.0763,0.0625,0.0514,5.4,0
720,3.9801,3.1157,12.5516,0.0739,0.0486,0.0614,5.2,0
740,3.9966,3.1493,12.4551,0.0865,0.0461,0.0412,5.1,0
760,4.0806,3.1108,12.5717,0.0862,0.0327,0.036,4.9,0
780,4.165,3.2333,12.633,0.0705,0.0484,0.0602,4.7,0
800,4.2287,3.1113,12.6455,0.0773,0.0567,0.0493,4.6,0
820,4.173,3.1038,12.7229,0.0843,0.0517,0.0456,4.4,0
840,4.2456,3.1778,12.7415,0.0571,0.0457,0.0373,4.3,0
860,4.2509,3.1342,12.8393,0.0865,0.0447,0.0666,4.1,0
880,4.2752,3.2336,12.772,0.0946,0.0647,0.0456,3.9,0
900,4.2782,3.2443,12.8307,0.0871,0.0445,0.0332,3.8,0
920,4.338,3.1625,12.8322,0.0878,0.059,0.0587,3.6,0
