timestamp_ms,ax,ay,az,gx,gy,gz,speed_kmh,label
0,3.3949,3.8934,12.7301,-0.0349,0.0461,-0.0284,5.3,0
20,3.4155,3.8182,12.9069,-0.0439,0.0441,-0.0282,5.5,0
40,3.3504,3.8474,12.7578,-0.0324,0.046,-0.034,5.7,0
60,3.3511,3.8108,12.8796,-0.0387,0.0276,-0.0233,5.9,0
80,3.3958,3.777,12.7733,-0.0324,0.0356,-0.018,6.1,0
100,3.3383,3.7131,12.7838,-0.0217,0.042,-0.0159,6.3,0
120,3.3496,3.6369,12.8362,-0.0259,0.0253,-0.0212,6.5,0
140,3.3185,3.8063,12.9493,-0.0457,0.0459,-0.0291,6.7,0
160,3.261,3.6901,12.8922,-0.0259,0.0373,-0.0152,6.9,0
180,3.2644,3.7867,12.8097,-0.0172,0.0537,-0.0093,7.1,0
200,3.2488,3.7614,12.8674,-0.0165,0.0336,-0.0099,7.3,0
220,3.266,3.6892,12.8888,-0.0148,0.0383,-0.0002,7.5,0
240,3.2745,3.6806,12.8709,-0.0277,0.0361,-0.0087,7.6,0
260,3.2693,3.6235,12.9212,-0.0222,0.0373,-0.0177,7.8,0
280,3.3383,3.6795,12.9171,-0.0224,0.03,0.0058,8.0,0
300,3.2916,3.6338,12.8205,-0.0148,0.0411,0.0103,8.2,0
320,3.1746,3.5693,12.9641,-0.0058,0.0345,-0.0244,8.4,0
340,3.2299,3.5189,12.9401,-0.0096,0.0462,-0.016,8.6,0
360,3.1417,3.5524,12.913,-0.0132,0.0518,0.0046,8.8,0
380,3.2074,3.6112,12.9396,-0.01,0.0409,-0.0063,9.0,0
400,3.168,3.5196,12.9845,-0.0008,0.0363,-0.0074,9.2,0
420,3.1838,3.5052,12.977,-0.0094,0.0369,-0.0052,9.4,0
440,3.2063,3.5759,12.9624,0.0024,0.0493,0.0074,9.6,0
460,3.1473,3.4852,12.9368,0.005,0.0208,0.0284,9.8,0
480,3.1429,3.4287,12.9337,0.007,0.0403,0.0133,10.0,0
500,3.1597,3.5096,13.0012,-0.0051,0.0231,0.0234,10.2,0
520,3.0836,3.5406,13.04,-0.0156,0.019,0.0282,10.3,0
540,2.9941,3.4988,13.0658,0.0205,0.0194,0.024,10.5,0
560,3.2218,3.4565,13.0597,0.0123,0.0425,0.021,10.7,0
580,3.0103,3.4511,13.0351,-0.0048,0.0483,0.017,10.9,0
600,3.089,3.4458,12.9282,0.0151,0.0267,0.0446,11.1,0
620,3.101,3.2953,13.0744,0.0307,0.0498,0.0222,11.3,0
640,3.1299,3.3197,13.0989,0.0156,0.0348,0.0173,11.5,0
660,3.0274,3.3251,13.1186,0.0487,0.0414,0.0382,11.7,0
680,3.1374,3.2231,13.0897,0.0217,0.0292,0.0193,11.9,0
700,3.084,3.3643,13.122,0.0462,0.024,0.0273,12.1,0
720,3.0288,3.3326,13.0691,0.0241,0.0138,0.0421,12.3,0
740,3.0465,3.2801,13.0578,0.0338,0.0532,0.0402,12.5,0
760,3.067,3.2028,13.1163,0.0213,0.011,0.0267,12.7,0
780,3.1101,3.2481,13.1802,0.0418,0.0331,0.0276,12.8,0
800,2.9951,3.1434,13.2077,0.044,0.0293,0.03,13.0,0
820,2.9883,3.1582,13.1075,0.0556,0.0234,0.0456,13.2,0
840,3.0174,3.212,13.1852,0.0291,0.0188,0.0307,13.4,0
860,2.9672,3.2407,13.3188,0.0508,0.0231,0.0361,13.6,0
880,2.9175,3.2363,13.1943,0.0388,0.0367,0.0559,13.8,0
900,2.9726,3.2526,13.1362,0.0469,0.0413,0.0392,14.0,0
920,2.9194,3.236,13.1213,0.0617,0.0144,0.0368,14.2,0
940,2.8568,3.0945,13.2338,0.0731,0.0377,0.0575,14.4,0
960,2.8383,3.0273,13.1433,0.0742,0.0422,0.0428,14.6,0
980,2.8957,3.0764,13.1672,0.0597,0.0088,0.0665,14.8,0
1000,2.8606,3.1329,13.3319,0.0501,0.0203,0.0715,15.0,0
1020,2.9068,3.0925,13.2631,0.0568,0.0481,0.0728,14.8,0
1040,2.9426,3.0524,13.2993,0.0921,0.0268,0.0525,14.7,0
1060,2.8885,3.0091,13.1986,0.05,0.0303,0.0665,14.6,0
1080,2.8747,3.0777,13.2292,0.0712,0.0313,0.0405,14.5,0
1100,2.8799,2.9885,13.282,0.0514,0.0266,0.0505,14.4,0
1120,2.8681,3.123,13.225,0.0777,0.0407,0.0485,14.3,0
1140,2.9689,2.981,13.2685,0.0343,0.0219,0.0518,14.1,0
1160,2.8947,2.9559,13.1528,0.0414,0.0188,0.0546,14.0,0
1180,2.9089,2.8804,13.1622,0.0495,0.0216,0.0521,13.9,0
1200,2.8796,2.9799,13.2492,0.0662,0.0221,0.0569,13.8,0
1220,2.8413,3.0072,13.1578,0.0329,0.0249,0.0743,13.7,0
1240,2.9045,2.9064,13.1434,0.0301,0.016,0.0505,13.5,0
1260,2.8355,2.937,13.1971,0.0431,0.0357,0.0676,13.4,0
1280,2.8093,2.8343,13.1604,0.0161,0.0458,0.0498,13.3,0
1300,2.8824,2.8343,13.176,0.0293,0.0229,0.0798,13.2,0
1320,2.8113,2.8907,13.163,0.0231,0.0253,0.039,13.1,0
1340,2.7583,2.8376,13.1093,0.0317,0.0268,0.0675,12.9,0
1360,2.7975,2.8405,13.2085,0.0142,0.0159,0.0504,12.8,0
1380,2.7941,2.8638,13.0128,0.0515,0.0271,0.0434,12.7,0
1400,2.7676,2.8403,13.1611,0.0166,0.0259,0.0656,12.6,0
1420,2.9076,2.8779,13.0878,0.0276,0.0103,0.0605,12.5,0
1440,2.7703,2.8069,13.1818,0.0187,0.0251,0.0491,12.3,0
1460,2.824,2.7634,13.1503,0.0119,0.0398,0.0557,12.2,0
1480,2.7709,2.7432,13.1242,0.0311,0.0329,0.0652,12.1,0
1500,2.708,2.5971,13.1377,-0.0011,0.0201,0.0561,12.0,1
1520,2.7846,2.7168,13.1109,0.024,0.0093,0.0486,11.9,1
1540,2.8483,2.7233,13.0761,0.0164,0.0259,0.055,11.8,1
1560,2.7811,2.7033,13.1584,-0.0008,0.0211,0.0492,11.6,1
1580,2.7871,2.6064,13.0733,0.0004,0.0122,0.0486,11.5,1
1600,2.774,2.5853,13.1191,0.0077,0.0318,0.0601,11.4,1
1620,2.7709,2.7348,13.0096,0.0071,0.0054,0.0566,11.3,1
1640,2.7595,2.6572,13.0669,-0.0046,0.0411,0.0621,11.2,1
1660,2.6662,2.7325,13.0283,-0.0025,0.0151,0.045,11.0,1
1680,2.7455,2.5656,12.9764,-0.0009,0.0417,0.0535,10.9,1
1700,2.7785,2.5914,13.0392,-0.0038,0.0143,0.0743,10.8,1
1720,2.7979,2.6054,13.0579,-0.0071,0.0233,0.0647,10.7,1
1740,2.7302,2.6339,13.0613,-0.0194,0.0199,0.0552,10.6,1
1760,2.6922,2.5326,13.0869,-0.0161,0.0358,0.0617,10.4,1
1780,2.7164,2.4896,12.9701,-0.0136,0.036,0.0339,10.3,1
1800,2.6595,2.5623,12.9656,-0.0099,0.0079,0.0463,10.2,1
1820,2.7621,2.5982,12.9171,-0.0118,0.025,0.0662,10.1,1
1840,2.7188,2.5364,12.996,-0.0237,0.024,0.0446,10.0,1
1860,2.7228,2.4883,12.982,-0.022,0.0241,0.0603,9.8,1
1880,2.7932,2.5275,12.8882,-0.0382,0.0194,0.0569,9.7,1
1900,2.7396,2.544,12.9556,-0.0224,0.0373,0.0538,9.6,1
1920,2.6721,2.5744,12.8983,-0.0185,0.0175,0.0479,9.5,1
1940,2.6595,2.3834,12.8967,-0.0371,0.0335,0.0579,9.4,1
1960,2.6767,2.4829,12.9144,-0.0544,0.0208,0.0484,9.3,1
1980,2.6445,2.4989,12.9456,-0.0216,0.0194,0.0733,9.1,1
2000,2.6351,2.4644,12.9474,-0.0179,0.0263,0.0625,9.0,1
2020,2.7454,2.4684,13.0113,-0.0205,0.0195,0.0473,9.1,1
2040,2.6074,2.4591,12.9566,0.0001,-0.0002,0.0478,9.1,1
2060,2.6487,2.4522,12.9925,-0.0343,0.0163,0.0594,9.2,1
2080,2.6913,2.4901,12.9755,-0.0152,0.0176,0.0655,9.2,1
2100,2.6723,2.6086,12.9687,-0.0444,0.0163,0.0426,9.3,1
2120,2.6912,2.6238,13.0427,-0.0119,0.0075,0.0744,9.3,1
2140,2.5556,2.6041,13.0118,-0.0182,0.0172,0.0515,9.4,1
2160,2.658,2.5583,13.1404,-0.0062,-0.0013,0.048,9.4,1
2180,2.7746,2.5701,13.0625,-0.0043,0.0248,0.0491,9.5,1
2200,2.6467,2.6662,13.167,-0.0153,-0.0056,0.0567,9.5,1
2220,2.7047,2.6611,13.1267,-0.0331,0.0253,0.0514,9.6,1
2240,2.7113,2.7606,13.1972,-0.008,0.008,0.0608,9.6,1
2260,2.6124,2.7278,13.1152,0.0163,0.0021,0.0552,9.7,1
2280,2.7007,2.802,13.2097,0.0058,0.0173,0.0586,9.7,1
2300,2.6665,2.7098,13.2218,0.0081,0.006,0.0619,9.7,1
2320,2.6796,2.7958,13.289,0.0122,0.004,0.0584,9.8,1
2340,2.6997,2.8238,13.296,0.0024,-0.0177,0.044,9.8,1
2360,2.6699,2.8107,13.2804,-0.0121,0.004,0.0404,9.9,1
2380,2.6811,2.8254,13.3033,0.0021,0.0056,0.0567,9.9,1
2400,2.688,2.9499,13.2545,0.0043,0.0031,0.0495,10.0,1
2420,2.7346,2.9065,13.389,0.0146,-0.003,0.0651,10.0,1
2440,2.7197,2.9891,13.3289,0.0202,-0.0055,0.0715,10.1,1
2460,2.6973,3.0839,13.3815,0.0249,-0.0243,0.0852,10.1,1
2480,2.6758,2.947,13.4083,0.0283,-0.0172,0.0647,10.2,1
2500,2.652,3.0217,13.4233,0.0286,-0.0272,0.0557,10.2,1
2520,2.7164,3.0883,13.5233,0.044,-0.0218,0.0574,10.3,1
2540,2.7314,3.1152,13.4865,0.0197,-0.0052,0.0707,10.3,1
2560,2.7182,3.1273,13.4726,0.0255,-0.032,0.0585,10.4,1
2580,2.6241,3.0897,13.6206,0.0053,-0.0136,0.0604,10.4,1
2600,2.729,3.1675,13.5962,0.0451,-0.002,0.0726,10.5,1
2620,2.6576,3.1411,13.4994,0.0319,-0.0124,0.0834,10.5,1
2640,2.624,3.2993,13.6038,0.0261,-0.0049,0.0755,10.6,1
2660,2.7738,3.3776,13.5583,0.0528,-0.0351,0.0552,10.6,1
2680,2.6837,3.1749,13.627,0.0342,-0.0301,0.0539,10.7,1
2700,2.7315,3.2694,13.6794,0.0463,-0.0126,0.0477,10.7,1
2720,2.6996,3.311,13.6127,0.0328,-0.037,0.0704,10.8,1
2740,2.7451,3.3373,13.7356,0.0329,-0.0411,0.0707,10.8,1
2760,2.7498,3.313,13.6918,0.0348,-0.032,0.0633,10.9,1
