timestamp_ms,ax,ay,az,gx,gy,gz,speed_kmh,label
0,4.608,3.2832,13.1754,-0.0355,0.0268,0.0482,0.0,0
20,4.5732,3.214,13.0009,-0.0276,0.0066,0.0433,0.2,0
40,4.4802,3.265,13.0246,-0.0305,-0.008,0.0441,0.4,0
60,4.3863,3.382,12.9738,-0.0348,0.0267,0.0414,0.6,0
80,4.406,3.2426,12.8804,-0.0371,0.0148,0.0233,0.8,0
100,4.309,3.3457,12.9302,-0.027,0.0111,0.0156,1.1,0
120,4.291,3.2845,12.8634,-0.051,0.0201,0.032,1.3,0
140,4.221,3.2794,12.8665,-0.0289,0.0045,0.0351,1.5,0
160,4.1329,3.2777,12.8432,-0.0435,0.0258,0.017,1.7,0
180,4.0589,3.2759,12.7779,-0.0386,0.0212,0.0005,1.9,0
200,4.1004,3.3437,12.7488,-0.0475,-0.0019,0.0366,2.1,0
220,3.9801,3.3219,12.731,-0.0392,0.0229,0.0282,2.3,0
240,3.8923,3.3128,12.7443,-0.0485,0.0083,0.0165,2.5,0
260,3.907,3.2203,12.6421,-0.0432,0.0143,0.0007,2.7,0
280,3.8248,3.3408,12.6252,-0.0511,0.0021,0.0032,2.9,0
300,3.7295,3.3268,12.6199,-0.0562,0.0028,0.021,3.1,0
320,3.7498,3.3239,12.5921,-0.0646,-0.0023,0.0078,3.3,0
340,3.6553,3.3578,12.5789,-0.0473,0.0025,0.0115,3.5,0
360,3.693,3.3809,12.5166,-0.0424,0.0093,-0.0035,3.7,0
380,3.577,3.4487,12.4819,-0.0417,-0.0105,-0.029,4.0,0
400,3.5595,3.3517,12.3975,-0.0555,-0.0049,-0.0045,4.2,0
420,3.4455,3.4144,12.4554,-0.0595,0.0055,-0.0195,4.4,0
440,3.3885,3.4192,12.3192,-0.0521,0.0077,-0.0203,4.6,0
460,3.4688,3.4028,12.2099,-0.0342,-0.0042,-0.0027,4.8,0
480,3.283,3.3558,12.1612,-0.0614,-0.0122,-0.0102,5.0,0
500,3.2333,3.3611,12.1044,-0.0426,-0.009,-0.0089,5.2,0
520,3.1572,3.4209,12.1792,-0.0637,0.0141,-0.0282,5.4,0
540,3.1545,3.4332,12.1268,-0.055,-0.0054,-0.0106,5.6,0
560,3.0403,3.4091,12.038,-0.0454,-0.0004,-0.0118,5.8,0
580,3.0787,3.4492,12.147,-0.0528,-0.0087,-0.0188,6.0,0
600,3.0259,3.4649,11.9954,-0.0557,-0.0028,-0.0194,6.2,0
620,2.8925,3.5949,11.9356,-0.0482,-0.0217,-0.021,6.4,0
640,2.9357,3.4463,11.9589,-0.0523,-0.0124,-0.0332,6.7,0
660,2.9203,3.4979,11.9233,-0.0705,-0.0154,-0.0202,6.9,0
680,2.7306,3.5803,11.852,-0.049,-0.013,-0.0169,7.1,0
700,2.6807,3.536,11.8506,-0.0554,-0.0093,-0.0441,7.3,0
720,2.7431,3.5935,11.8183,-0.0522,-0.0288,-0.0449,7.5,0
740,2.6408,3.5805,11.7272,-0.0554,0.0017,-0.0295,7.7,0
760,2.5912,3.6066,11.8028,-0.0655,-0.0048,-0.0239,7.9,0
780,2.5002,3.4958,11.7253,-0.0623,-0.0137,-0.0562,8.1,0
800,2.5088,3.4914,11.6569,-0.0524,-0.0127,-0.0654,8.3,0
820,2.473,3.5705,11.5796,-0.0599,-0.0231,-0.0456,8.5,0
840,2.3936,3.6229,11.5912,-0.0664,-0.0154,-0.0467,8.7,0
860,2.3457,3.5569,11.5162,-0.0534,-0.0126,-0.0434,8.9,0
880,2.2808,3.4931,11.4922,-0.0709,-0.0225,-0.0581,9.1,0
900,2.2749,3.6396,11.5191,-0.0591,-0.0311,-0.0485,9.4,0
920,2.2328,3.5606,11.4267,-0.0609,-0.0321,-0.0518,9.6,0
940,2.1109,3.5987,11.4166,-0.0647,-0.0181,-0.0591,9.8,0
960,2.0727,3.6292,11.3137,-0.0588,-0.0106,-0.0413,10.0,0
980,2.0942,3.5588,11.4189,-0.0715,-0.015,-0.0687,10.2,0
1000,1.953,3.651,11.2598,-0.0763,-0.0007,-0.0548,10.4,0
1020,1.9992,3.5936,11.366,-0.0762,-0.03,-0.0612,10.5,0
1040,1.9141,3.5519,11.3293,-0.0588,-0.0158,-0.0387,10.6,0
1060,1.908,3.6373,11.3976,-0.0549,0.0035,-0.0706,10.7,0
1080,1.9403,3.5706,11.4196,-0.0518,-0.0199,-0.0636,10.7,0
1100,2.0369,3.561,11.5661,-0.0559,0.0029,-0.0294,10.8,0
1120,2.0413,3.6922,11.3464,-0.0636,-0.0281,-0.038,10.9,0
1140,1.9656,3.6781,11.5846,-0.0612,-0.0104,-0.0371,11.0,0
1160,1.9752,3.6578,11.5249,-0.0488,-0.0058,-0.0559,11.1,0
1180,1.9957,3.7324,11.576,-0.0159,-0.0097,-0.0424,11.2,0
1200,1.9849,3.6552,11.6386,-0.0434,-0.0254,-0.0423,11.3,0
1220,1.9983,3.6453,11.7309,-0.0358,-0.0253,-0.0315,11.3,0
1240,1.8795,3.553,11.6286,-0.0495,-0.0065,-0.025,11.4,0
1260,1.9494,3.7325,11.6781,-0.043,-0.0083,0.0047,11.5,0
1280,1.8877,3.6816,11.7517,-0.0482,-0.0278,-0.0237,11.6,0
1300,1.985,3.6231,11.8096,-0.0137,-0.0104,-0.0168,11.7,0
1320,1.8597,3.6643,11.8031,-0.041,-0.0259,-0.0127,11.8,0
1340,1.9606,3.6573,11.8842,-0.0299,-0.0104,0.0046,11.9,0
1360,1.9784,3.6378,11.8815,-0.0356,0.0023,-0.0047,12.0,0
1380,1.9416,3.7235,11.9492,-0.0191,-0.0028,0.0042,12.0,0
1400,1.9677,3.682,12.0146,-0.0209,0.0008,-0.0046,12.1,0
1420,1.8932,3.6094,12.0653,-0.014,0.0212,-0.002,12.2,0
1440,1.9708,3.6631,12.0639,-0.0226,0.0066,0.0072,12.3,0
1460,1.8967,3.6695,12.0374,-0.0219,-0.0001,0.0021,12.4,0
1480,2.0275,3.5871,12.1421,-0.0224,0.0036,0.0016,12.5,0
1500,1.9348,3.736,12.1637,0.0008,-0.0091,0.0177,12.6,1
1520,2.0209,3.681,12.0446,-0.0088,0.0124,0.009,12.7,1
1540,1.978,3.6641,12.1653,-0.0069,0.0105,0.0166,12.7,1
1560,1.9093,3.7288,12.1416,0.0242,0.0267,0.0328,12.8,1
1580,1.9361,3.7311,12.279,0.0105,-0.0005,0.031,12.9,1
1600,1.8963,3.702,12.294,-0.0175,0.0069,0.0321,13.0,1
1620,1.8758,3.7056,12.2859,0.0069,0.0084,0.033,13.1,1
