timestamp_ms,ax,ay,az,gx,gy,gz,speed_kmh,label
0,-0.1571,-0.6544,9.5712,-0.096,-0.0158,0.0199,61.4,0
20,-0.0801,-0.5246,9.711,-0.0949,-0.0451,0.0137,61.2,0
40,-0.1463,-0.5324,9.6119,-0.0995,-0.032,-0.0092,61.0,0
60,-0.0746,-0.5573,9.6076,-0.0889,-0.016,-0.0005,60.8,0
80,-0.1121,-0.5407,9.6029,-0.0953,-0.0333,0.009,60.6,0
100,-0.0975,-0.532,9.6766,-0.1092,-0.0093,0.002,60.4,0
120,-0.1067,-0.486,9.6911,-0.0989,-0.0198,0.0076,60.2,0
140,-0.0662,-0.5199,9.6292,-0.0864,-0.019,0.0073,60.0,0
160,-0.092,-0.4117,9.682,-0.1024,-0.0233,0.0034,59.8,0
180,-0.1974,-0.4547,9.6439,-0.1019,-0.0087,-0.0,59.6,0
200,-0.1088,-0.4556,9.626,-0.096,-0.0168,0.0114,59.5,0
220,-0.0816,-0.3763,9.7206,-0.0778,-0.0253,0.0146,59.3,0
240,-0.0992,-0.356,9.6815,-0.0745,-0.0091,0.0101,59.1,0
260,-0.1992,-0.3692,9.5629,-0.0792,-0.0002,-0.0169,58.9,0
280,-0.2208,-0.3451,9.6942,-0.0788,0.0094,-0.0109,58.7,0
300,-0.2233,-0.3716,9.5898,-0.0686,0.0107,-0.0001,58.5,0
320,-0.085,-0.3884,9.6078,-0.0668,0.0074,-0.0234,58.3,0
340,-0.2048,-0.34,9.7591,-0.0757,-0.0228,0.0027,58.1,0
360,-0.2855,-0.3685,9.7573,-0.0812,-0.0059,0.0022,57.9,0
380,-0.1473,-0.2785,9.7506,-0.0863,-0.0062,-0.0095,57.7,0
400,-0.105,-0.2263,9.6542,-0.0543,0.0126,-0.0116,57.5,0
420,-0.1428,-0.2999,9.6331,-0.0611,-0.0004,-0.0113,57.3,0
440,-0.2091,-0.1753,9.6279,-0.0672,0.0032,0.0109,57.2,0
460,-0.2378,-0.2366,9.7274,-0.0686,-0.0071,0.0014,57.0,0
480,-0.2328,-0.181,9.7118,-0.0483,0.0087,-0.0218,56.8,0
500,-0.2328,-0.1489,9.7471,-0.0644,-0.0018,-0.0174,56.6,0
520,-0.1944,-0.2119,9.7124,-0.0439,0.002,-0.0067,56.4,0
540,-0.3463,-0.2369,9.6727,-0.049,0.0209,-0.0156,56.2,0
560,-0.2179,-0.1881,9.6723,-0.042,0.0117,0.0137,56.0,0
580,-0.2145,-0.1148,9.7112,-0.0304,0.0265,0.0023,55.8,0
600,-0.1419,-0.1751,9.6667,-0.0398,0.0013,0.0279,55.6,0
620,-0.2536,0.0364,9.6843,-0.0205,0.0185,-0.0088,55.4,0
640,-0.2348,-0.1064,9.5131,-0.0389,0.0077,-0.0012,55.2,0
660,-0.2822,-0.0117,9.7348,-0.0099,0.0189,-0.0195,55.0,0
680,-0.2313,-0.0403,9.7301,-0.0332,0.0153,-0.0286,54.9,0
700,-0.3119,-0.1036,9.7307,-0.0196,0.0252,-0.006,54.7,0
720,-0.2549,-0.0982,9.6484,-0.0291,0.034,-0.0136,54.5,0
740,-0.3867,-0.0761,9.7532,-0.0189,0.0214,-0.0114,54.3,0
760,-0.2799,0.0412,9.6665,-0.0146,0.0155,0.0135,54.1,0
780,-0.2529,-0.0619,9.7102,-0.0138,0.0238,-0.0249,53.9,0
800,-0.2811,0.0526,9.7825,-0.0189,0.0388,-0.0086,53.7,0
820,-0.323,0.0048,9.7744,-0.0067,0.0339,-0.0061,53.5,0
840,-0.3972,-0.0036,9.6459,-0.0012,0.0357,0.0129,53.3,0
860,-0.3012,0.1233,9.7555,-0.0086,0.0305,-0.0111,53.1,0
880,-0.2399,0.1698,9.6858,-0.0104,0.0359,-0.0242,52.9,0
900,-0.285,0.0367,9.7824,0.0101,0.0393,-0.0258,52.7,0
920,-0.3771,0.1132,9.7682,0.0035,0.0503,-0.0011,52.5,0
940,-0.248,0.1697,9.7915,0.0073,0.0504,-0.0222,52.4,0
960,-0.2907,0.0529,9.7176,0.0245,0.0274,-0.0333,52.2,0
980,-0.4279,0.2066,9.876,0.0098,0.0432,-0.014,52.0,0
1000,-0.408,0.212,9.7495,0.0143,0.057,-0.0179,51.8,0
1020,-0.3102,0.1687,9.6673,0.0277,0.0464,-0.0002,51.3,0
1040,-0.2757,0.182,9.7745,0.0259,0.048,-0.0236,50.8,0
1060,-0.2916,0.1541,9.8299,0.0298,0.0477,-0.0001,50.2,0
1080,-0.2637,0.1902,9.8469,0.0255,0.0526,-0.0119,49.7,0
1100,-0.1631,0.053,9.7098,0.011,0.0303,-0.0008,49.2,0
1120,-0.1444,0.1083,9.7841,0.012,0.0664,-0.0056,48.7,0
1140,-0.0822,0.0214,9.7562,0.0122,0.024,-0.0106,48.2,0
1160,-0.0778,0.0415,9.7613,0.006,0.0492,-0.0182,47.7,0
1180,-0.0838,0.117,9.7751,0.012,0.033,-0.0016,47.2,0
1200,0.0162,0.0509,9.8144,0.028,0.0391,-0.0205,46.7,0
1220,0.0991,0.0916,9.789,0.0091,0.0232,-0.0181,46.1,0
1240,0.0777,0.0535,9.7488,0.009,0.0307,-0.0222,45.6,0
1260,0.1094,-0.0353,9.7637,0.0038,0.0416,0.0137,45.1,0
1280,0.2536,-0.0483,9.8067,0.0251,0.0326,-0.0113,44.6,0
1300,0.2103,0.0505,9.8122,0.0038,0.0504,-0.0016,44.1,0
1320,0.1838,-0.1602,9.853,0.0183,0.0348,0.0174,43.6,0
1340,0.2094,-0.0329,9.7658,0.0066,0.0357,0.0025,43.1,0
1360,0.3464,-0.0873,9.865,0.0163,0.0319,0.0032,42.5,0
1380,0.2162,-0.158,9.7717,0.0073,0.0458,0.0123,42.0,0
1400,0.2324,-0.1111,9.6965,0.0055,0.0395,-0.0008,41.5,0
1420,0.415,-0.0614,9.8497,0.0088,0.0337,0.0117,41.0,0
1440,0.4463,-0.0628,9.8378,0.0174,0.0342,-0.0128,40.5,0
1460,0.4084,-0.1147,9.7288,0.0187,0.0156,-0.0075,40.0,0
1480,0.507,-0.236,9.7925,0.0225,0.0286,-0.0104,39.5,0
1500,0.4581,-0.1796,9.8437,0.0131,0.0217,-0.0183,39.0,0
1520,0.4505,-0.2494,9.8102,0.0258,0.0023,-0.0136,38.4,0
1540,0.6739,-0.2061,9.8243,0.0197,0.0187,-0.0101,37.9,0
1560,0.5473,-0.2469,9.8404,0.0018,0.0108,-0.0339,37.4,0
1580,0.6202,-0.197,9.7713,0.0055,0.0168,0.0023,36.9,0
1600,0.664,-0.274,9.8035,0.0278,-0.0027,-0.0162,36.4,0
1620,0.8147,-0.2989,9.8086,0.0295,0.0014,-0.0149,35.9,0
1640,0.6997,-0.2935,9.8321,0.0194,0.0243,-0.0062,35.4,0
1660,0.8458,-0.3181,9.733,0.0016,0.0192,-0.0174,34.9,0
1680,0.8043,-0.39,9.8234,0.0224,0.0033,0.0051,34.3,0
1700,0.8026,-0.4155,9.8045,0.0038,0.0072,-0.0013,33.8,0
1720,0.9204,-0.2866,9.8002,0.007,-0.0005,-0.0014,33.3,0
1740,0.8638,-0.3329,9.8395,-0.0081,0.003,0.0001,32.8,0
1760,1.0405,-0.3584,9.8272,-0.0001,-0.0021,0.0112,32.3,0
1780,1.031,-0.3907,9.8011,0.0171,0.0138,0.0092,31.8,0
1800,1.0107,-0.4167,9.7953,0.0064,-0.006,-0.0057,31.3,0
1820,1.0313,-0.4678,9.8308,0.0109,-0.0061,0.0036,30.8,0
1840,1.1149,-0.5007,9.8656,0.0107,-0.0042,-0.0201,30.2,0
1860,1.0671,-0.5298,9.8212,0.0156,-0.0035,0.0026,29.7,0
1880,1.1245,-0.4528,9.7336,0.0079,-0.0104,0.0033,29.2,0
1900,1.1623,-0.4838,9.7875,0.0297,-0.0136,0.0048,28.7,0
1920,1.2075,-0.5058,9.8901,-0.0016,-0.0158,0.0125,28.2,0
1940,1.2403,-0.5121,9.8446,0.0071,-0.01,-0.0128,27.7,0
1960,1.2189,-0.521,9.8175,-0.0011,-0.0167,-0.0006,27.2,0
1980,1.2755,-0.635,9.8628,0.0014,-0.0285,0.0131,26.6,0
2000,1.3745,-0.658,9.8235,0.0098,-0.0296,0.0006,26.1,0
2020,1.2274,-0.3935,9.957,0.0181,-0.0325,-0.0139,26.0,0
2040,1.3161,-0.5838,9.859,0.0178,-0.007,-0.0121,25.9,0
2060,1.3851,-0.5873,9.8006,0.0195,-0.0008,0.0179,25.8,0
2080,1.1924,-0.46,9.8178,0.0133,-0.0136,0.0198,25.7,0
2100,1.3258,-0.4561,9.8465,-0.0044,-0.0119,0.0106,25.6,0
2120,1.2972,-0.4693,9.851,0.0064,-0.0062,0.0033,25.5,0
2140,1.3132,-0.4436,9.7601,0.0159,-0.0132,0.0194,25.4,0
2160,1.3046,-0.4593,9.9778,0.0069,-0.0103,0.0304,25.3,0
