timestamp_ms,ax,ay,az,gx,gy,gz,speed_kmh,label
0,0.2052,-0.3077,9.6194,-0.054,0.0118,-0.0354,71.7,0
20,0.1456,-0.3494,9.7401,-0.0387,0.0391,-0.0493,71.7,0
40,0.2616,-0.3603,9.7856,-0.0262,0.0159,-0.038,71.7,0
60,0.2105,-0.2778,9.6768,-0.0469,0.0175,-0.0399,71.8,0
80,0.1419,-0.3385,9.6882,-0.0314,0.0479,-0.0487,71.8,0
100,0.2484,-0.3307,9.6571,-0.0428,0.0186,-0.0314,71.8,0
120,0.1451,-0.2745,9.6455,-0.0313,0.0289,-0.0431,71.9,0
140,0.1395,-0.3059,9.7638,-0.0208,0.0199,-0.0392,71.9,0
160,0.2141,-0.2724,9.6925,-0.0283,0.0013,-0.0294,71.9,0
180,0.2111,-0.2081,9.694,-0.0266,0.0133,-0.0456,71.9,0
200,0.1969,-0.3219,9.7727,-0.0426,0.0293,-0.0636,72.0,0
220,0.2751,-0.3148,9.8387,-0.0242,0.0137,-0.0439,72.0,0
240,0.2788,-0.1259,9.7736,-0.0322,0.0149,-0.053,72.0,0
260,0.2242,-0.2555,9.7716,-0.0457,0.027,-0.0437,72.1,0
280,0.2832,-0.2316,9.8603,-0.0255,0.0125,-0.048,72.1,0
300,0.2233,-0.259,9.7533,-0.0237,0.0124,-0.0561,72.1,0
320,0.2995,-0.2102,9.8152,-0.0265,0.0193,-0.0455,72.1,0
340,0.2681,-0.2218,9.7951,-0.0278,0.0127,-0.055,72.2,0
360,0.1889,-0.1963,9.7373,-0.0264,0.0341,-0.0455,72.2,0
380,0.2405,-0.1651,9.8363,0.0066,0.0173,-0.0665,72.2,0
400,0.3107,-0.1989,9.7492,0.0056,0.0024,-0.0704,72.2,0
420,0.3957,-0.1925,9.7829,-0.0004,0.0252,-0.0705,72.3,0
440,0.2512,-0.147,9.8117,-0.0219,0.022,-0.0617,72.3,0
460,0.2228,-0.1253,9.8985,0.0046,0.0235,-0.062,72.3,0
480,0.3368,-0.2785,9.8738,-0.0029,0.0279,-0.0566,72.4,0
500,0.1864,-0.2584,9.858,0.0191,0.0024,-0.054,72.4,0
520,0.2949,-0.1669,9.8684,-0.006,0.0185,-0.0686,72.4,0
540,0.3235,-0.1312,9.8554,0.009,0.0182,-0.0666,72.4,0
560,0.2349,-0.1303,9.8054,0.0138,0.0205,-0.0738,72.5,0
580,0.2944,-0.2182,9.913,0.0314,0.0117,-0.0619,72.5,0
600,0.3456,-0.0332,9.8934,-0.0015,0.0026,-0.0574,72.5,0
620,0.3312,-0.1799,9.9379,0.0128,0.0085,-0.0447,72.6,0
640,0.2476,-0.106,9.9673,0.0192,0.0135,-0.053,72.6,0
660,0.3362,-0.0717,10.0302,0.015,0.0143,-0.0855,72.6,0
680,0.2386,-0.0886,9.9035,0.0241,0.0189,-0.079,72.6,0
700,0.3517,-0.1109,9.9992,0.0422,0.0097,-0.0775,72.7,0
720,0.1995,-0.087,9.9473,0.0309,0.0149,-0.082,72.7,0
740,0.3562,-0.0738,10.0179,0.0203,-0.0083,-0.0794,72.7,0
760,0.25,-0.0787,10.0059,0.0328,0.0102,-0.0858,72.7,0
780,0.3264,-0.1314,9.9943,0.0235,0.0196,-0.0599,72.8,0
800,0.4671,-0.0358,10.0025,0.0326,0.0065,-0.0606,72.8,0
820,0.4446,-0.0132,9.9546,0.038,0.0133,-0.081,72.8,0
840,0.3159,-0.1306,9.9998,0.0413,0.0138,-0.06,72.9,0
860,0.3697,-0.0374,9.9972,0.0486,0.0058,-0.087,72.9,0
880,0.3831,0.0039,10.0393,0.0479,0.0145,-0.0801,72.9,0
900,0.479,0.0343,10.0139,0.0438,0.0142,-0.0721,72.9,0
920,0.3345,0.0888,9.901,0.0451,0.0016,-0.0677,73.0,0
940,0.4298,0.0175,10.0738,0.0486,0.0126,-0.0803,73.0,0
960,0.4122,0.0051,10.1327,0.0521,0.0249,-0.0819,73.0,0
980,0.3871,0.0799,10.0143,0.0517,0.0311,-0.1014,73.1,0
1000,0.4677,0.0726,10.1558,0.0571,0.0017,-0.0873,73.1,0
1020,0.501,0.2145,10.1357,0.0648,0.0145,-0.0857,71.7,0
1040,0.4958,0.1469,10.1221,0.0499,0.0178,-0.0741,70.4,0
1060,0.5554,0.3241,10.2636,0.0608,0.0091,-0.0923,69.0,0
1080,0.6116,0.3813,10.2744,0.053,0.0019,-0.0781,67.7,0
1100,0.7455,0.3472,10.3543,0.0476,0.0141,-0.0683,66.3,0
1120,0.8043,0.5124,10.4343,0.0446,0.0222,-0.0696,65.0,0
1140,0.8174,0.6529,10.4629,0.05,0.009,-0.0747,63.6,0
1160,0.9071,0.6557,10.4482,0.0433,0.015,-0.0775,62.2,0
1180,0.9733,0.7967,10.6767,0.0245,0.0219,-0.0647,60.9,0
1200,0.9008,0.7889,10.572,0.0518,0.013,-0.0638,59.5,0
1220,0.9806,0.8631,10.6524,0.0466,0.0095,-0.0641,58.2,0
1240,1.1303,1.0064,10.663,0.034,0.0125,-0.073,56.8,0
1260,1.1765,0.9934,10.78,0.0212,0.0041,-0.081,55.5,0
1280,1.2627,1.1242,10.8518,0.0262,0.0201,-0.0931,54.1,0
1300,1.302,1.1643,10.9534,0.021,0.0104,-0.0753,52.8,0
1320,1.3529,1.2627,11.027,0.0225,0.0125,-0.0747,51.4,0
1340,1.3457,1.3263,10.9598,0.0189,0.0343,-0.0692,50.0,0
1360,1.4434,1.4957,11.0179,0.0117,0.0231,-0.0536,48.7,0
1380,1.585,1.4306,11.1798,0.0334,0.0237,-0.0701,47.3,0
1400,1.5857,1.5671,11.2036,0.0081,0.0271,-0.0686,46.0,0
1420,1.6446,1.6178,11.2492,0.023,0.0098,-0.0508,44.6,0
1440,1.636,1.7206,11.2615,0.0142,0.0209,-0.087,43.3,0
1460,1.781,1.7477,11.3135,0.014,0.0123,-0.067,41.9,0
1480,1.8779,1.8762,11.3351,-0.0059,0.0178,-0.0604,40.6,0
1500,1.8419,1.9265,11.4435,-0.008,0.0197,-0.0622,39.2,1
1520,1.9717,1.9401,11.6223,0.0047,0.0264,-0.0496,37.9,1
1540,2.0267,2.0133,11.542,-0.0114,0.009,-0.0793,36.5,1
1560,2.0721,2.1234,11.5559,-0.0127,0.03,-0.043,35.1,1
1580,2.0981,2.1874,11.6107,0.0004,0.0429,-0.0343,33.8,1
1600,2.2249,2.2488,11.6223,-0.0061,0.0273,-0.0499,32.4,1
1620,2.2367,2.4279,11.7444,-0.0166,0.0296,-0.0443,31.1,1
1640,2.3999,2.4364,11.7287,-0.0087,0.0421,-0.058,29.7,1
