timestamp_ms,ax,ay,az,gx,gy,gz,speed_kmh,label
0,0.4578,0.9259,9.3202,-0.0394,-0.0208,0.0711,72.9,0
20,0.5137,0.9358,9.4047,-0.0307,-0.0131,0.075,71.9,0
40,0.4759,0.8084,9.3258,-0.0292,0.0026,0.0796,70.8,0
60,0.5094,0.8078,9.4137,-0.0527,-0.0159,0.0593,69.8,0
80,0.3997,0.6886,9.4427,-0.0288,-0.0131,0.0647,68.7,0
100,0.4303,0.9375,9.3006,-0.0328,0.0115,0.0814,67.7,0
120,0.3737,0.7587,9.2735,-0.034,-0.0122,0.0712,66.7,0
140,0.4821,0.8228,9.3413,-0.0473,-0.0097,0.082,65.6,0
160,0.3773,0.6623,9.3482,-0.0561,-0.0154,0.0748,64.6,0
180,0.4115,0.6488,9.355,-0.025,-0.0003,0.0599,63.5,0
200,0.348,0.6468,9.3745,-0.0208,-0.0179,0.0515,62.5,0
220,0.4688,0.5477,9.2825,-0.0394,0.0002,0.0668,61.5,0
240,0.4259,0.6471,9.3861,-0.0459,0.0134,0.0652,60.4,0
260,0.4582,0.4991,9.3549,-0.0508,0.0047,0.0634,59.4,0
280,0.3282,0.4997,9.386,-0.0387,-0.0127,0.0757,58.3,0
300,0.3237,0.4733,9.4457,-0.0448,0.0066,0.0509,57.3,0
320,0.2997,0.4816,9.3451,-0.0428,0.0105,0.0705,56.3,0
340,0.4291,0.4544,9.391,-0.035,0.0178,0.0718,55.2,0
360,0.3493,0.3737,9.4807,-0.0358,-0.0133,0.0613,54.2,0
380,0.295,0.5146,9.4436,-0.0427,0.0064,0.0681,53.2,0
400,0.3797,0.4475,9.4813,-0.0265,0.0139,0.051,52.1,0
420,0.3963,0.2604,9.432,-0.0392,0.0102,0.0481,51.1,0
440,0.3888,0.4079,9.5124,-0.0336,0.0204,0.0448,50.0,0
460,0.3908,0.3102,9.4279,-0.0557,0.0152,0.0391,49.0,0
480,0.3341,0.2198,9.4479,-0.0389,0.0039,0.0496,48.0,0
500,0.2771,0.3008,9.5422,-0.0396,0.0334,0.04,46.9,0
520,0.3163,0.2335,9.5139,-0.0227,0.0302,0.0479,45.9,0
540,0.3744,0.2381,9.5026,-0.0441,0.0543,0.0561,44.8,0
560,0.355,0.2053,9.4768,-0.0528,0.0164,0.0575,43.8,0
580,0.2733,0.0999,9.4478,-0.015,0.0225,0.0433,42.8,0
600,0.2421,0.1954,9.4675,-0.0415,0.0306,0.0409,41.7,0
620,0.3026,0.0974,9.5424,-0.0302,0.0311,0.0375,40.7,0
640,0.2991,-0.0129,9.3949,-0.0375,0.0349,0.0384,39.6,0
660,0.227,0.0552,9.5341,-0.0388,0.0358,0.0523,38.6,0
680,0.1945,-0.0256,9.516,-0.0331,0.0429,0.0182,37.6,0
700,0.3296,-0.0905,9.5092,-0.0255,0.0498,0.0534,36.5,0
720,0.2838,-0.0191,9.5642,-0.0378,0.0179,0.0387,35.5,0
740,0.2464,-0.0946,9.5521,-0.0336,0.0282,0.025,34.4,0
760,0.2147,-0.0337,9.5821,-0.0455,0.0425,0.0313,33.4,0
780,0.2845,-0.0757,9.6616,-0.0183,0.0547,0.0282,32.4,0
800,0.3274,-0.1289,9.5361,-0.0323,0.0578,0.0327,31.3,0
820,0.313,-0.2361,9.5753,-0.0349,0.0688,0.0193,30.3,0
840,0.1754,-0.279,9.5756,-0.043,0.056,0.0267,29.3,0
860,0.2082,-0.2648,9.6004,-0.0314,0.0588,0.0306,28.2,0
880,0.2449,-0.2267,9.642,-0.0342,0.0612,0.0191,27.2,0
900,0.1863,-0.2563,9.5839,-0.0227,0.0666,0.0259,26.1,0
920,0.1912,-0.3243,9.5817,-0.032,0.0637,0.0096,25.1,0
940,0.1305,-0.3102,9.6087,-0.032,0.0646,0.0388,24.1,0
960,0.2604,-0.3815,9.7379,-0.0309,0.065,0.012,23.0,0
980,0.1495,-0.3192,9.5682,-0.0326,0.0488,0.0206,22.0,0
1000,0.1981,-0.3552,9.5838,-0.0394,0.0527,0.0072,20.9,0
1020,0.2014,-0.439,9.6172,-0.0258,0.0488,0.0208,21.2,0
1040,0.1932,-0.4112,9.7077,-0.0328,0.0802,0.0125,21.4,0
1060,0.0515,-0.3952,9.6389,-0.026,0.071,0.0198,21.6,0
1080,0.1208,-0.4021,9.652,-0.0344,0.0666,0.0201,21.9,0
1100,0.0583,-0.3232,9.6389,-0.0229,0.0814,0.0066,22.1,0
1120,0.1204,-0.3373,9.5774,-0.048,0.0784,0.0359,22.3,0
1140,0.1115,-0.2418,9.7036,-0.0104,0.0609,0.0065,22.5,0
1160,0.0269,-0.3669,9.7279,-0.0243,0.06,0.0094,22.8,0
1180,0.0273,-0.3513,9.7363,-0.0232,0.0652,0.0068,23.0,0
1200,0.0687,-0.3352,9.7073,-0.029,0.0742,0.0161,23.2,0
1220,0.0218,-0.3709,9.7257,-0.0216,0.0516,0.0116,23.5,0
1240,0.0869,-0.3786,9.8623,-0.0058,0.0449,0.0276,23.7,0
1260,0.1145,-0.3441,9.8985,-0.0238,0.0726,0.0308,23.9,0
1280,0.0159,-0.3959,9.7124,-0.0119,0.077,-0.0045,24.2,0
1300,0.0078,-0.2474,9.8175,0.003,0.0776,0.0073,24.4,0
1320,-0.1349,-0.257,9.7797,-0.0126,0.0665,0.0032,24.6,0
1340,-0.0415,-0.2373,9.8948,0.0086,0.0511,-0.006,24.8,0
1360,0.0126,-0.3286,9.7652,-0.0158,0.0505,-0.0093,25.1,0
1380,-0.0017,-0.2268,9.766,-0.0365,0.0564,0.0136,25.3,0
1400,0.0204,-0.2514,9.8331,0.0051,0.0602,0.0079,25.5,0
1420,0.0355,-0.2136,9.8909,-0.007,0.0676,-0.0014,25.8,0
1440,-0.1916,-0.3224,9.8881,0.0005,0.0518,0.01,26.0,0
1460,-0.1278,-0.2027,9.9031,0.0005,0.0589,-0.0036,26.2,0
1480,-0.1503,-0.1187,9.8263,-0.0121,0.0436,0.0324,26.5,0
1500,-0.1028,-0.1837,9.8017,-0.0035,0.0628,0.0114,26.7,0
1520,-0.1021,-0.2581,9.9399,0.0037,0.0586,0.0221,26.9,0
1540,-0.1538,-0.181,9.9239,0.0126,0.0631,0.014,27.1,0
1560,-0.1596,-0.1271,9.9634,0.0105,0.0671,0.0057,27.4,0
1580,-0.2006,-0.1106,9.9312,0.0254,0.0493,0.0089,27.6,0
1600,-0.2752,-0.1521,9.9211,0.0113,0.0518,-0.0051,27.8,0
1620,-0.1754,-0.1027,10.0055,0.006,0.0466,-0.0088,28.1,0
1640,-0.2155,-0.1123,9.9933,0.005,0.0515,0.0048,28.3,0
1660,-0.2817,-0.1927,9.9448,0.0161,0.0523,-0.0029,28.5,0
1680,-0.1577,-0.1219,10.0456,0.0089,0.0616,-0.0065,28.8,0
1700,-0.3095,-0.2123,9.9621,0.0201,0.0568,0.0024,29.0,0
1720,-0.3084,-0.0552,9.9826,0.0165,0.0725,-0.0054,29.2,0
1740,-0.2004,-0.1867,10.003,0.0346,0.0561,-0.01,29.4,0
1760,-0.4247,-0.1733,9.9396,0.0132,0.0628,-0.0069,29.7,0
1780,-0.4996,-0.082,10.127,0.0176,0.0405,0.0222,29.9,0
1800,-0.3582,-0.1086,10.0574,0.0057,0.0471,-0.0148,30.1,0
1820,-0.3204,-0.1701,10.0661,0.02,0.0551,-0.0205,30.4,0
1840,-0.4844,-0.0009,10.0744,0.0199,0.0422,0.002,30.6,0
1860,-0.4231,-0.0023,9.9293,0.0392,0.0476,0.0041,30.8,0
1880,-0.3865,-0.1886,10.123,0.0287,0.0419,0.0173,31.1,0
1900,-0.3578,-0.1168,10.066,0.0209,0.024,-0.0014,31.3,0
1920,-0.4574,0.0263,10.2113,0.0281,0.063,-0.0046,31.5,0
1940,-0.4619,0.0243,10.2801,0.031,0.0392,-0.0219,31.7,0
1960,-0.4101,-0.007,10.1247,0.0412,0.0551,-0.0003,32.0,0
1980,-0.473,-0.0816,10.1358,0.0352,0.037,-0.0012,32.2,0
2000,-0.4074,-0.0154,10.1444,0.0255,0.0463,-0.0165,32.4,0
2020,-0.5228,0.1087,10.1336,0.0701,0.0474,-0.0027,32.5,0
2040,-0.4905,0.0471,10.0597,0.0438,0.0465,0.0058,32.5,0
2060,-0.4238,-0.0448,10.007,0.0314,0.0422,0.0144,32.6,0
2080,-0.4709,-0.1179,10.1645,0.0381,0.0574,0.0012,32.7,0
2100,-0.4706,0.0464,10.0908,0.0441,0.0598,-0.0113,32.7,0
2120,-0.4919,0.0056,10.1359,0.0461,0.0568,-0.009,32.8,0
2140,-0.3485,-0.0045,10.1213,0.0441,0.0631,-0.0072,32.8,0
2160,-0.3815,0.0733,10.1526,0.0225,0.0491,0.0014,32.9,0
2180,-0.4768,0.1431,10.085,0.0488,0.0711,-0.0177,32.9,0
2200,-0.4219,0.0951,10.0453,0.0113,0.0744,-0.001,33.0,0
2220,-0.4032,-0.0466,10.0085,0.0434,0.0708,-0.0117,33.0,0
2240,-0.484,0.0128,10.1182,0.052,0.0783,0.0102,33.1,0
2260,-0.3893,0.0229,10.074,0.0742,0.0829,0.0029,33.1,0
2280,-0.4606,0.0073,10.0028,0.0393,0.0466,0.0071,33.2,0
2300,-0.4134,0.0242,9.9648,0.0577,0.0688,0.0268,33.3,0
2320,-0.3897,0.0873,9.9298,0.0459,0.0953,0.0004,33.3,0
2340,-0.4038,0.0338,10.041,0.0647,0.0884,0.024,33.4,0
2360,-0.3648,-0.0351,10.0261,0.0617,0.0597,0.0057,33.4,0
2380,-0.4205,0.0511,9.9444,0.0447,0.0908,0.0221,33.5,0
2400,-0.3569,0.0202,9.8947,0.0458,0.0775,0.0142,33.5,0
2420,-0.3541,0.0454,9.9463,0.0602,0.0863,0.0107,33.6,0
2440,-0.3458,0.0931,9.9578,0.0541,0.095,0.0128,33.6,0
2460,-0.3184,0.0214,9.8897,0.043,0.079,0.0151,33.7,0
2480,-0.2533,0.0782,9.8927,0.0496,0.0887,0.0153,33.8,0
2500,-0.3586,0.091,9.8367,0.0439,0.093,0.0217,33.8,0
2520,-0.235,0.1096,9.8168,0.0449,0.0997,0.0364,33.9,0
2540,-0.3306,0.0697,9.8169,0.026,0.1004,0.0393,33.9,0
2560,-0.3161,0.0182,9.8966,0.0562,0.0881,0.0375,34.0,0
2580,-0.3357,0.1383,9.7905,0.0705,0.1143,0.0394,34.0,0
2600,-0.2417,0.0886,9.7775,0.0643,0.1008,0.0387,34.1,0
2620,-0.216,0.0605,9.78,0.0538,0.1046,0.0437,34.1,0
2640,-0.2386,0.1616,9.708,0.0623,0.0962,0.0289,34.2,0
2660,-0.2775,0.0798,9.7637,0.0708,0.1113,0.0593,34.3,0
2680,-0.2424,0.1044,9.7411,0.0635,0.1241,0.043,34.3,0
2700,-0.2264,0.1083,9.7242,0.0714,0.1341,0.053,34.4,0
2720,-0.194,0.1215,9.6536,0.0573,0.1206,0.0486,34.4,0
2740,-0.2177,0.0571,9.6062,0.0744,0.1174,0.0616,34.5,0
2760,-0.2134,0.1854,9.6943,0.0722,0.1087,0.0484,34.5,0
2780,-0.2372,0.1175,9.5912,0.065,0.1336,0.0345,34.6,0
2800,-0.2874,0.046,9.6746,0.0581,0.1352,0.055,34.6,0
2820,-0.2234,0.1333,9.6912,0.0795,0.1314,0.0532,34.7,0
