timestamp_ms,ax,ay,az,gx,gy,gz,speed_kmh,label
0,0.7049,1.3355,9.4103,0.0154,0.077,-0.0235,35.1,0
20,0.6885,1.413,9.5323,0.03,0.0621,-0.013,35.0,0
40,0.6433,1.3078,9.334,0.0386,0.0618,-0.0392,35.0,0
60,0.7255,1.2881,9.4707,0.0351,0.082,-0.0105,34.9,0
80,0.6675,1.251,9.5714,0.0192,0.0842,-0.0127,34.9,0
100,0.6697,1.2085,9.5029,0.0224,0.0538,-0.0205,34.8,0
120,0.8007,1.1933,9.5865,0.0242,0.0747,-0.0291,34.8,0
140,0.612,1.1483,9.513,0.0279,0.0536,-0.021,34.7,0
160,0.6543,1.0558,9.6163,0.034,0.0541,-0.0198,34.7,0
180,0.8157,0.9833,9.4849,0.0013,0.0657,-0.0171,34.7,0
200,0.7604,1.0837,9.6079,0.0184,0.0607,-0.0042,34.6,0
220,0.7288,0.9615,9.5623,0.019,0.0741,-0.0149,34.6,0
240,0.7788,1.0579,9.6256,0.0473,0.0545,-0.0004,34.5,0
260,0.8264,0.9681,9.5365,0.0347,0.0682,-0.0104,34.5,0
280,0.8751,0.9168,9.5149,0.0292,0.0566,0.0049,34.4,0
300,0.813,0.907,9.577,0.0202,0.0584,-0.0037,34.4,0
320,0.7946,0.8447,9.6258,0.0145,0.0555,0.0062,34.3,0
340,0.8103,0.8073,9.6262,0.024,0.0725,0.0016,34.3,0
360,0.9392,0.7488,9.613,0.0171,0.0601,-0.0093,34.2,0
380,0.7052,0.7378,9.6699,0.0265,0.0722,0.0072,34.2,0
400,0.8083,0.7905,9.5624,0.0169,0.0571,0.0109,34.1,0
420,0.9108,0.7519,9.6416,0.0344,0.0382,0.0151,34.1,0
440,0.8845,0.5933,9.7372,0.0068,0.0757,0.0146,34.1,0
460,0.9785,0.6548,9.6978,0.0366,0.0544,0.0066,34.0,0
480,0.9159,0.6184,9.7466,0.0282,0.0549,0.0279,34.0,0
500,0.8753,0.5713,9.6698,0.0268,0.0536,0.0241,33.9,0
