timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.0997,0.1672,9.7633,0.0059,-0.0371,0.014,0
20,0.0614,-0.0458,9.7105,-0.0159,-0.0381,0.0044,0
40,0.0575,0.1508,9.9355,-0.0084,-0.0039,0.0761,0
60,-0.0527,-0.0777,9.9429,0.0189,-0.0229,0.0203,0
80,-0.025,0.0901,10.0098,-0.0267,0.0047,0.0068,0
100,0.2917,-0.0019,9.9344,0.0291,0.0065,-0.0122,0
120,0.0192,0.0356,10.0137,-0.032,0.0118,0.018,0
140,0.2139,-0.0357,9.5737,0.0304,-0.0055,0.0138,0
160,0.4396,0.0284,9.9729,-0.0127,-0.0697,0.0049,0
180,-0.0825,0.0862,9.6758,-0.0277,-0.0464,0.0034,0
200,-0.1784,-0.0998,9.6472,-0.0382,0.0201,0.0182,0
220,0.0673,-0.0237,9.8667,-0.0161,0.0185,-0.0291,0
240,-0.1046,0.0396,9.9698,0.0063,0.027,-0.0195,0
260,0.0674,0.034,9.9126,0.0338,-0.0137,0.0885,0
280,0.0751,0.0348,9.5156,0.0071,-0.039,-0.0333,0
301,-0.1207,-0.1939,10.0454,-0.0166,0.0756,0.0097,0
321,0.1102,0.0181,9.58,-0.0027,-0.0298,0.0165,0
341,0.0919,-0.0473,9.7332,-0.0127,0.0036,-0.0294,0
361,-0.0925,-0.0569,9.4572,0.014,0.0374,-0.0717,0
381,-0.1242,0.0706,9.3975,0.003,0.0275,-0.0486,0
401,0.0204,-0.082,9.8183,-0.0056,0.0047,-0.0032,0
421,-0.168,-0.0704,9.5163,-0.0272,-0.0241,-0.055,0
441,0.0911,-0.001,10.1159,-0.0338,0.0302,-0.0523,0
461,0.0295,0.1508,9.7732,0.0128,-0.0196,0.0054,0
481,-0.0572,-0.0355,9.4969,0.0667,-0.0118,-0.0444,0
501,-0.2176,-0.1983,9.8482,0.0263,-0.0198,0.0066,0
521,-0.1234,0.1035,9.8648,-0.0013,0.0021,-0.0074,0
541,0.1923,-0.0859,9.8552,0.0164,-0.0063,0.0512,0
561,-0.2173,-0.0101,9.9717,-0.0087,0.0511,0.05,0
581,-0.0041,-0.0883,9.615,0.0176,-0.0209,-0.0021,0
602,-0.0811,-0.24,10.0825,-0.0445,-0.0197,-0.0063,0
622,0.0725,-0.0734,10.1276,0.003,-0.0227,0.007,0
642,-0.0461,0.0103,9.8979,0.0399,-0.0228,-0.0701,0
662,0.2007,0.0425,9.9699,0.0544,-0.0215,-0.0151,0
682,-0.232,-0.0191,9.9838,-0.0536,-0.0387,-0.0147,0
702,-0.0756,-0.043,9.4596,-0.0359,-0.0057,0.0205,0
722,0.0726,-0.1395,10.2849,0.055,0.0665,0.0057,0
742,0.0205,-0.0198,9.9325,-0.0204,0.0747,0.0424,0
762,-0.1333,-0.1963,9.6957,-0.0079,0.0267,0.0147,0
782,-0.1046,0.22,10.2562,0.0278,-0.0025,0.0328,0
802,0.1085,-0.0311,9.8886,0.048,0.0017,0.0013,0
822,-0.1735,-0.1134,9.8624,-0.0426,-0.0321,-0.0056,0
842,-0.0808,-0.2716,9.5722,-0.0071,-0.013,0.0355,0
862,-0.1985,0.1415,9.8263,-0.0171,0.017,-0.0026,0
882,0.3108,0.0651,9.9083,0.0194,-0.0459,0.0128,0
903,0.2914,-0.0735,9.4891,-0.0368,0.0391,0.0217,0
923,0.0413,-0.1758,9.6775,0.003,0.0208,-0.0505,0
943,0.2946,0.1688,9.6833,0.0198,0.0162,0.0221,0
963,-0.1641,-0.1467,9.3907,0.0007,-0.0104,0.0203,0
983,-0.0144,0.3616,10.188,0.0114,0.0382,0.0252,0
1003,-0.2268,0.2508,9.7742,0.0259,-0.0044,0.003,0
1023,0.2172,-0.0196,9.8051,0.0266,0.0299,0.0021,0
1043,0.0418,-0.0868,10.0396,-0.001,0.0072,-0.0221,0
1063,-0.0252,-0.1739,9.7192,0.0204,-0.0018,-0.0144,0
1083,-0.2033,-0.017,10.0604,0.0549,0.0181,-0.0359,0
1103,-0.055,-0.2467,9.7076,0.0105,-0.0367,-0.005,0
1123,-0.2063,0.1501,9.8216,0.01,-0.0324,-0.0779,0
1143,0.0846,-0.0064,10.0215,0.0118,0.0491,-0.0209,0
1163,-0.1891,-0.0299,9.5798,-0.0121,-0.0235,0.0093,0
1183,-0.1163,0.1699,9.6761,-0.0808,0.0064,0.0244,0
1204,-0.1017,-0.0012,9.5453,-0.0198,0.0582,-0.0304,0
1224,-0.0339,0.0551,9.7673,0.0474,0.021,0.0337,0
1244,-0.0394,0.0089,9.5572,-0.0232,-0.0228,-0.0161,0
1264,0.0993,0.1846,10.1118,0.0071,0.028,-0.0012,0
1284,0.0033,0.0482,9.8678,-0.013,-0.0145,0.0371,0
1304,-0.1006,0.1914,9.9723,-0.0142,-0.0257,0.0123,0
1324,0.0485,0.236,10.0087,-0.0427,0.0314,0.003,0
1344,0.1277,-0.1034,9.5532,-0.0361,-0.0049,-0.003,0
