timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.1301,-0.2928,9.796,-0.0479,-0.0152,-0.0197,0
20,-0.0139,0.0208,9.8226,-0.0265,-0.0325,0.0163,0
40,0.112,-0.1649,9.5991,-0.0175,0.0378,0.0133,0
60,0.0641,-0.0495,9.8022,0.0485,0.04,0.0038,0
80,-0.0931,-0.1194,9.8383,0.0186,0.0258,-0.0345,0
100,0.0674,0.3229,9.7489,-0.0146,-0.0018,0.0046,0
120,0.0406,-0.1316,9.5652,-0.0745,0.0044,0.0173,0
140,0.143,-0.1208,9.8246,0.0131,-0.041,0.0435,0
160,-0.0227,0.011,10.095,0.0308,-0.0087,0.012,0
180,0.2858,-0.3032,9.577,0.0242,-0.0078,-0.0293,0
200,-0.0028,0.0462,9.5836,-0.0398,0.0236,0.0203,0
220,0.3053,0.0522,10.0939,0.0199,-0.02,0.0033,0
240,-0.0768,-0.145,9.7633,0.0038,-0.0426,-0.0076,0
260,0.0718,-0.1807,9.6426,0.0259,0.0026,0.0041,0
280,0.3381,-0.0121,10.0098,0.0344,0.0171,0.0087,0
301,-0.119,-0.0495,9.9991,0.0171,0.009,-0.0597,0
321,0.2438,0.0441,9.9363,-0.0202,-0.0203,-0.0501,0
341,-0.0798,0.3081,9.8809,0.0236,0.0247,0.0184,0
361,0.1369,-0.1718,10.1679,-0.0037,-0.0189,0.0117,0
381,-0.208,0.1673,9.8386,-0.0321,0.0286,-0.0169,0
401,-0.2053,-0.1503,10.0344,0.0023,0.0151,-0.0009,0
421,0.1276,0.2069,9.9934,-0.0373,0.0085,-0.0271,0
441,0.0635,-0.2368,9.6161,-0.0727,-0.0015,0.0303,0
461,-0.0658,0.0051,9.7646,-0.041,0.0305,0.0034,0
481,-0.0393,0.0928,9.8833,0.0081,0.0269,0.0093,0
501,0.1066,0.055,9.373,-0.0451,0.0306,-0.002,0
521,0.154,0.0701,9.8512,0.0248,-0.0042,0.0363,0
541,0.2108,-0.0735,9.8349,0.0435,-0.0174,0.0563,0
561,0.1708,0.2344,10.1455,0.0067,0.0315,0.0018,0
581,-0.1712,0.0041,9.8574,0.0579,-0.0003,-0.0262,0
602,-0.1158,-0.1608,10.0401,-0.0343,-0.0081,-0.0275,0
622,-0.0574,-0.0599,9.4358,0.0278,0.0308,0.0224,0
642,0.154,0.0978,10.2736,-0.0082,0.0361,0.0519,0
662,0.0093,-0.111,9.5858,-0.0149,0.0278,0.0472,0
682,-0.1539,-0.3428,9.6179,-0.012,-0.0108,-0.0054,0
702,0.106,-0.1632,9.8152,0.0299,0.0448,-0.032,0
722,-0.3547,0.0104,10.0966,-0.0582,-0.0186,0.0544,0
742,-0.1295,-0.2336,9.8313,-0.0032,-0.0004,0.0043,0
762,0.2051,-0.0057,9.7448,0.0224,0.0649,-0.0053,0
782,0.2218,-0.0225,9.6038,-0.0058,-0.0432,-0.0208,0
802,0.0325,0.1028,9.9575,-0.0375,-0.0251,0.076,0
822,-0.0622,-0.0309,9.8675,0.0242,0.046,0.0272,0
842,-0.038,-0.004,9.4528,0.0208,0.0145,0.0033,0
862,-0.0329,0.2915,9.4946,0.0128,0.0377,0.0037,0
882,0.0257,0.1364,9.7899,-0.0359,-0.0288,0.0078,0
