timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.0148,0.0411,9.6783,0.0147,0.0031,-0.0229,0
20,0.0027,0.3588,9.7315,0.0022,-0.0233,0.0134,0
40,0.0808,0.0786,9.5782,0.043,0.0206,-0.0127,0
60,0.0768,0.0797,9.7941,-0.0562,0.0139,-0.0124,0
80,-0.1641,-0.1442,9.8953,0.0297,-0.007,-0.002,0
100,-0.0034,0.124,9.6655,0.0153,0.0042,-0.0327,0
120,-0.0015,0.1145,10.4479,0.0074,0.015,0.0691,0
140,-0.1689,-0.2048,9.7867,-0.0052,0.0177,-0.0084,0
160,-0.2099,-0.0276,9.7881,-0.0048,0.0039,-0.0457,0
180,-0.205,-0.0281,9.8138,-0.0442,0.0317,-0.047,0
200,-0.1935,-0.0095,9.7268,0.0352,-0.0061,0.0298,0
220,-0.0588,-0.0044,9.5187,0.0285,0.0104,0.0743,0
240,-0.0771,-0.0731,9.5872,0.0009,0.0412,0.039,0
260,0.0908,-0.065,9.7941,-0.0742,-0.0223,-0.0219,0
280,0.0865,0.2801,9.8791,-0.0622,0.0098,0.0343,0
301,-0.184,0.0059,9.6233,0.0083,0.0624,-0.0704,0
321,-0.2242,-0.2506,9.8453,0.0024,0.0407,-0.0233,0
341,-0.1538,0.2079,9.6846,0.0164,0.0147,0.0089,0
361,0.0968,-0.3617,10.0794,0.0085,-0.0378,-0.0024,0
381,-0.1929,0.2235,9.9405,-0.036,0.0392,-0.0514,0
401,0.1531,-0.2587,9.691,0.015,0.0263,0.0328,0
421,-0.0866,0.0355,10.0003,-0.0406,0.0115,0.0223,0
441,0.269,-0.14,9.997,0.0167,0.0531,-0.0409,0
461,-0.0227,-0.1078,9.7417,0.0207,-0.0452,0.0278,0
481,-0.2889,0.069,9.7275,0.0117,0.0194,-0.0137,0
501,0.0091,0.1032,9.634,-0.0017,-0.0567,-0.0038,0
521,-0.1995,-0.1181,9.6736,0.0253,0.0,0.0529,0
541,-0.0186,0.05,9.9479,0.0166,-0.0151,-0.0061,0
561,0.0238,-0.0729,9.775,0.0152,0.0191,0.0301,0
581,0.091,0.208,9.9504,0.0211,0.0144,-0.0304,0
602,-0.0345,0.0019,9.7548,-0.0632,0.0251,-0.0229,0
622,-0.0028,-0.2314,9.5199,0.0493,0.0375,-0.0193,0
642,-0.037,-0.174,9.7862,0.0286,0.061,-0.0222,0
662,-0.0375,-0.2625,9.8157,-0.0093,-0.0307,0.0255,0
682,-0.0756,0.2108,9.7111,0.0098,0.0685,-0.0286,0
702,-0.0349,0.1183,9.5913,0.0088,0.0044,0.0617,0
722,0.2001,0.1673,9.9909,0.0094,0.0151,0.0028,0
742,-0.1968,-0.1311,9.8659,0.0605,-0.0256,0.0401,0
762,-0.063,-0.1809,9.887,-0.047,0.0239,0.0092,0
782,0.0344,-0.0287,10.0429,0.0221,0.0368,-0.0239,0
802,0.2798,0.0163,9.4098,0.031,0.0446,-0.0015,0
822,-0.0274,-0.0098,9.9657,0.0208,-0.0598,0.0018,0
842,-0.2708,0.0227,9.9094,0.0029,-0.0252,-0.0238,0
862,-0.2471,0.0949,9.465,0.0162,-0.0177,0.0304,0
882,-0.258,-0.1084,9.5922,0.0015,0.0142,0.0274,0
903,-0.2283,0.317,9.8142,-0.0008,0.0106,-0.0077,0
923,0.2243,0.0074,9.9148,0.0295,-0.0166,-0.0065,0
943,-0.0009,0.1175,9.8835,-0.0091,0.0304,0.0122,0
963,0.1023,-0.1826,10.0065,-0.0048,-0.002,-0.0242,0
983,0.2475,-0.1344,10.2098,0.0136,0.0376,-0.0209,0
1003,0.0923,-0.0012,9.8074,-0.0206,0.0001,0.0604,0
1023,0.2324,-0.0765,9.6925,0.0104,0.0107,0.0366,0
1043,0.141,0.0644,9.9662,-0.0355,-0.0385,-0.0319,0
1063,-0.021,-0.1344,9.6649,0.0279,-0.0072,-0.034,0
1083,0.0121,-0.006,9.502,-0.0006,0.0481,-0.0012,0
1103,0.1687,0.0262,9.8258,0.0281,0.0199,0.0078,0
1123,0.1104,0.1099,9.8884,0.0078,-0.0074,-0.0217,0
1143,0.0218,-0.0242,9.9115,0.0109,0.0241,0.0243,0
1163,0.2388,-0.126,9.7282,0.0232,-0.0208,0.0015,0
1183,0.1416,0.0336,9.8798,-0.003,-0.0185,0.0033,0
1204,-0.1148,-0.0807,9.7769,0.058,-0.0438,-0.0102,0
1224,-0.1235,0.0229,9.9585,0.0332,0.004,-0.0007,0
1244,0.1045,-0.0488,9.842,-0.0205,-0.0009,-0.0365,0
1264,-0.1458,0.0293,10.4873,-0.0271,0.0242,0.0401,0
1284,-0.0361,0.0992,9.7442,0.0361,0.0309,-0.0071,0
1304,-0.305,0.0789,9.6011,-0.0246,-0.0189,0.0126,0
1324,0.0167,0.1008,9.7557,0.0025,0.0484,-0.0022,0
1344,0.3989,-0.1528,9.5739,0.0335,-0.0242,0.028,0
1364,-0.0947,0.137,9.2781,-0.0079,-0.0198,0.0138,0
1384,-0.1548,-0.1076,9.8929,-0.0033,-0.0022,-0.0163,0
1404,0.1077,0.0516,10.117,0.0082,0.0143,0.0289,0
1424,-0.2675,0.0925,9.8322,-0.0347,0.0006,-0.0355,0
1444,0.1791,0.0756,10.0058,0.02,0.0339,-0.0284,0
1464,-0.2035,0.0795,9.8305,0.0113,-0.0045,-0.0446,0
1484,0.0931,-0.2581,9.7886,0.0062,-0.0232,0.005,0
1505,-0.0488,-0.0255,10.0458,0.0304,-0.0269,0.012,0
1525,-0.2492,0.2977,9.9132,0.0304,-0.0007,-0.0454,0
1545,0.1225,-0.1502,9.844,-0.0101,-0.0499,0.0388,0
1565,-0.2316,0.0753,9.9918,0.0664,-0.0182,0.0452,0
1585,0.2136,0.1623,9.7921,0.0136,0.04,-0.0363,0
1605,0.0122,-0.2429,10.013,0.024,0.0177,-0.0208,0
1625,0.1955,-0.0593,9.5772,0.0023,-0.0146,0.0452,0
1645,0.2683,0.3433,9.4959,-0.048,0.0518,0.0362,0
1665,-0.3024,0.0822,9.8199,0.0124,0.0308,-0.0348,0
1685,-0.0796,0.1286,10.0,-0.0056,0.0158,0.0028,0
1705,0.2512,-0.2398,9.6393,0.0395,0.0303,-0.0046,0
1725,-0.1478,0.075,9.8547,0.0073,0.0235,-0.0645,0
1745,0.0682,-0.0644,9.7809,0.0079,-0.0197,-0.0552,0
1765,0.0227,-0.1013,9.8298,-0.0298,-0.0524,0.0457,0
1785,0.0084,0.1008,9.7414,0.0065,-0.0494,0.005,0
