timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.0616,0.1102,9.9891,0.0229,-0.0302,0.0222,0
20,0.0612,-0.242,9.4232,-0.0234,0.0414,-0.0098,0
40,-0.1869,0.1319,9.8344,0.0554,-0.0599,-0.032,0
60,-0.1462,0.0759,9.9205,0.0284,-0.0316,0.0164,0
80,-0.25,-0.0217,10.0109,0.0009,0.0444,0.0001,0
100,0.0091,-0.189,9.7541,-0.0502,-0.0104,-0.0164,0
120,-0.1844,0.3531,9.5389,0.0045,0.0054,0.0441,0
140,0.0124,-0.0071,9.8106,-0.041,-0.0172,0.0385,0
160,-0.2208,0.1003,9.8958,0.02,-0.0173,0.0184,0
180,-0.0299,0.0152,9.7029,0.0112,0.0059,0.043,0
200,-0.0181,0.0331,9.7296,0.0377,-0.0251,-0.0035,0
220,0.1134,0.069,9.8897,-0.0428,-0.0185,0.0189,0
240,0.1246,-0.0542,9.5401,-0.0015,0.0096,-0.0407,0
260,-0.1965,0.1094,9.5691,0.0082,0.0504,-0.0119,0
280,0.0086,0.0161,9.8498,0.0208,0.0232,0.0219,0
301,0.2628,0.2833,9.6577,0.0355,0.0492,-0.0225,0
321,0.2166,0.1294,10.1497,-0.017,0.0125,-0.1014,0
341,-0.1483,0.0451,9.7633,0.0123,-0.0129,-0.0174,0
361,0.1684,-0.169,9.4441,0.0053,-0.0396,-0.0254,0
381,-0.3312,0.0455,9.9162,0.0058,0.0088,-0.0124,0
401,0.0644,0.0787,9.8326,0.0009,-0.0206,-0.0447,0
421,0.0876,0.128,9.9669,0.0201,-0.0413,0.013,0
441,0.1246,0.1491,9.3905,0.0262,-0.0165,0.0034,0
461,0.0334,0.3108,9.8179,-0.027,-0.0296,0.0529,0
481,-0.1075,0.2814,9.727,0.0448,-0.0027,-0.0325,0
501,-0.0416,0.088,9.8322,0.0239,0.0152,-0.0608,0
521,0.179,-0.1246,9.7033,0.0003,0.0205,-0.028,0
541,0.1437,0.0263,9.7757,-0.0026,0.0354,0.0249,0
561,0.2003,0.0448,9.7154,-0.0022,0.0036,0.019,0
581,0.0827,-0.0829,10.0485,0.0105,-0.0131,-0.0177,0
602,-0.0111,-0.0116,9.9779,0.0519,0.0296,0.0247,0
622,-0.0776,0.2431,9.4081,-0.0317,0.0044,0.0258,0
642,-0.0871,-0.0724,9.7668,0.0278,-0.0029,-0.0043,0
662,-0.2308,-0.1055,9.7005,0.0325,-0.0116,0.007,0
682,0.157,-0.0423,9.826,0.0027,-0.0248,0.0282,0
702,0.2359,0.4219,10.2439,-0.0039,-0.0023,0.0295,0
722,0.0385,-0.0018,9.6109,0.0207,0.0024,-0.0384,0
742,-0.0891,-0.1956,9.8296,0.0155,0.0069,0.0113,0
762,-0.0714,0.1233,10.0599,0.0778,-0.0128,-0.0089,0
782,-0.0308,-0.2693,9.895,-0.0668,0.0252,0.0243,0
802,-0.1786,0.1741,9.939,0.0087,-0.0577,0.0235,0
822,0.0955,-0.1164,10.1638,-0.0207,0.0053,-0.0135,0
842,0.167,-0.0313,9.6174,0.0263,0.0081,0.0142,0
862,-0.1811,0.038,9.5332,0.0086,-0.0425,-0.0224,0
882,-0.1134,-0.2234,9.7423,0.0517,0.0556,0.019,0
903,0.1824,0.014,9.7605,0.019,0.0163,-0.001,0
923,0.2962,0.1941,9.6568,0.0297,-0.0347,0.0314,0
943,-0.1439,-0.0692,9.8262,0.0298,-0.0156,0.0105,0
963,0.285,0.1179,9.7911,0.0266,0.0147,0.0014,0
983,0.1234,0.0296,9.6838,0.0354,0.0268,0.0089,0
1003,0.1319,0.1641,9.6585,0.0088,0.0444,-0.0553,0
1023,-0.1441,-0.0901,9.7664,-0.0124,0.0202,0.0324,0
1043,0.2148,0.1658,10.0831,0.0793,-0.0298,0.0418,0
1063,-0.0683,-0.1572,9.8825,-0.0387,-0.0232,-0.0449,0
1083,-0.0972,0.1021,9.8185,-0.0111,-0.0254,-0.0212,0
1103,-0.0051,0.1704,9.7972,0.0099,-0.0367,-0.0198,0
1123,0.0792,0.1204,9.6074,0.0375,0.0204,0.009,0
1143,-0.0287,0.2635,9.9453,0.021,-0.0004,-0.0053,0
1163,0.2092,0.0564,10.0795,0.0045,0.0029,-0.0113,0
1183,-0.017,0.0791,9.9054,0.0781,0.0113,0.0715,0
1204,0.1502,-0.1151,9.5527,-0.0366,0.0523,-0.0469,0
1224,-0.2529,-0.1756,9.598,-0.018,0.0351,0.0336,0
1244,-0.3062,0.1269,9.5215,-0.0023,0.0078,0.019,0
1264,0.2497,0.072,9.7608,0.0638,-0.032,-0.0176,0
1284,0.2389,0.231,9.874,-0.0291,-0.0,-0.0378,0
1304,-0.1416,0.0126,9.7052,0.0433,0.0102,-0.0657,0
1324,0.0653,-0.1643,9.7413,0.0555,0.0161,-0.0193,0
1344,0.0216,-0.1179,9.94,-0.0238,-0.0196,0.0004,0
1364,0.082,0.0443,9.8528,-0.0054,-0.0428,-0.0291,0
1384,0.2232,0.0109,9.9068,0.007,-0.0087,0.0178,0
1404,-0.1815,-0.065,10.013,-0.0216,-0.0587,0.0305,0
1424,-0.0587,-0.0465,10.0266,0.0269,0.0069,0.0615,0
1444,-0.0138,-0.0081,9.7547,-0.003,0.0207,-0.0035,0
1464,-0.2974,-0.0373,9.684,0.0303,-0.0012,0.0121,0
1484,-0.1118,-0.1547,10.0191,-0.0236,0.0074,0.0147,0
1505,0.1313,0.0802,9.5105,0.0131,0.0326,0.0001,0
1525,0.0158,-0.208,9.5163,0.0086,0.0114,0.0183,0
1545,0.1151,0.2254,9.998,0.0071,-0.0035,-0.003,0
1565,0.2349,-0.4027,9.5053,-0.0054,-0.0115,-0.011,0
1585,-0.1764,-0.1285,9.6457,0.0146,0.0046,-0.0217,0
1605,0.087,-0.1724,9.6638,-0.0174,0.0528,-0.0257,0
1625,0.1855,-0.1367,9.9462,-0.0176,-0.0224,0.0197,0
1645,0.1297,-0.0868,9.9267,0.0083,-0.0209,-0.0161,0
1665,0.2956,0.0344,10.0771,0.0274,0.0633,0.0466,0
1685,0.0182,0.1625,9.9351,-0.0477,-0.0071,0.0038,0
1705,0.3283,0.0449,9.6591,0.0297,0.0197,-0.0189,0
1725,0.1484,0.1595,9.7133,0.0022,-0.0024,-0.0007,0
1745,0.0323,-0.151,9.9015,0.0197,0.046,0.063,0
1765,-0.2086,-0.0633,9.8897,-0.0199,-0.0252,-0.0283,0
1785,0.0703,0.2647,10.2319,-0.0427,-0.0335,0.0058,0
1806,0.1123,-0.2096,9.7879,-0.0082,-0.0058,-0.0173,0
1826,-0.1511,-0.2398,9.9016,0.0191,0.0244,-0.0392,0
1846,0.1336,0.0967,9.7235,0.0382,0.0174,-0.0585,0
1866,-0.1797,0.2317,10.0134,0.007,-0.0022,0.0056,0
1886,0.071,-0.0821,9.5812,0.013,-0.0105,-0.0149,0
1906,-0.0464,-0.0087,9.4646,-0.0077,0.0057,-0.056,0
1926,0.0961,0.0104,9.4328,0.0282,-0.0372,0.0084,0
1946,-0.0323,0.1291,9.9765,0.0154,0.0277,-0.0,0
1966,-0.0373,0.0599,9.7791,-0.0048,-0.0063,0.0173,0
1986,-0.0576,-0.3039,9.6461,0.0397,-0.0186,0.0344,0
2006,-0.1593,-0.1924,10.0046,-0.0561,-0.0296,-0.0245,0
2026,-0.1759,0.0286,9.8045,-0.0006,0.0305,-0.0148,0
2046,-0.0557,0.0088,9.853,0.0095,-0.0446,-0.013,0
2066,-0.1548,-0.1404,9.3156,0.0213,0.0317,0.0149,0
2086,0.2318,0.0854,9.9457,-0.0319,0.0194,0.0053,0
2107,0.0635,-0.0005,10.3733,-0.0228,-0.0344,-0.0008,0
2127,0.2099,-0.0638,9.9758,0.0266,0.0105,0.0317,0
2147,0.0144,-0.0735,9.9613,0.0073,-0.0071,0.0165,0
2167,0.2055,0.0162,9.846,-0.0201,0.0126,0.017,0
2187,-0.2433,0.12,9.7831,-0.0391,-0.0115,0.0109,0
2207,-0.1496,-0.0814,9.943,0.0078,-0.0814,-0.0019,0
2227,-0.0069,0.0199,9.554,0.0214,0.0187,-0.0122,0
2247,-0.0962,0.2303,9.9943,0.0351,-0.0437,0.0131,0
2267,-0.0131,0.0907,9.6255,-0.0157,0.0015,-0.0439,0
2287,0.0036,0.1739,9.5888,0.0375,-0.0005,0.0422,0
2307,-0.0203,-0.0953,9.7225,-0.005,-0.002,0.0346,0
2327,0.0682,-0.0049,10.112,0.0045,0.0256,-0.0062,0
2347,-0.0366,0.1532,9.936,-0.0433,-0.0107,-0.0375,0
2367,0.0091,-0.2612,9.5112,-0.0071,0.0191,0.0057,0
2387,-0.0322,-0.1216,9.5921,0.0077,0.0063,-0.0349,0
2408,0.007,-0.0037,9.5989,-0.0166,0.0315,-0.0462,0
2428,0.1675,0.0832,10.0243,-0.0503,-0.0334,-0.056,0
2448,0.0311,-0.192,9.7191,-0.0379,0.0129,-0.0123,0
2468,-0.1359,0.1617,9.7232,0.0067,-0.0161,-0.0099,0
2488,-0.1188,-0.2922,9.42,-0.059,0.029,0.0027,0
2508,0.0812,0.0689,9.5685,-0.0137,0.0025,-0.0163,0
2528,-0.0516,-0.3908,9.5639,0.0365,0.0132,-0.056,0
2548,0.1375,-0.3671,10.1603,-0.0012,0.0347,-0.0015,0
2568,-0.1328,-0.674,10.2054,0.0138,0.0191,0.0213,0
2588,0.1277,-1.35,10.178,-0.013,0.0066,-0.0254,0
2608,-0.1073,-1.1913,10.1794,0.0097,0.0464,0.0142,0
2628,0.1881,-1.665,10.2365,-0.019,-0.0071,0.0019,0
2648,-0.0092,-1.7521,10.5264,0.0056,-0.008,-0.0033,0
2668,0.2634,-2.0974,10.1339,-0.0182,-0.0145,0.0168,0
2688,-0.0248,-2.1778,10.574,0.0301,0.0248,-0.0053,0
2709,0.1048,-2.5965,10.5168,-0.0638,-0.0416,-0.0233,0
2729,0.0124,-2.7317,10.2631,0.0271,0.0061,-0.0112,0
2749,-0.2099,-2.9105,10.4953,-0.0222,-0.0291,-0.0479,0
2769,0.2557,-3.2584,10.6865,-0.0028,-0.0266,0.0225,0
2789,0.1209,-3.2535,10.8143,-0.0203,-0.0066,-0.0186,0
2809,-0.007,-3.7121,10.8185,0.0499,0.0136,-0.0073,0
2829,0.2488,-3.8311,10.5315,-0.0346,-0.0249,-0.0058,0
2849,-0.1577,-3.5708,10.6538,-0.0053,-0.0233,-0.0175,0
2869,0.1101,-4.0387,11.0074,0.0183,-0.0674,0.0387,0
2889,0.1713,-4.6026,10.4919,0.0169,-0.0062,0.0581,0
2909,0.0495,-4.3636,10.8531,-0.007,-0.0487,-0.0222,0
2929,-0.2653,-4.6829,10.8255,0.0079,0.0285,0.0562,0
2949,0.0666,-4.5103,11.1302,0.0376,-0.0037,-0.0012,0
2969,0.2444,-4.6591,10.8876,-0.0121,-0.0091,-0.0168,0
2989,0.3198,-4.6146,10.9489,-0.0068,-0.0014,-0.0245,0
3010,0.1126,-4.9623,10.9023,-0.0464,0.0113,-0.0186,0
3030,-0.205,-5.0385,11.1083,-0.0127,-0.0031,0.0251,0
3050,0.1935,-5.058,11.3811,-0.0681,-0.0466,-0.014,0
3070,-0.0984,-5.2847,11.0086,0.0201,-0.0087,0.0156,0
3090,0.1533,-5.2455,11.6728,-0.0334,-0.0021,0.0419,0
3110,0.0819,-5.4575,10.9189,0.0445,-0.0544,0.0364,0
3130,0.1795,-5.4501,10.8106,0.0085,-0.0122,0.0195,0
3150,-0.0398,-5.1664,10.7479,0.0055,-0.0079,-0.0046,0
3170,-0.0329,-4.9936,10.9358,0.0174,-0.0255,0.0027,0
3190,-0.2274,-5.391,10.7559,0.0337,-0.0067,-0.0292,0
3210,0.1981,-5.0461,11.1288,-0.005,-0.0359,-0.0148,0
3230,0.0072,-4.9592,10.3645,-0.0325,0.0211,-0.009,0
3250,0.209,-5.0571,10.9458,-0.0367,-0.0042,-0.0228,0
3270,-0.0187,-5.0338,10.811,0.0109,0.0091,-0.014,0
3290,0.024,-4.9583,11.1925,0.0028,0.0586,-0.0253,0
3311,-0.2169,-4.6782,10.9471,0.0212,-0.0341,-0.0082,0
3331,-0.251,-4.5395,10.8583,-0.0506,-0.0404,-0.0165,0
3351,0.0776,-4.6376,10.6047,0.016,-0.0172,0.0663,0
3371,-0.0253,-4.2669,10.6582,0.0085,-0.0244,0.0057,0
3391,-0.0328,-4.3642,10.9904,0.0166,0.0212,0.0271,0
3411,-0.0372,-4.2724,10.9948,-0.0057,0.0258,-0.0277,0
3431,-0.1109,-4.1257,11.0397,-0.0056,0.0255,-0.0092,0
3451,-0.0379,-3.8477,10.9436,0.0283,0.0477,-0.0388,0
3471,0.1589,-3.7244,10.479,0.0175,-0.0325,0.0228,0
3491,0.0846,-3.3615,10.722,-0.0091,-0.008,0.0156,0
3511,-0.2377,-3.5999,10.4129,-0.0114,-0.0243,0.0004,0
3531,0.0251,-3.1357,10.6479,0.0327,-0.0419,0.0156,0
3551,-0.1293,-2.8305,10.3867,-0.0098,-0.0447,0.0387,0
3571,-0.2872,-2.6895,10.4481,0.0137,-0.004,0.0253,0
3591,-0.0426,-2.5876,10.1866,0.0935,-0.0488,-0.0121,0
3612,-0.143,-2.1783,10.491,0.0434,0.0022,0.011,0
3632,0.1251,-2.0904,10.3064,-0.0117,0.0217,-0.0484,0
3652,-0.0223,-2.1459,10.2602,0.0264,-0.0302,-0.0095,0
3672,-0.1379,-1.6738,10.1612,-0.0318,-0.0247,-0.0205,0
3692,0.1519,-1.2384,9.7683,0.0357,0.0037,0.0086,0
3712,0.2522,-1.1918,9.5825,-0.0496,-0.0292,0.0282,0
3732,-0.1277,-0.8387,9.8944,-0.0914,0.0031,0.0068,0
3752,-0.3363,-0.453,9.984,0.0149,-0.0573,-0.0291,0
3772,0.1466,-0.3553,10.009,-0.033,0.011,-0.0044,0
3792,-0.0025,-0.1137,9.6672,-0.0291,-0.0006,0.0231,0
3812,0.1233,-0.193,9.7587,-0.0348,-0.004,0.0139,0
3832,0.0305,-0.009,9.6828,0.0147,0.0041,-0.0123,0
3852,-0.018,0.2402,10.13,-0.0193,-0.013,-0.0528,0
3872,0.1026,0.0971,9.9037,0.0486,0.027,-0.0208,0
3892,-0.1166,0.1021,9.7957,0.0051,-0.0065,-0.0121,0
3913,0.1795,-0.0195,9.6881,-0.0189,-0.0147,-0.0337,0
3933,-0.0825,-0.1883,10.0797,0.0737,0.0017,-0.0139,0
3953,0.1697,-0.1303,9.8695,-0.0145,0.0207,-0.0424,0
3973,0.1053,0.1843,9.7343,-0.0352,0.0175,-0.0209,0
3993,0.0997,0.0555,9.7757,0.0135,-0.0313,-0.0021,0
4013,0.0699,-0.0372,9.6983,0.0374,-0.0267,-0.0161,0
