timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.013,-0.1897,9.4668,0.0268,-0.0127,-0.0013,0
20,-0.0308,-0.2579,9.651,0.0181,-0.0203,0.0032,0
40,-0.1588,0.0321,10.0275,-0.0432,0.0387,0.0002,0
60,0.2078,-0.0842,9.7668,-0.0078,0.0133,-0.0012,0
80,0.0774,-0.1952,9.6295,0.0355,-0.0271,0.0181,0
100,0.0715,0.026,9.6563,-0.0185,-0.0529,-0.0069,0
120,0.4869,0.0152,9.5685,0.0109,-0.0179,0.007,0
140,-0.0986,0.1878,10.1349,0.0187,-0.0174,-0.0079,0
160,-0.0047,0.1262,9.6621,-0.0251,-0.0001,0.0169,0
180,-0.0168,0.1345,9.7828,-0.0436,0.0219,0.023,0
200,-0.1092,-0.0246,10.1232,-0.0226,-0.0035,0.0072,0
220,-0.059,-0.0691,9.626,0.0148,0.0308,-0.0396,0
240,0.111,0.2012,9.8644,-0.0313,0.0119,0.0323,0
260,0.0693,0.0707,9.59,-0.0189,0.0109,-0.0046,0
280,-0.1387,0.1113,9.8447,0.0306,-0.002,-0.0306,0
301,0.0294,-0.0116,9.5922,0.0295,0.0058,-0.0262,0
321,0.0349,-0.1148,9.705,0.0388,0.0222,0.0341,0
341,-0.0572,-0.0563,9.9019,0.0186,-0.0148,-0.0027,0
361,0.1208,0.0079,9.5384,0.0151,0.0098,0.0157,0
381,-0.0729,0.148,9.8317,0.013,-0.0067,-0.057,0
401,0.0272,-0.1045,9.7368,-0.0187,-0.0168,0.0061,0
421,0.1195,-0.148,9.5236,-0.0282,0.0163,0.0353,0
441,0.1199,-0.3345,9.9706,-0.0256,-0.0125,0.025,0
461,0.129,-0.0024,9.7263,-0.0087,0.0162,-0.0099,0
481,-0.087,0.1271,10.3082,-0.0271,0.0099,-0.0179,0
501,0.1189,0.0025,9.934,-0.0222,-0.0639,0.0683,0
521,0.2575,0.132,9.7211,-0.0172,0.0115,0.0027,0
541,-0.1182,-0.3047,9.7827,-0.0212,0.0055,-0.0179,0
561,0.083,-0.0191,9.7283,-0.0465,0.0054,0.0345,0
581,-0.2931,-0.0027,9.4931,-0.0132,-0.0277,-0.0271,0
602,0.1419,0.0294,9.9117,0.0058,0.0031,-0.0492,0
622,-0.0601,0.1477,9.7259,-0.0295,0.018,-0.0254,0
642,0.0173,0.0708,9.6211,-0.0556,-0.0206,-0.0021,0
662,0.034,-0.2578,9.6202,-0.0451,-0.0022,-0.0341,0
682,-0.084,0.2342,9.562,-0.0538,0.001,-0.0105,0
702,0.1351,0.1537,9.8732,0.0058,0.03,0.0412,0
722,0.0032,-0.0019,9.7269,-0.0623,-0.0376,0.0621,0
742,0.0266,0.0754,10.0276,0.0371,0.0408,0.0048,0
762,0.0154,-0.0796,9.8687,-0.0242,0.0384,0.0014,0
782,-0.0286,-0.0895,9.6443,0.0287,-0.0177,0.0269,0
802,0.069,0.3891,9.6213,0.0211,-0.0407,0.0184,0
822,-0.153,0.1885,9.6916,0.0192,-0.0729,0.0391,0
842,-0.2426,0.1604,10.1156,-0.0098,-0.013,0.0149,0
862,-0.0728,-0.0748,9.7369,0.0026,-0.0104,-0.0247,0
882,-0.0523,0.3279,10.3446,-0.0055,0.0115,-0.0002,0
903,-0.1572,0.1774,10.0701,-0.0284,-0.0215,0.0025,0
923,-0.2444,0.1497,9.6575,-0.0225,-0.014,0.0035,0
943,0.1258,-0.0434,9.4954,-0.0261,-0.0406,-0.0426,0
963,-0.1673,0.1406,9.8086,0.0322,0.0227,0.0256,0
983,-0.2459,-0.0738,9.3619,-0.0527,0.0354,-0.0049,0
1003,0.0366,0.1247,9.7632,-0.0097,0.0234,-0.0088,0
1023,0.0187,0.3599,9.8642,0.0378,0.0074,-0.0352,0
1043,-0.0208,0.1734,9.7443,-0.042,0.0635,0.0035,0
