timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.1789,0.0284,9.7381,0.0209,-0.0196,-0.0204,0
20,-0.0066,-0.0456,9.5547,0.04,0.0582,0.0045,0
40,0.2021,0.0011,9.9138,0.0024,-0.0265,-0.0312,0
60,-0.3445,0.0368,9.9232,-0.0011,0.0051,0.0246,0
80,0.0257,-0.1822,9.6263,-0.0549,-0.0191,-0.0068,0
100,0.1142,0.1318,9.9893,0.0574,0.0168,0.0179,0
120,-0.1429,-0.0155,10.0194,-0.0058,0.038,-0.0336,0
140,-0.0387,0.0698,10.1119,0.0201,0.01,-0.0045,0
160,-0.4573,-0.038,9.9042,0.0014,0.0814,-0.0086,0
180,0.0985,-0.0353,9.8498,0.0121,0.0307,-0.0626,0
200,0.1254,-0.1234,9.7895,-0.0307,-0.0168,-0.0047,0
220,0.1303,0.1193,9.7726,0.0176,-0.0569,0.0055,0
240,-0.0464,-0.2389,9.9683,0.0548,0.0121,0.0399,0
260,-0.1933,0.0776,9.9565,0.0737,0.036,-0.0264,0
280,0.0383,0.2262,9.8107,-0.0282,0.0218,0.0185,0
301,-0.1007,-0.0028,9.6077,0.0033,0.0036,-0.0034,0
321,-0.0091,0.04,9.8142,-0.0187,0.037,0.011,0
341,-0.1774,-0.2697,9.6795,0.0106,0.0855,-0.0321,0
361,0.0336,-0.057,9.7217,-0.0253,0.0617,-0.0216,0
381,-0.1064,0.0885,9.9306,0.0189,0.0021,-0.0297,0
401,-0.2919,0.188,10.0984,0.0012,-0.0226,-0.0206,0
421,0.0138,-0.0293,9.7709,0.0075,-0.0057,0.0416,0
441,-0.0538,-0.1932,9.542,0.0292,-0.0095,-0.0248,0
461,-0.1539,0.2162,9.9171,0.0231,-0.0222,0.0016,0
481,-0.2549,0.0044,9.8816,0.0254,-0.0221,-0.0242,0
501,-0.1895,0.1903,9.5994,0.0065,-0.0236,0.0278,0
521,-0.0111,0.0992,9.8117,-0.0548,0.013,0.0013,0
541,0.0608,0.1658,9.6938,-0.0597,0.0267,0.0239,0
561,0.0819,0.2418,10.087,0.0115,0.002,-0.0344,0
581,0.1367,-0.0678,9.7072,0.0296,-0.0183,-0.0777,0
602,-0.2851,0.158,9.7785,0.0018,0.0003,-0.0779,0
622,0.2987,-0.1564,9.954,0.0294,-0.014,0.0381,0
642,-0.0078,-0.0913,9.8526,-0.0444,0.0773,-0.0093,0
662,-0.2063,-0.166,9.7709,-0.0016,0.0279,0.0405,0
682,0.0454,-0.0797,9.8877,0.0166,-0.0028,0.0362,0
702,0.014,0.2806,9.9364,0.0154,0.033,0.0176,0
722,-0.1579,-0.0077,10.1509,0.0198,-0.0306,0.0314,0
742,0.0854,0.0749,10.0037,-0.0006,0.0058,-0.0107,0
762,0.0806,-0.0438,10.0777,-0.0398,0.0715,-0.018,0
782,-0.0235,0.2735,9.9306,-0.052,-0.0107,0.016,0
802,0.223,-0.063,9.4931,-0.0327,-0.0022,0.0077,0
822,0.2189,-0.0081,9.7978,-0.0024,0.0358,0.0262,0
842,0.3359,0.0711,9.8289,0.0159,0.0188,-0.0339,0
862,-0.1697,-0.1719,9.8514,0.0116,-0.029,-0.0183,0
882,-0.1058,-0.0162,9.5572,0.0015,-0.013,-0.0433,0
903,-0.0481,-0.1191,9.5709,0.017,-0.0332,-0.0514,0
923,0.1133,0.0265,9.9836,0.0202,0.009,-0.0229,0
943,-0.0759,-0.0535,9.6746,0.0367,-0.0169,-0.005,0
963,0.2236,0.0061,9.7124,-0.0706,-0.0035,-0.0662,0
983,0.2098,0.3106,10.178,-0.021,-0.0253,-0.0105,0
1003,-0.2868,-0.0916,9.7059,0.0342,0.048,-0.0137,0
1023,-0.0333,-0.0674,9.7093,0.0309,-0.0339,-0.0109,0
1043,-0.0604,-0.0135,9.3781,-0.0045,-0.0034,-0.007,0
1063,-0.239,-0.0934,9.8608,-0.0041,0.0596,-0.0146,0
1083,0.0109,0.0604,9.8717,-0.0203,0.0199,0.0256,0
1103,-0.1116,-0.0932,9.8629,0.0399,0.0379,0.0123,0
1123,-0.0781,0.3219,9.6119,0.0234,-0.0236,0.0074,0
1143,-0.0783,-0.0797,9.6832,-0.0406,-0.0537,0.0189,0
1163,0.024,-0.348,9.5052,0.01,0.0302,0.0554,0
1183,0.0166,-0.1081,9.6416,-0.0367,-0.0241,-0.0504,0
1204,0.1241,-0.0572,9.8739,-0.0186,-0.0341,-0.0097,0
1224,-0.0605,-0.1171,9.8039,-0.0167,-0.0282,-0.0016,0
1244,-0.117,0.0285,9.7456,-0.0127,-0.0164,0.0454,0
1264,-0.1415,-0.1877,9.7544,-0.0082,0.0607,-0.0153,0
1284,0.2275,0.0271,9.7863,-0.0443,-0.0591,-0.0013,0
1304,-0.0227,-0.1803,9.6308,0.008,0.0016,0.0029,0
1324,-0.3168,-0.1839,9.7463,0.0026,0.0108,0.0093,0
1344,-0.2587,0.2233,9.9294,0.0149,-0.0432,0.0358,0
1364,-0.1151,-0.0899,9.7865,0.0261,-0.0204,-0.0104,0
1384,-0.2327,0.1024,9.7392,-0.0354,0.0331,-0.0149,0
1404,0.2689,-0.0156,10.2661,0.0272,-0.0349,0.0102,0
1424,0.011,0.0936,9.5715,0.0212,-0.0544,0.0117,0
1444,0.1451,-0.0908,9.6491,-0.0258,-0.0603,-0.0381,0
1464,0.3465,0.1933,9.9506,-0.014,-0.0026,0.0233,0
1484,-0.0285,-0.1229,10.0704,0.0148,0.0114,-0.0055,0
1505,0.0041,0.1502,9.9564,0.0439,-0.0166,-0.0208,0
1525,0.043,-0.1511,9.613,-0.0449,0.0473,-0.0142,0
1545,0.159,-0.0578,9.3969,0.0323,-0.008,0.0052,0
1565,0.1084,-0.0399,9.7072,0.0189,-0.0106,0.0078,0
1585,-0.169,-0.0724,9.9379,-0.0209,0.013,-0.0364,0
1605,0.0884,-0.003,9.9231,0.031,0.0182,0.024,0
1625,-0.0234,-0.209,9.8658,-0.0034,-0.0151,0.0275,0
1645,0.5086,0.09,9.9775,-0.0011,-0.0274,-0.0072,0
1665,-0.1523,-0.1834,9.8727,-0.0185,-0.0328,0.0055,0
1685,-0.0613,0.099,9.8015,0.012,-0.0067,0.0365,0
1705,0.1429,-0.0741,9.9387,-0.0239,0.0212,-0.0368,0
1725,-0.0974,0.0859,9.8647,0.0079,0.0055,0.0408,0
1745,-0.0221,0.114,10.1945,-0.0267,-0.0316,-0.0066,0
1765,-0.0519,-0.0524,10.2057,-0.0005,-0.0518,0.04,0
1785,-0.1292,0.0177,10.1732,-0.0441,0.024,-0.0218,0
1806,-0.4326,-0.2102,9.7785,-0.0251,0.0124,-0.0084,0
1826,0.1287,-0.0451,9.9125,0.0239,-0.0598,0.0185,0
1846,-0.1076,0.2781,9.5549,-0.0192,-0.0092,-0.0181,0
1866,0.0232,0.013,9.6265,0.0245,-0.0095,0.0076,0
1886,0.0559,0.0227,9.7504,-0.0178,-0.0272,-0.0161,0
1906,0.0599,0.0803,9.6367,0.0145,0.0022,-0.0046,0
1926,0.0421,0.0598,9.8091,-0.0402,-0.0201,0.0414,0
1946,-0.273,0.0304,10.0807,-0.0333,0.0185,-0.0161,0
1966,-0.3401,0.134,9.9529,-0.0104,-0.0252,0.0204,0
1986,0.063,-0.1593,9.8908,-0.0722,-0.0591,0.0162,0
2006,0.1691,0.1095,10.0501,-0.0016,0.0497,0.0296,0
2026,0.1098,-0.1759,9.8714,0.0066,-0.0023,-0.0249,0
2046,-0.0066,-0.1502,10.0729,0.0157,-0.0103,0.0071,0
2066,-0.053,0.1905,9.7667,-0.0076,-0.0295,-0.0169,0
2086,-0.2091,-0.2151,9.6942,0.0229,0.0245,-0.0041,0
2107,0.0357,0.0758,9.9739,0.0015,0.0235,-0.0025,0
2127,0.1102,-0.1146,9.776,0.0276,-0.0229,-0.0169,0
2147,0.0094,-0.0962,9.6102,-0.0021,0.0199,-0.0412,0
2167,0.0662,-0.0477,9.6215,-0.006,0.0069,0.0357,0
2187,-0.0215,0.1889,9.7168,0.0378,-0.0118,-0.0027,0
2207,0.1503,-0.0712,9.7754,-0.0161,0.0276,-0.0207,0
2227,0.0265,-0.2862,10.0032,-0.0029,0.057,-0.0217,0
2247,-0.1905,0.0809,10.157,0.0443,0.0055,-0.0007,0
2267,0.0154,0.0892,9.9507,-0.0569,-0.0127,0.0241,0
2287,0.1643,-0.0277,10.169,-0.0689,0.0342,-0.0049,0
2307,0.0755,0.1587,9.7531,-0.0109,0.0031,0.0071,0
2327,0.0695,0.0649,9.799,0.0133,-0.0075,0.0228,0
2347,0.0366,0.1269,10.0869,0.028,0.0408,-0.0023,0
2367,-0.0637,0.1476,9.5879,0.0273,-0.0048,0.0107,0
2387,-0.0788,-0.0404,9.6109,0.0141,0.0357,-0.0149,0
2408,0.125,-0.1053,9.9246,0.023,0.0327,-0.0073,0
2428,-0.2356,-0.0217,9.663,0.047,-0.0408,0.0131,0
2448,0.0786,0.0439,9.7063,-0.0124,-0.0103,-0.0345,0
2468,0.1167,0.1235,9.9346,-0.0379,-0.0229,-0.0162,0
2488,-0.0639,0.1278,9.8673,-0.0366,0.0296,0.007,0
2508,-0.047,-0.0604,9.875,-0.0085,0.0131,-0.0574,0
2528,0.0444,-0.238,9.9206,0.0412,-0.0341,0.0271,0
2548,-0.0716,-0.1362,9.8078,0.0215,-0.0301,0.034,0
2568,0.0395,0.169,9.8221,-0.0172,-0.0284,0.0119,0
2588,0.0507,0.0224,9.6925,0.0288,0.0065,0.0183,0
