timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.0132,0.1535,9.6441,-0.0601,0.0017,0.0034,0
20,0.2285,-0.2022,9.982,0.0313,0.0385,-0.0073,0
40,-0.0551,0.126,9.7493,0.0009,0.0026,0.0183,0
60,-0.0356,-0.0331,9.3837,0.0038,-0.0742,-0.0087,0
80,-0.0037,-0.0679,9.5824,0.0022,-0.0333,0.0388,0
100,-0.0396,0.2721,9.8667,0.0478,-0.005,0.0961,0
120,-0.134,0.2221,9.6399,-0.0067,-0.0303,0.0036,0
140,-0.2304,0.0529,10.2445,0.0319,-0.0046,0.0159,0
160,-0.1044,-0.2912,9.7289,-0.0359,0.0383,0.014,0
180,-0.0741,-0.0072,9.6483,-0.0464,0.0293,0.0224,0
200,-0.0525,0.1052,9.8855,0.0164,0.018,-0.0125,0
220,0.0057,-0.0821,9.4766,0.034,-0.0046,0.0481,0
240,0.1393,-0.1586,10.0568,0.0074,0.0358,-0.044,0
260,0.0752,-0.0739,9.7809,0.0298,-0.0322,0.0228,0
280,-0.097,0.0669,9.8637,-0.009,0.0345,-0.027,0
301,-0.0567,0.0765,9.9554,0.0251,-0.0186,-0.011,0
321,0.173,-0.0855,9.8335,0.007,-0.0034,0.0218,0
341,-0.0454,0.0097,10.0796,0.0155,0.0274,-0.0086,0
361,0.2771,0.1843,9.6541,0.0351,0.0265,-0.0185,0
381,-0.2212,-0.0353,9.8161,-0.0399,0.0342,-0.008,0
401,-0.0438,0.2109,9.8862,0.024,-0.0245,0.0487,0
421,0.0564,0.0936,9.5123,-0.0763,-0.0116,0.0144,0
441,0.0038,0.1083,9.7791,-0.0305,-0.0072,-0.0234,0
461,-0.2351,0.1301,9.6797,-0.0297,0.0061,0.0142,0
481,-0.028,0.1985,9.4325,0.0415,-0.0277,0.0282,0
501,0.2664,0.3826,9.5834,0.0295,-0.0026,0.0085,0
521,0.1744,-0.0446,9.76,-0.0155,0.0137,0.0559,0
541,-0.3258,-0.0663,9.5782,0.006,-0.0099,0.0519,0
561,-0.2554,-0.3302,9.7801,-0.0556,0.061,-0.0221,0
581,-0.1719,-0.1257,10.3919,0.0428,-0.006,-0.0047,0
602,0.2687,-0.0898,10.116,0.018,0.0126,-0.0082,0
622,0.0764,-0.1311,9.8575,-0.0045,-0.0347,0.012,0
642,0.2263,0.0474,10.1388,-0.0189,0.0019,-0.0273,0
662,0.3289,0.1361,9.5928,-0.0055,0.0156,-0.0593,0
682,0.1255,-0.2162,9.5007,-0.0177,-0.0111,-0.0148,0
702,-0.2929,-0.2948,9.7362,-0.0141,-0.0312,-0.039,0
722,-0.0411,0.272,9.7042,0.0731,-0.0063,-0.0229,0
742,0.0789,-0.1671,9.9133,-0.0424,0.0027,0.0447,0
762,-0.1179,0.0159,9.2595,0.0014,0.0043,-0.0138,0
782,0.0541,0.2239,9.7716,0.0085,0.0253,0.082,0
802,-0.0781,0.0713,9.8644,-0.03,0.014,-0.0246,0
822,-0.2012,0.2874,9.8813,0.0378,-0.002,0.0332,0
842,-0.0804,0.2482,9.7273,0.0044,0.0323,0.0061,0
862,-0.1664,0.1442,10.1278,-0.0387,0.0236,0.0124,0
882,-0.0872,-0.0228,9.9816,0.0149,-0.0043,-0.0153,0
903,0.0086,-0.0487,10.1092,-0.0225,-0.0098,-0.0332,0
923,-0.088,0.2741,10.1974,-0.0295,0.0417,0.0209,0
943,0.1431,-0.2941,9.5289,0.0264,-0.0264,-0.0203,0
963,0.0384,0.317,9.5958,0.0272,-0.0384,0.0195,0
983,0.0411,0.0323,9.5822,0.0211,0.0706,0.0253,0
1003,-0.0696,-0.0486,9.9342,-0.0293,-0.0004,0.0139,0
1023,0.0338,0.3096,9.8711,-0.0332,-0.0527,0.0015,0
1043,-0.081,-0.3572,9.8495,-0.0071,0.0551,-0.0105,0
1063,0.0631,0.2012,9.6192,0.0114,0.0238,0.031,0
1083,-0.1226,-0.2184,9.7586,-0.0042,0.0178,-0.0467,0
1103,-0.2781,0.1138,10.055,-0.013,-0.053,-0.01,0
1123,0.0157,0.1589,9.9317,-0.0057,0.0008,0.0139,0
1143,-0.1198,0.1682,9.8823,-0.0373,-0.0153,0.0522,0
1163,-0.1355,0.2134,9.7073,0.0246,-0.0192,0.0084,0
1183,-0.0478,-0.0274,9.9961,0.0049,-0.0189,0.0427,0
1204,-0.1097,-0.2511,9.9797,-0.0482,0.007,0.0551,0
1224,0.0982,0.1014,9.6751,-0.008,0.0302,-0.0135,0
1244,0.0111,-0.2326,9.7636,-0.0079,-0.0155,0.0562,0
1264,-0.1763,0.0315,10.2784,-0.021,0.0033,0.0031,0
1284,0.1274,-0.1044,9.9907,0.0163,0.0082,0.0443,0
1304,-0.1551,-0.1116,9.8541,-0.0005,-0.0172,0.0093,0
1324,-0.0542,-0.2591,9.9547,-0.0101,-0.038,-0.0397,0
1344,-0.0755,-0.2048,9.6007,0.0001,0.0155,-0.0017,0
1364,-0.0282,-0.0954,10.155,0.0143,0.0187,-0.0528,0
1384,0.1077,0.3252,9.8079,0.0032,0.0064,0.0071,0
1404,0.1609,0.0132,9.887,-0.0079,0.0344,0.0234,0
1424,-0.1167,-0.2423,9.7925,0.0181,0.0096,0.0253,0
1444,0.4405,-0.0041,10.0946,-0.011,0.0497,0.0253,0
1464,-0.1524,-0.07,9.6734,-0.0382,0.0116,0.0226,0
1484,0.2694,0.3544,9.9679,0.0107,-0.0251,-0.0075,0
1505,0.175,0.1952,9.9976,0.0041,0.0137,-0.0411,0
1525,-0.1281,-0.0854,10.1037,-0.0043,-0.0186,0.0298,0
1545,-0.2534,0.177,9.8466,0.0117,-0.0544,-0.0109,0
1565,-0.0338,-0.0393,10.0017,-0.0228,-0.0098,-0.0263,0
