timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.2069,-0.0559,9.7878,0.017,-0.0159,-0.0172,0
20,-0.1842,-0.1485,9.6676,0.0154,-0.0081,-0.0104,0
40,0.0817,-0.0306,9.9346,0.0086,-0.0051,0.0174,0
60,0.068,0.1708,9.8704,-0.0324,0.0372,0.0293,0
80,0.0478,-0.1237,9.9698,0.0089,0.0357,0.0228,0
100,0.0829,-0.0181,9.8311,-0.0234,0.0306,-0.0288,0
120,-0.0979,0.2602,9.9051,-0.0047,0.013,-0.0472,0
140,-0.0378,0.2245,9.7693,0.0127,0.0359,-0.0263,0
160,-0.071,0.2057,9.7157,-0.0249,0.0747,-0.0465,0
180,0.1468,0.0208,9.9115,-0.0007,-0.0321,0.0238,0
200,0.1783,0.0434,10.0378,-0.009,0.0213,0.0437,0
220,-0.0761,0.032,10.056,0.0535,0.0408,0.0454,0
240,0.0133,-0.0442,9.7378,-0.0048,-0.0079,0.0053,0
260,-0.1191,0.0246,10.0473,-0.0166,0.0311,-0.0265,0
280,-0.0707,0.2365,9.663,-0.0315,-0.018,0.0083,0
301,-0.1138,0.0901,9.7674,0.0082,-0.0145,0.0128,0
321,-0.0169,0.1048,9.787,-0.026,0.0281,0.0139,0
341,-0.0459,0.1281,9.8727,-0.0141,-0.0447,-0.0176,0
361,0.1001,0.119,10.0139,-0.0082,-0.0003,0.0172,0
381,0.0698,0.2741,9.9311,-0.0105,0.0115,-0.0307,0
401,-0.1244,0.0501,9.9001,-0.0248,-0.0391,0.0199,0
421,0.0836,0.2172,9.6878,-0.0253,0.0485,-0.0019,0
441,-0.0035,-0.0913,9.6377,0.0236,0.0231,0.0028,0
461,0.0154,0.3028,9.667,-0.0229,0.0258,-0.0456,0
481,0.224,0.1175,9.6818,0.0165,0.0111,-0.0009,0
501,0.0027,0.0765,9.7218,0.0071,0.0206,-0.0446,0
521,0.1601,0.2263,9.8215,-0.0323,-0.0306,-0.0137,0
541,0.1326,0.1348,9.9307,-0.0469,-0.0148,-0.0567,0
561,0.0953,0.1291,9.7887,-0.0395,-0.008,0.0025,0
581,-0.1035,0.209,9.9381,-0.0127,0.0413,-0.0018,0
602,0.0255,0.1239,9.847,-0.0836,0.0204,0.023,0
622,-0.0977,-0.1697,9.6923,-0.0117,-0.0243,0.0439,0
642,-0.2079,-0.0128,9.772,-0.0119,-0.0206,0.0136,0
662,-0.0582,0.42,9.7669,0.0067,-0.0132,-0.0323,0
682,0.308,0.123,9.7297,-0.0332,-0.0271,-0.0138,0
702,0.1964,0.4105,9.6483,0.0289,-0.0128,0.0099,0
722,-0.1667,-0.006,9.6177,-0.057,-0.0082,0.0207,0
742,0.0232,0.1629,9.7865,0.0124,-0.0361,0.0152,0
762,-0.1161,0.1207,9.7886,-0.0066,-0.0062,-0.0291,0
782,0.0394,-0.1848,9.4151,-0.0266,-0.0109,-0.0109,0
802,-0.0014,-0.0792,10.2274,-0.0214,0.0217,-0.005,0
822,-0.1429,0.2677,9.6801,0.0125,-0.005,-0.0378,0
842,0.0284,0.1189,9.9261,0.008,0.048,0.0225,0
862,-0.0073,0.0905,9.8033,-0.0157,-0.0236,-0.024,0
882,-0.0397,0.4065,9.6016,0.0257,0.0233,0.0086,0
903,0.0193,-0.0707,9.6933,0.005,0.0221,0.006,0
923,-0.0435,0.4356,9.4522,0.009,-0.0268,-0.0534,0
943,0.0414,-0.0857,9.9823,0.0096,0.0275,0.0163,0
963,0.154,0.0895,9.6934,-0.0379,0.0298,0.0019,0
983,0.077,0.3713,9.4802,0.0128,0.0133,0.0691,0
1003,-0.0067,0.2162,10.1083,0.0166,0.0371,0.0352,0
1023,-0.2215,0.15,9.2593,0.0238,-0.033,0.0288,0
1043,-0.0429,0.0129,9.769,-0.0147,-0.0056,-0.0225,0
1063,-0.0126,0.2918,9.8238,-0.0228,0.0361,0.0269,0
1083,-0.0781,0.2044,9.8042,0.0128,-0.002,0.0209,0
1103,-0.0758,0.2255,10.1441,0.0252,0.0179,0.0178,0
1123,-0.1849,-0.1805,9.9168,0.0124,-0.0182,0.0056,0
1143,-0.0666,0.2726,9.8122,-0.0194,-0.0366,0.0036,0
1163,-0.213,0.1931,9.9171,0.0339,-0.0319,0.0001,0
1183,-0.011,-0.0603,9.6887,-0.0291,-0.0167,0.0012,0
1204,-0.0003,0.1147,10.0247,-0.022,0.0237,-0.0129,0
1224,-0.1123,-0.0732,9.6565,-0.0058,0.0199,-0.0394,0
1244,0.017,-0.0973,9.6111,0.0017,-0.0012,0.0083,0
1264,-0.0725,0.1793,9.8646,0.0398,0.0287,-0.0047,0
1284,-0.0472,0.0298,9.6722,-0.0147,0.0176,0.0205,0
1304,0.2426,0.1176,9.7839,-0.0144,0.029,0.0202,0
1324,-0.0236,0.2015,9.8468,-0.0337,-0.01,0.0011,0
1344,-0.0556,0.3035,9.8677,-0.0352,0.0457,-0.0006,0
1364,-0.1249,0.1781,9.9537,0.0131,0.0136,0.0321,0
1384,-0.1149,0.0785,9.7536,0.0634,0.0264,-0.0372,0
1404,-0.0894,0.1281,9.7272,0.0046,0.0012,0.0503,0
1424,-0.085,0.2516,9.6941,0.0012,0.0247,0.0408,0
1444,-0.1325,0.1753,9.4331,0.0293,-0.0008,0.0184,0
1464,0.0695,0.2169,10.0583,-0.007,0.0108,0.0223,0
1484,0.2791,0.0415,9.8869,-0.0145,-0.046,-0.0487,0
1505,-0.0337,0.1229,9.6073,-0.0194,-0.0234,-0.0307,0
1525,-0.0674,0.379,9.5666,0.0461,0.0088,-0.0443,0
1545,-0.1845,0.1951,9.7134,-0.0453,0.0332,0.0179,0
1565,-0.0828,-0.0274,9.7509,0.0721,0.0147,-0.0173,0
1585,-0.082,0.1692,10.2124,0.0129,-0.0391,0.0125,0
1605,0.1824,0.0246,9.956,0.0181,-0.0351,0.035,0
1625,-0.1555,0.1968,10.1784,-0.0314,-0.0102,0.0132,0
1645,-0.0188,0.3031,10.3076,-0.0213,0.002,-0.0742,0
1665,0.1444,0.0454,9.7306,0.0005,-0.01,-0.036,0
1685,0.077,0.0706,9.5701,0.0145,0.0232,0.0165,0
1705,0.133,0.1682,9.6757,0.0446,0.0037,-0.0334,0
1725,-0.0881,0.32,9.465,0.0098,0.0347,-0.0067,0
1745,0.1119,-0.0222,9.7975,-0.0005,-0.0013,-0.0272,0
1765,-0.1616,0.2247,9.805,-0.0231,-0.0524,0.058,0
1785,0.0343,0.179,10.328,-0.0019,-0.0204,0.0266,0
1806,0.0549,0.0932,10.0825,-0.0233,-0.046,0.0229,0
1826,-0.0589,0.3008,10.0749,0.0164,-0.0007,-0.0155,0
1846,0.06,-0.0214,9.6526,0.0526,0.0297,0.0253,0
1866,-0.0993,0.3096,9.5505,0.009,-0.0197,-0.0539,0
1886,-0.1806,0.2044,10.031,0.0131,0.005,-0.0165,0
1906,-0.0419,0.0741,9.7717,-0.0132,-0.0253,-0.0066,0
1926,0.007,0.2672,9.791,0.0373,0.0356,-0.0286,0
1946,-0.1651,0.1179,9.7368,-0.0118,0.0425,0.0358,0
1966,-0.0521,0.1839,9.7768,0.0426,0.0463,-0.0097,0
1986,-0.1344,0.0287,9.3833,-0.0082,-0.0184,-0.0232,0
2006,-0.2128,0.0817,10.1247,-0.0245,-0.0316,-0.0249,0
2026,0.159,0.2273,9.4629,-0.0133,0.0547,-0.0344,0
2046,0.0773,0.0162,9.8157,-0.0102,0.0155,-0.0423,0
2066,-0.0127,0.0626,9.577,-0.0031,0.001,0.0259,0
2086,-0.061,0.1159,9.5648,-0.0543,-0.0285,-0.0237,0
2107,-0.074,0.2378,9.9422,0.0145,-0.0131,0.0256,0
2127,-0.1426,0.1174,9.997,0.0041,0.0295,-0.0033,0
2147,0.005,0.1152,10.3554,0.022,0.067,0.0171,0
2167,0.0776,0.1786,9.6193,0.023,0.0019,-0.0071,0
2187,-0.0094,0.3542,10.041,-0.0164,0.0146,0.0086,0
2207,0.0547,0.0776,9.6095,0.0462,0.0326,-0.0002,0
2227,0.1628,0.3389,9.8023,-0.027,-0.0049,-0.0136,0
2247,-0.0398,-0.0441,9.7747,-0.0128,0.0131,0.0218,0
2267,0.2069,0.2628,9.8319,-0.0061,0.0501,0.0224,0
2287,-0.0857,0.0584,10.1239,0.0326,0.0291,0.0065,0
2307,0.0469,0.3002,9.6574,0.0349,0.0225,-0.0461,0
2327,-0.2506,0.3596,10.107,0.0245,0.0171,0.0312,0
2347,-0.0102,0.1302,9.7347,-0.007,0.0055,-0.0384,0
