timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.0748,0.0038,9.7298,-0.012,-0.0036,-0.0094,0
20,0.109,0.0624,9.4331,0.054,0.0121,0.0147,0
40,-0.0365,-0.0686,9.8697,0.0044,-0.0484,0.0133,0
60,0.22,-0.0577,10.1465,0.0651,0.0137,0.0314,0
80,-0.0809,0.0436,10.1001,0.0424,-0.0275,0.0134,0
100,0.0788,-0.0519,9.8113,-0.0482,-0.0266,-0.017,0
120,-0.0773,-0.1267,9.8145,-0.0476,0.0138,-0.0121,0
140,-0.0838,0.1426,9.2829,0.0001,-0.0607,-0.0281,0
160,-0.0333,0.0082,9.9902,-0.0244,0.0184,-0.001,0
180,0.1222,-0.1954,9.9043,-0.028,0.0162,0.0151,0
200,-0.0208,0.1749,9.8163,0.024,-0.0091,0.0174,0
220,-0.0271,-0.2635,10.0116,-0.0287,-0.0101,-0.0257,0
240,-0.0101,0.0998,9.8472,0.0087,0.017,0.0272,0
260,-0.0439,-0.0152,9.6532,-0.0253,0.0357,0.0575,0
280,-0.1068,0.1277,9.7946,0.0237,0.0113,0.048,0
301,-0.1461,0.0313,9.8185,-0.0333,0.0227,0.0253,0
321,-0.0735,-0.0395,9.5004,-0.0331,-0.0034,0.0141,0
341,0.1869,0.102,9.9452,0.0317,0.0135,-0.0087,0
361,0.0155,0.1335,9.7305,0.0144,0.0318,0.0591,0
381,-0.0709,0.045,9.6986,0.0179,-0.033,-0.0443,0
401,-0.0418,0.1536,9.8777,-0.0004,-0.0526,-0.0384,0
421,-0.2363,0.0258,9.6255,-0.0227,-0.0016,-0.0123,0
441,0.0498,0.15,9.7086,0.0257,0.003,-0.0117,0
461,0.1867,0.013,9.5471,0.0005,-0.0196,-0.0208,0
481,-0.1125,0.1475,9.8161,0.0311,0.0019,-0.0293,0
501,-0.0568,-0.2699,9.8446,-0.0285,0.0023,0.0098,0
521,-0.1527,0.0038,9.9467,0.0106,0.0261,0.016,0
541,0.245,0.2211,9.908,0.005,0.0118,-0.0025,0
561,-0.0425,0.0407,10.0442,0.0165,0.0328,-0.0235,0
581,0.2197,-0.043,9.8923,0.0044,0.0125,-0.0342,0
602,-0.0233,0.1995,10.0607,0.0194,0.0277,-0.015,0
622,0.0844,0.1272,9.842,-0.0582,-0.0237,0.0208,0
642,0.0137,0.138,9.7887,-0.0119,0.0127,0.0139,0
662,0.0574,0.0426,9.9673,-0.001,-0.0167,0.0196,0
682,-0.0455,-0.0044,9.9134,0.0217,0.0042,-0.0047,0
702,-0.0748,-0.1642,9.8688,0.0027,0.0028,0.0124,0
722,0.1752,-0.0188,9.8039,-0.02,0.0119,0.0045,0
742,-0.231,-0.0668,9.8469,-0.0036,-0.0304,-0.0264,0
762,-0.1168,0.3784,9.899,0.0027,0.0292,0.0035,0
782,0.1188,0.0345,9.531,-0.0016,-0.0055,0.0097,0
802,0.0982,0.1447,9.8773,0.0213,0.0331,-0.0101,0
822,-0.0808,0.0684,9.8788,-0.0324,-0.0126,-0.0107,0
842,-0.1289,0.1173,9.7162,0.0502,0.039,-0.0033,0
862,-0.219,0.2169,10.2257,0.0194,0.0258,0.0493,0
882,0.0283,0.2649,9.8593,0.0187,-0.038,0.0181,0
903,0.0373,0.0529,9.9114,0.034,0.0187,-0.0214,0
923,-0.0636,-0.0154,10.1147,0.0054,-0.0052,0.0347,0
943,-0.0828,0.2139,10.0434,-0.0058,-0.0657,-0.0121,0
963,-0.2965,0.4285,9.9758,0.0024,0.0072,0.047,0
983,-0.1828,-0.1729,9.9388,0.0159,0.0013,0.0297,0
1003,-0.0523,-0.0528,9.4981,0.0257,-0.0157,-0.0065,0
1023,-0.1969,0.291,9.9468,-0.0141,-0.0059,0.011,0
1043,-0.1078,0.0823,9.9246,-0.0411,0.0167,0.0197,0
1063,-0.0922,0.0884,9.7999,0.0003,-0.0068,0.0535,0
1083,-0.1128,0.194,9.9741,0.0445,0.0105,0.016,0
1103,-0.049,0.2114,9.501,-0.0192,0.008,-0.0089,0
1123,-0.0665,0.2787,9.8363,0.0372,0.0105,0.013,0
1143,0.1272,0.4137,9.6708,-0.0488,0.0115,0.0354,0
1163,-0.0632,-0.0674,9.9634,-0.002,-0.0274,0.0195,0
1183,-0.0232,0.0876,9.9863,-0.0491,-0.0125,0.0346,0
1204,-0.0737,0.4201,9.7936,-0.0001,0.0249,-0.0099,0
1224,0.0808,0.0565,9.5907,0.0052,0.0311,-0.0168,0
1244,-0.12,0.1293,9.7261,0.0033,0.0209,0.0059,0
1264,0.0444,-0.0142,9.6661,-0.0173,0.0236,-0.0199,0
1284,-0.2179,0.2635,9.4888,-0.0553,-0.0183,0.0191,0
1304,-0.044,0.2242,9.82,-0.0337,-0.0236,-0.0163,0
1324,-0.1193,0.2247,9.7406,0.0018,-0.0123,-0.004,0
1344,0.1609,0.0945,10.027,-0.043,0.0224,-0.023,0
1364,0.1152,0.3359,9.9891,0.0292,0.0063,-0.0024,0
1384,0.1225,0.0073,9.6139,-0.0176,0.0468,0.0283,0
1404,-0.0439,0.0695,9.9264,0.0305,0.02,-0.0171,0
1424,0.05,0.2428,9.7449,-0.0169,-0.0182,0.0496,0
1444,0.0977,-0.099,9.5597,0.029,-0.0328,-0.0088,0
1464,-0.1928,0.3053,9.7316,0.0005,0.0143,-0.0047,0
1484,-0.0527,0.1113,10.0856,-0.0193,0.0052,0.0006,0
1505,0.0575,0.1324,10.1067,-0.0148,0.044,0.0091,0
1525,0.0849,0.0237,9.7562,0.0131,0.0359,-0.0049,0
1545,0.0553,0.22,9.8366,-0.0005,0.0231,0.0066,0
