timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.1628,0.2288,9.8085,0.0489,0.0266,-0.0057,0
20,0.0881,0.1373,9.8478,-0.0356,0.0407,-0.0392,0
40,0.0109,0.0544,9.8659,-0.0239,0.0241,-0.0101,0
60,0.0314,-0.0826,9.6405,-0.0039,0.0058,-0.0352,0
80,-0.0977,0.0183,9.9508,-0.0186,0.0214,0.0199,0
100,-0.1034,-0.1458,9.9718,-0.0194,-0.008,-0.0038,0
120,-0.0455,0.1078,9.945,-0.0246,-0.0147,0.0041,0
140,-0.0034,0.1583,9.5833,0.0232,0.0325,0.0082,0
160,0.0547,0.1157,9.8611,0.0201,-0.0096,-0.0153,0
180,-0.0809,-0.0955,9.6269,0.0119,-0.0191,0.0024,0
200,-0.0233,0.0743,9.852,0.0009,-0.0333,-0.0774,0
220,0.2811,0.0023,9.7246,0.0337,0.0057,-0.0204,0
240,-0.1131,-0.0982,9.8578,0.0101,-0.0313,0.0175,0
260,0.0118,0.1522,9.9085,-0.0182,-0.0124,0.0009,0
280,-0.0061,-0.0121,9.8799,0.0104,0.0226,0.0181,0
301,-0.0974,0.0395,9.8514,0.0156,-0.0095,-0.0701,0
321,-0.1091,0.1154,10.0874,0.0235,-0.0109,-0.026,0
341,-0.1132,0.042,9.9706,-0.0176,-0.0179,0.0073,0
361,0.1304,-0.1064,9.7374,0.0096,-0.015,-0.0169,0
381,-0.1575,-0.3152,9.7056,-0.0395,-0.0081,0.0265,0
401,0.0934,-0.1561,9.5962,-0.0214,-0.0241,0.0421,0
421,-0.2964,0.1705,9.9526,-0.0403,-0.0169,0.0122,0
441,-0.1032,0.0923,9.7618,0.0078,-0.0064,-0.0071,0
461,-0.021,-0.0404,9.6358,0.0137,0.0292,-0.0044,0
481,-0.1536,0.0341,9.6014,0.0096,0.0206,-0.0002,0
501,-0.3645,0.2622,9.4228,-0.006,0.0259,0.0269,0
521,0.1271,-0.0421,9.5195,-0.022,0.0053,0.0078,0
541,0.1971,0.0085,9.9091,0.0296,-0.0131,0.0155,0
561,0.0295,0.0611,9.6068,0.0159,0.01,0.0077,0
581,-0.1285,0.0936,9.7535,0.0028,-0.0458,-0.0418,0
602,0.046,0.2056,9.8895,0.0015,-0.0062,-0.017,0
622,-0.1578,0.0202,9.6402,0.0229,0.0015,0.0018,0
642,-0.0369,0.0036,9.7757,0.022,-0.0294,-0.0169,0
662,0.2179,0.155,9.6838,0.0101,-0.0001,0.009,0
682,-0.0905,-0.1889,10.1151,-0.0122,0.0033,-0.0549,0
702,-0.1836,0.2165,9.5043,-0.0265,0.0419,-0.0257,0
722,-0.1922,-0.0664,10.028,-0.0325,0.0159,-0.0061,0
742,-0.016,0.0446,9.8525,0.0619,-0.0358,-0.0571,0
762,-0.1137,-0.0661,9.9638,0.0027,-0.0537,-0.0463,0
782,-0.0554,0.0041,9.9309,-0.0131,-0.0476,0.01,0
802,0.157,-0.0349,10.0052,-0.0046,0.0148,0.0525,0
822,-0.0692,-0.0028,9.6876,-0.0148,0.0112,0.0135,0
842,0.1249,0.0422,9.7796,-0.034,-0.0149,-0.0238,0
862,-0.0734,0.057,10.0357,-0.0036,-0.0122,-0.0118,0
882,-0.1007,-0.0676,9.6132,0.0089,0.0119,-0.0245,0
903,0.1048,-0.0659,10.115,-0.032,-0.0458,0.0113,0
923,-0.0128,0.3375,9.9585,0.0379,-0.0227,-0.0017,0
943,-0.1172,-0.0398,9.8646,-0.0056,-0.0273,-0.0422,0
963,0.0745,0.3459,9.8151,-0.0081,-0.0015,-0.0255,0
983,-0.0335,0.2294,9.8931,0.0417,-0.001,-0.008,0
1003,0.0869,0.1085,9.6711,0.0081,0.0016,-0.0102,0
1023,0.0321,-0.1295,9.3807,-0.034,0.0023,0.0018,0
1043,-0.1872,0.1374,10.0974,0.0337,-0.0845,-0.0005,0
1063,-0.1788,0.2282,9.4412,-0.0263,0.0181,-0.0273,0
1083,0.1889,0.2326,9.8524,-0.0276,-0.0077,-0.0417,0
1103,-0.0998,0.2089,9.6744,0.0138,0.0668,-0.0104,0
1123,-0.0433,0.119,9.9665,-0.0093,-0.0407,0.0206,0
1143,0.1457,0.2592,9.8454,-0.0078,0.0352,0.0519,0
1163,0.0628,-0.0506,9.6803,-0.0132,-0.0128,0.0293,0
1183,-0.1018,0.0383,10.068,0.051,-0.0052,-0.0143,0
1204,0.0712,0.2369,9.6211,-0.0101,-0.005,0.0142,0
1224,0.1738,0.0294,10.0901,-0.0196,-0.0183,0.0188,0
1244,-0.2898,0.0574,10.022,-0.0348,0.0061,-0.0408,0
1264,-0.1105,0.112,9.9074,0.0661,0.0095,0.0114,0
1284,0.1239,0.1183,9.6901,-0.015,-0.0129,-0.0132,0
1304,-0.0091,0.2716,9.7227,0.0042,-0.0064,0.0,0
1324,-0.1983,0.1462,9.9629,0.0155,0.039,-0.0174,0
1344,-0.1786,0.108,9.998,-0.0727,0.0027,-0.0399,0
1364,-0.0855,0.0494,9.9363,0.0356,-0.0237,0.0196,0
1384,-0.0026,0.1161,9.5693,0.004,-0.0232,0.0186,0
1404,0.2514,0.3299,9.6718,-0.0204,0.0543,0.0036,0
1424,0.1248,0.4101,9.4394,0.0029,0.0184,-0.0404,0
1444,-0.2016,0.1384,9.6064,-0.0294,0.0266,-0.0113,0
1464,0.0014,0.2795,9.6237,-0.0142,-0.0032,0.0057,0
1484,0.2517,0.1739,9.7746,-0.0261,-0.0379,0.013,0
1505,-0.0614,0.1714,10.0505,-0.0341,0.0027,-0.0151,0
1525,-0.0641,0.2137,9.5211,0.0235,-0.0212,0.0073,0
1545,-0.2302,0.1986,9.8936,0.0094,-0.0148,0.002,0
1565,0.0709,0.2953,9.4448,-0.0345,-0.0242,-0.0315,0
1585,-0.03,0.354,9.3039,-0.0169,-0.0288,0.013,0
1605,0.0887,0.0515,9.8784,-0.026,0.0002,0.0037,0
1625,-0.1363,0.1973,9.8549,0.0382,-0.001,0.0698,0
1645,0.2371,0.2133,9.8979,0.0262,0.0324,0.0124,0
1665,0.1305,0.3239,9.5034,0.0184,0.0147,-0.0037,0
1685,0.0894,0.381,10.0356,0.0105,0.005,0.0296,0
1705,-0.0893,0.1883,9.6571,0.0394,0.0707,-0.0562,0
1725,0.1389,0.0991,9.6085,0.0355,0.0131,0.0467,0
1745,0.0157,0.0302,9.7682,-0.0013,0.0296,-0.0039,0
1765,-0.1623,0.2784,9.8538,0.0049,-0.0562,-0.0077,0
1785,-0.0714,0.1214,10.0352,-0.0443,-0.0368,0.0251,0
1806,0.0996,0.2676,9.6902,0.0041,-0.0175,-0.0102,0
1826,0.1591,-0.0858,9.67,0.0057,-0.012,-0.0329,0
1846,0.3815,0.2708,9.8239,0.0024,0.0266,0.0076,0
1866,-0.0166,0.1048,9.999,0.0153,-0.0299,0.004,0
1886,0.2774,0.2587,9.6173,-0.0573,0.0204,0.0386,0
1906,-0.0991,0.1103,9.8092,-0.0301,0.0048,-0.0078,0
1926,-0.116,0.3972,9.5461,-0.0232,0.0006,-0.0072,0
1946,-0.1266,0.2152,9.7257,-0.0262,0.0371,0.0034,0
1966,-0.0351,0.4906,9.7469,-0.0399,-0.0497,0.0561,0
1986,0.032,0.091,9.6409,0.0069,0.016,0.0232,0
2006,-0.1456,0.1498,9.9153,-0.0216,-0.0388,-0.0192,0
2026,-0.1925,0.189,9.5665,-0.0043,0.0341,-0.0144,0
2046,-0.0701,-0.1106,9.983,-0.0658,0.049,-0.0234,0
2066,-0.2531,0.2086,9.5365,-0.0085,-0.0181,-0.0341,0
2086,0.0107,0.2767,9.8003,0.0138,-0.0325,0.0202,0
2107,0.2122,-0.2789,9.8375,0.0199,0.0045,0.0505,0
2127,-0.0978,0.1396,9.9257,-0.0137,0.0167,0.0334,0
2147,0.2392,0.1007,9.899,-0.0052,0.0187,-0.0012,0
2167,0.0569,0.2401,9.5389,0.0048,-0.0114,0.0102,0
2187,0.3008,0.283,9.8686,0.006,0.0047,0.0293,0
2207,0.1589,-0.0843,9.5837,0.0041,-0.0362,-0.0232,0
2227,0.142,-0.2455,10.1232,0.0384,-0.0274,0.0195,0
2247,-0.1119,-0.2946,9.9681,0.0189,-0.0566,-0.0084,0
2267,-0.0615,-0.7635,9.8766,-0.0162,-0.0624,-0.0536,0
2287,-0.2109,-1.0893,10.0882,-0.0313,-0.0854,0.0514,0
2307,-0.1313,-1.3162,10.046,-0.0199,-0.1229,0.0013,0
2327,0.064,-1.575,10.0823,0.0075,-0.1193,0.0019,0
2347,0.0076,-1.7908,10.2877,-0.015,-0.1385,0.0431,0
2367,0.0135,-2.1702,10.4322,0.0382,-0.1282,-0.0046,0
2387,-0.0945,-1.8693,10.4594,-0.0702,-0.1577,-0.0263,0
2408,0.0146,-2.2198,10.2598,0.0272,-0.1824,-0.0012,0
2428,-0.1767,-2.4337,10.5145,-0.0241,-0.2951,-0.0097,0
2448,-0.0791,-3.0117,10.7049,-0.0016,-0.2192,-0.0141,0
2468,0.0815,-3.069,10.799,0.045,-0.2948,0.0205,0
2488,0.2365,-2.985,10.8886,-0.0288,-0.2657,0.0291,0
2508,-0.0103,-3.5232,10.8821,0.0063,-0.256,-0.0387,0
2528,-0.0353,-3.6972,10.6662,-0.0053,-0.2884,0.0061,0
2548,-0.1109,-3.8537,10.8844,-0.0036,-0.3065,-0.0048,0
2568,-0.0599,-3.8776,10.8669,0.0404,-0.3188,-0.023,0
2588,-0.0479,-4.0671,11.0002,0.0248,-0.3264,0.0202,0
2608,0.1113,-4.7133,11.542,-0.0179,-0.3486,-0.0035,0
2628,0.0464,-4.5541,11.2248,-0.0061,-0.3939,0.0113,0
2648,-0.2626,-4.798,11.4995,-0.0441,-0.4198,0.0166,0
2668,-0.137,-4.7167,11.2173,0.0016,-0.3564,-0.0345,0
2688,-0.1638,-4.9776,10.9851,0.0256,-0.4267,0.0244,0
2709,-0.144,-5.1039,10.8899,-0.001,-0.4313,-0.0381,0
2729,0.2141,-5.2825,11.3358,-0.0013,-0.4276,0.0292,0
2749,-0.0604,-5.4533,11.058,0.0166,-0.4615,-0.0299,0
2769,-0.0387,-5.4813,11.4422,-0.0199,-0.4534,-0.015,0
2789,0.1237,-5.6205,11.4798,0.0086,-0.4788,-0.0047,0
2809,0.1505,-5.718,11.6043,0.0745,-0.4387,0.027,0
2829,0.019,-5.8951,11.8062,0.0325,-0.4677,0.0648,0
2849,-0.1529,-5.936,11.3553,-0.0095,-0.4979,0.0189,0
2869,0.0728,-6.0158,11.5265,-0.0202,-0.491,-0.0025,0
2889,-0.0942,-5.7977,11.5651,0.0268,-0.5014,-0.0078,0
2909,-0.0752,-5.765,11.7975,-0.0249,-0.5059,0.0201,0
2929,0.022,-6.4475,11.5346,-0.0108,-0.5279,0.0279,0
2949,0.097,-6.1773,11.5778,-0.0214,-0.487,-0.0118,0
2969,-0.2188,-6.2,12.263,-0.0316,-0.5156,-0.0169,0
2989,0.2165,-5.9011,11.3888,-0.0175,-0.51,0.023,0
3010,0.0422,-5.9264,11.6652,0.0238,-0.4801,0.0039,0
3030,-0.0231,-6.306,11.4564,0.0021,-0.546,0.0066,0
3050,0.0641,-6.262,11.6747,0.0373,-0.5166,0.046,0
3070,0.088,-6.1556,11.2747,0.0066,-0.4679,0.0391,0
3090,0.0518,-6.2897,11.5249,0.0453,-0.4878,0.0123,0
3110,0.0578,-6.0598,11.8314,-0.0261,-0.4655,-0.0199,0
3130,0.0547,-5.8108,11.3532,0.0562,-0.4832,0.0413,0
3150,-0.0017,-6.0269,11.22,0.0121,-0.4917,-0.0313,0
3170,-0.1151,-5.9894,11.3564,0.0171,-0.4639,0.0227,0
3190,-0.0272,-5.6895,11.4731,0.0505,-0.4718,0.0151,0
