timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.1609,-0.0369,9.8202,0.0343,-0.0168,0.0192,0
20,0.2195,-0.0765,9.78,-0.0165,0.0273,-0.0208,0
40,0.0216,-0.1279,10.0819,-0.012,0.0193,-0.0211,0
60,-0.106,0.2507,9.6241,0.0402,-0.0099,0.0005,0
80,0.2276,-0.079,10.093,-0.006,0.0138,0.0022,0
100,-0.0126,-0.0916,9.4856,0.0125,-0.0622,-0.013,0
120,0.0603,0.128,9.7261,0.0009,0.0238,-0.0258,0
140,0.0198,0.0352,9.5397,-0.0208,-0.0334,-0.0277,0
160,-0.065,0.1934,9.7576,-0.033,0.0159,-0.0038,0
180,-0.0205,0.1765,9.8215,0.0061,-0.0233,0.0273,0
200,-0.1129,0.1309,9.6432,0.0619,0.0436,-0.0085,0
220,-0.251,0.0804,9.7363,0.0082,0.0338,0.0008,0
240,0.2376,-0.0338,9.8628,-0.033,-0.0073,-0.0134,0
260,0.2402,-0.1439,9.905,-0.0069,-0.004,0.0451,0
280,0.1522,0.0232,9.6783,0.0092,0.0128,0.0029,0
301,0.0463,-0.0394,9.5619,-0.0204,-0.0336,-0.0151,0
321,0.304,-0.0814,9.7447,-0.0103,-0.0064,0.0139,0
341,-0.0146,0.0332,9.7633,-0.0022,0.0028,0.0056,0
361,-0.0981,0.3081,9.8063,0.0053,-0.0273,-0.0073,0
381,-0.1265,0.0858,10.0069,-0.0297,0.0073,0.0173,0
401,-0.1421,0.1084,9.7338,-0.0127,-0.006,-0.0405,0
421,0.1039,-0.068,9.8558,0.044,0.0156,0.0268,0
441,0.0846,0.2161,9.7095,-0.0448,-0.0204,0.0169,0
461,-0.0777,-0.1399,9.5636,0.0187,0.0147,-0.005,0
481,0.0499,0.0991,9.5095,0.0503,-0.0045,0.0194,0
501,0.0069,-0.2268,9.8274,0.0007,0.0186,0.0228,0
521,-0.0241,0.4859,10.0995,0.0334,-0.0139,0.0207,0
541,0.2018,0.12,9.9904,-0.0544,0.0294,0.0013,0
561,0.3281,-0.0938,9.8546,-0.0046,0.0144,-0.0477,0
581,-0.1424,-0.1225,9.7455,-0.0288,-0.003,-0.0242,0
602,-0.0449,0.0511,9.7737,-0.0254,-0.006,-0.0061,0
622,0.0348,0.0438,9.7572,0.0065,-0.0207,-0.0366,0
642,-0.0789,-0.0095,9.7926,0.0167,0.0152,0.0014,0
662,-0.0357,0.0033,9.7143,-0.011,-0.0163,-0.0108,0
682,-0.0223,0.272,10.2317,-0.0106,0.0389,-0.0358,0
702,0.1768,0.3367,9.9685,0.0068,-0.0157,0.0196,0
722,0.0094,0.3492,10.1631,0.0163,-0.0338,0.0188,0
742,-0.1415,0.3744,9.7279,0.0221,-0.0062,-0.0002,0
762,-0.1174,0.0839,10.2031,0.0084,0.0007,0.0015,0
782,-0.0161,0.0979,9.8733,-0.0098,0.0075,-0.0019,0
802,0.0385,0.0788,9.9004,0.008,0.0425,0.0217,0
822,-0.0664,0.0533,9.7019,0.0029,-0.0138,-0.0027,0
842,-0.1559,0.0514,9.8515,0.0296,-0.0272,-0.0185,0
862,0.1283,0.049,10.0647,0.0171,-0.0098,-0.0189,0
882,-0.0705,0.2327,10.1144,-0.0169,0.0465,0.0142,0
903,0.0676,0.1819,10.0716,-0.0092,-0.03,-0.0221,0
923,0.3174,-0.1012,9.6346,-0.0004,0.0279,0.0058,0
943,0.0844,0.3366,10.0533,-0.0231,0.0496,-0.0192,0
963,-0.1009,0.2323,9.9911,0.0526,-0.0184,-0.0265,0
983,-0.4126,0.0935,9.6607,0.003,0.0078,-0.0052,0
1003,-0.0595,0.0386,10.1741,-0.0376,0.0045,-0.0093,0
1023,-0.0794,0.1395,9.6188,0.0391,0.0312,-0.0121,0
1043,-0.1735,-0.0486,9.8456,0.0237,-0.0173,-0.0197,0
