timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.0564,-0.058,9.8253,-0.0023,-0.0141,0.0117,0
20,0.0499,0.1886,9.8714,0.0461,0.0357,0.0076,0
40,-0.083,0.1249,10.0275,-0.0206,-0.0362,0.0095,0
60,0.0832,-0.0627,9.9013,-0.0299,0.0018,0.0201,0
80,-0.1284,0.0401,9.9324,-0.0139,-0.0229,0.0212,0
100,-0.1326,0.037,9.9854,-0.0068,-0.0082,-0.0192,0
120,-0.0147,-0.3647,9.7662,0.0019,-0.0437,0.0204,0
140,-0.0414,0.1361,9.9091,-0.0307,0.0039,-0.0181,0
160,0.2252,0.011,9.7484,-0.0146,0.0178,0.0052,0
180,0.1466,-0.0658,9.8574,-0.0169,0.0034,0.0077,0
200,0.1033,0.1026,9.9324,0.0294,0.0087,-0.0282,0
220,-0.1452,-0.1871,10.1792,0.0067,0.0117,0.0063,0
240,-0.2826,-0.0487,9.8252,0.0042,-0.0017,-0.0298,0
260,-0.0495,-0.008,9.9695,0.0079,-0.01,0.0505,0
280,0.1125,-0.0501,9.3447,0.033,-0.0117,-0.0276,0
301,-0.1791,0.2805,9.6401,0.0131,-0.0304,0.0085,0
321,-0.0071,-0.0523,9.8644,-0.018,0.0374,0.011,0
341,0.0888,-0.0003,9.5037,0.0188,-0.0393,-0.0067,0
361,-0.065,0.0962,10.0059,-0.0079,-0.0186,0.0355,0
381,-0.06,0.0628,9.7941,0.0143,0.0438,-0.007,0
401,-0.0094,0.3388,9.9456,-0.0016,0.0316,0.0466,0
421,-0.1525,0.0151,9.3429,0.0614,0.0244,-0.0251,0
441,0.2798,0.2354,10.0152,-0.0281,0.0364,0.0066,0
461,0.0117,0.1958,9.9066,0.0038,0.0153,-0.0046,0
481,-0.1545,-0.1636,9.8096,-0.0037,0.0269,-0.0158,0
501,-0.0111,0.0591,9.7238,-0.0089,0.0119,0.0066,0
521,-0.1869,0.1268,9.8116,0.0736,0.0379,-0.0272,0
541,0.1832,-0.2537,9.8438,0.0145,0.0139,0.0136,0
561,0.1128,0.1203,9.8828,0.0126,-0.0263,0.0092,0
581,0.2483,0.0697,9.8657,0.0318,0.0022,-0.0063,0
602,-0.0664,0.0698,9.4879,-0.015,0.0109,-0.0252,0
622,-0.0494,-0.1538,9.6311,-0.0044,-0.008,-0.0252,0
642,0.2034,-0.1125,9.5882,-0.004,0.0005,-0.0311,0
662,0.0536,0.2868,9.7039,0.0076,0.0037,0.0264,0
682,0.0613,0.1982,9.7664,-0.0451,-0.0003,-0.0072,0
702,0.0942,0.1063,9.9631,0.0012,0.0288,0.0334,0
722,0.029,0.2157,9.9113,0.0066,-0.0056,-0.0286,0
742,-0.1214,0.1017,10.0211,-0.0269,0.0001,0.0004,0
762,0.0593,0.0605,9.802,0.0247,-0.0015,-0.019,0
782,-0.2361,-0.0177,9.6275,-0.0343,-0.0064,0.0096,0
802,0.0274,0.1113,9.5765,0.0515,-0.0247,-0.0094,0
822,0.1512,0.0396,9.867,-0.0166,-0.0154,0.0172,0
842,-0.2374,0.0887,9.6419,-0.028,-0.0235,0.0213,0
862,-0.0242,0.2523,10.1176,0.0193,0.0039,-0.0348,0
882,0.1309,-0.0633,9.6037,0.0166,-0.0285,0.0112,0
903,-0.0468,-0.0155,9.3976,0.0071,0.0109,0.0352,0
923,0.0021,0.1463,9.7973,0.0154,-0.0069,0.0628,0
943,0.0778,0.1779,9.6257,0.0022,-0.0126,-0.0033,0
963,-0.0652,0.1901,9.794,0.0088,0.0056,-0.0704,0
983,-0.1541,-0.1222,9.8684,-0.003,0.0333,-0.0114,0
1003,-0.106,-0.0787,9.8764,0.0057,0.0107,0.0126,0
1023,-0.0203,0.1528,9.882,-0.0116,0.0146,0.0375,0
1043,0.0299,0.1274,9.9212,0.0195,0.0064,0.0062,0
1063,0.252,0.0507,9.5045,0.032,0.0191,-0.0183,0
1083,-0.0941,0.233,9.914,0.0388,0.0165,0.0346,0
1103,-0.1505,0.1442,9.845,0.0039,-0.0097,0.0222,0
