timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.3827,0.0038,9.868,0.0049,-0.0093,0.0288,0
20,-0.1129,-0.0884,9.7661,-0.0107,-0.0145,-0.0149,0
40,-0.0055,0.0632,9.6976,0.0046,0.0303,-0.0449,0
60,-0.018,-0.0659,9.5832,0.0172,0.0526,0.0166,0
80,-0.1541,-0.0586,10.0413,0.0173,0.0187,0.0145,0
100,0.1414,-0.0189,9.6567,0.0063,-0.0017,-0.0107,0
120,-0.1408,-0.0589,9.6632,0.0269,-0.0208,0.0382,0
140,0.1512,0.0788,9.8688,0.0298,-0.0183,-0.0386,0
160,-0.2892,-0.1632,9.7121,-0.0171,-0.0128,-0.014,0
180,0.0508,0.0224,9.7237,-0.0094,-0.0178,-0.0457,0
200,-0.1317,0.1267,9.8605,0.0128,-0.0247,-0.0013,0
220,-0.0971,0.1387,9.9834,0.0034,0.0262,0.0201,0
240,-0.0429,0.0283,10.0589,-0.0028,0.0189,-0.0027,0
260,0.0537,0.1463,9.8611,-0.0311,0.0275,0.0113,0
280,-0.0007,0.075,9.5584,0.0513,-0.0025,-0.0247,0
301,0.0697,0.1708,9.5941,0.0479,-0.0017,-0.002,0
321,-0.0718,0.0364,9.5571,0.0454,0.0116,0.0248,0
341,0.1571,0.0465,10.1669,0.0262,-0.0022,0.0224,0
361,0.0723,-0.0008,9.8139,0.0057,-0.0322,-0.0022,0
381,-0.0728,0.0676,9.7605,0.0321,-0.0225,-0.0089,0
401,-0.0238,-0.057,9.7744,-0.0079,-0.0414,0.006,0
421,0.0502,0.053,9.7646,-0.032,-0.0035,0.0206,0
441,0.1328,-0.1815,10.1715,0.0235,0.0024,0.0328,0
461,-0.1461,-0.1405,9.9967,-0.0119,-0.0174,0.0125,0
481,-0.1455,-0.0862,9.6252,-0.0031,-0.0103,0.0004,0
501,-0.0391,0.0599,9.8674,0.0175,0.0046,0.0184,0
521,0.0913,-0.059,9.7149,-0.0443,-0.0139,-0.0365,0
541,-0.1019,0.1311,10.1696,-0.0436,-0.0054,0.0196,0
561,-0.275,0.2548,9.7896,0.0169,-0.0123,-0.0087,0
581,0.109,-0.0742,9.9877,-0.0279,0.0268,0.0011,0
602,0.1805,0.1482,10.0303,0.021,-0.0078,-0.0235,0
622,0.13,0.1439,9.8269,-0.0155,0.0134,-0.0161,0
642,-0.0664,0.0379,10.0848,0.0101,-0.0009,0.0359,0
662,-0.0014,-0.1749,9.7908,-0.0043,0.0014,-0.0413,0
682,0.0399,0.1198,9.9029,0.0158,0.0092,-0.0383,0
702,-0.0446,-0.1401,9.5946,-0.0008,0.0259,0.0091,0
722,-0.1981,-0.1027,10.1107,0.0298,-0.0299,-0.0264,0
742,-0.0451,-0.1518,9.8834,-0.0133,0.0054,0.0113,0
762,0.1764,0.0919,10.0109,0.0182,0.0162,0.0563,0
782,-0.0383,-0.0518,9.741,-0.0171,-0.0348,0.0273,0
802,-0.1372,0.0602,9.5132,0.0092,0.0062,0.0171,0
822,0.1308,0.2062,9.7356,-0.0221,0.0207,-0.0012,0
842,0.1277,0.3275,9.8538,0.0195,0.0101,0.0177,0
862,0.0269,0.1908,9.952,0.0189,0.0013,-0.0078,0
882,-0.0645,0.029,9.7091,0.0302,0.0037,0.0034,0
903,0.1054,0.0794,9.9322,-0.0187,0.0286,0.0176,0
923,0.1056,0.0298,9.6538,-0.026,-0.007,-0.0071,0
943,0.0314,0.0959,9.4596,0.0014,-0.0217,-0.008,0
963,0.0498,-0.0484,9.8309,0.0123,0.0201,-0.0212,0
983,-0.3593,-0.0169,9.7741,0.0085,0.0232,0.0088,0
1003,-0.1121,0.0851,9.8621,0.0072,-0.0025,0.0441,0
1023,0.1385,0.1412,10.1698,0.0048,0.0099,0.023,0
1043,0.1252,0.0902,10.15,-0.0116,0.0327,-0.0376,0
1063,-0.1815,-0.0185,10.0938,0.0259,0.0106,0.0101,0
1083,-0.016,0.0686,9.5214,0.0449,-0.0474,0.0148,0
1103,-0.245,0.2023,9.8355,-0.0563,0.0399,0.026,0
1123,-0.0269,0.0654,9.8649,0.019,-0.0076,-0.0333,0
1143,-0.1854,0.1462,10.1415,0.0063,-0.0101,-0.0044,0
1163,-0.0322,0.3709,9.5887,0.0123,0.0336,-0.0133,0
1183,-0.1997,0.1383,10.1068,0.0071,0.0494,-0.027,0
1204,-0.0393,0.052,9.4325,-0.0331,-0.025,0.0242,0
1224,0.2043,-0.0098,9.9967,0.0468,0.025,0.0024,0
1244,0.1218,0.1509,9.5193,-0.0558,0.0134,0.0105,0
1264,-0.041,0.0507,9.8157,-0.0385,-0.0022,-0.037,0
1284,-0.0369,-0.036,9.8615,0.002,0.0087,-0.015,0
1304,0.1897,0.0441,9.6224,-0.0189,-0.0293,0.0184,0
1324,0.1804,-0.1089,9.8539,-0.0555,0.0258,-0.0054,0
1344,0.0807,-0.0358,9.8198,-0.0174,0.0211,-0.0186,0
1364,0.0892,0.1152,9.4312,-0.0132,0.0191,0.025,0
1384,0.1019,0.0468,9.5625,0.0132,0.0275,-0.0188,0
1404,-0.2464,-0.2128,10.0456,-0.0193,-0.0007,-0.0209,0
1424,-0.075,0.1114,9.7239,-0.0089,-0.0101,-0.0338,0
1444,-0.1011,0.2664,9.9488,0.0336,0.0191,0.05,0
1464,0.1086,0.2563,9.7245,0.0059,-0.0281,-0.0118,0
1484,0.0082,0.2029,9.8712,-0.0017,0.0002,-0.0303,0
1505,0.1408,0.386,9.9889,0.0301,-0.006,-0.0158,0
1525,-0.0416,0.0343,9.4262,-0.0069,0.0038,-0.0138,0
1545,0.0078,0.0375,10.0347,0.0569,-0.0182,-0.0113,0
1565,-0.1842,0.3362,9.7611,-0.0083,-0.0157,-0.0215,0
1585,0.0816,0.0196,9.7847,0.0147,0.0017,0.0315,0
1605,-0.0226,-0.0494,9.5802,-0.0195,0.0164,-0.0072,0
1625,0.2845,0.2096,9.8234,-0.023,-0.0723,0.0026,0
1645,0.0282,0.0052,10.1385,0.0091,-0.0426,0.0122,0
1665,-0.1183,-0.1447,9.5733,0.0118,-0.0309,0.0044,0
1685,-0.0432,0.2472,9.839,-0.0446,-0.0055,-0.0038,0
1705,-0.0196,0.4145,9.4297,-0.0337,-0.0096,-0.0491,0
1725,0.0602,-0.0705,9.6374,-0.0129,-0.0113,0.0372,0
1745,0.2097,0.2385,9.6399,0.0037,0.0268,0.0306,0
1765,0.0757,0.0589,9.8213,0.0212,-0.0292,0.001,0
1785,-0.2204,0.3978,9.8487,-0.0053,0.0008,0.0405,0
1806,-0.12,0.0454,9.8185,-0.0381,0.0059,0.0467,0
1826,-0.0677,0.344,9.9958,0.0463,-0.0231,0.0078,0
1846,0.0454,0.0506,9.9075,-0.0639,-0.0038,-0.0232,0
1866,0.0688,0.0988,10.2822,-0.0094,-0.0017,-0.009,0
1886,0.1287,0.2291,9.7868,0.0224,-0.0013,0.0267,0
1906,0.0779,0.2775,9.8632,0.0062,-0.0095,0.0317,0
1926,0.4091,-0.0265,9.6922,0.0027,0.0011,0.0046,0
1946,0.0709,0.012,9.8869,-0.0114,-0.0177,-0.009,0
1966,0.0656,0.2802,9.8126,-0.034,-0.0014,-0.0465,0
1986,-0.2476,0.0619,9.5715,-0.0606,0.0004,-0.045,0
2006,-0.1836,0.2448,10.0064,0.0346,0.0338,0.0509,0
2026,-0.1402,0.0213,10.0425,0.0358,-0.016,0.0251,0
2046,0.1161,0.1959,9.9714,-0.0012,0.0203,0.0706,0
2066,0.4267,0.1725,9.538,0.0106,-0.0077,0.0586,0
2086,0.1361,0.0755,9.5445,0.0178,0.0099,0.0882,0
2107,0.4272,0.2631,9.7835,0.0049,-0.0013,0.1037,0
2127,0.8465,-0.1266,9.8502,-0.0327,0.0202,0.1005,0
2147,0.5322,-0.0362,9.6754,0.0405,0.0033,0.1542,0
2167,0.9378,0.1985,9.7413,-0.0412,0.0093,0.1646,0
2187,0.6006,0.1587,9.7499,-0.0054,-0.0133,0.1316,0
2207,1.0222,0.1275,9.7815,0.0075,0.0233,0.1927,0
2227,0.7032,0.33,9.9022,0.0103,-0.0031,0.1976,0
2247,0.992,0.3073,9.746,-0.0239,-0.0251,0.2687,0
2267,1.0654,0.2657,10.0756,-0.0195,0.0442,0.2057,0
2287,0.9007,-0.0705,9.6968,-0.0106,0.0136,0.2569,0
2307,1.0059,0.2423,9.7662,0.0061,-0.0203,0.28,0
2327,1.1905,0.2215,9.7897,-0.0179,0.0332,0.3149,0
2347,1.3591,-0.0012,9.7148,-0.0299,0.0135,0.2796,0
2367,1.3611,0.2422,9.8651,0.0191,-0.0044,0.3003,0
2387,1.7065,0.3814,9.6587,-0.01,-0.026,0.36,0
2408,1.6311,0.2317,9.6229,-0.0172,0.0164,0.3469,0
2428,1.6366,0.1744,9.6333,0.0003,-0.0237,0.4084,0
2448,1.8345,0.2331,9.9083,0.0261,-0.0557,0.3991,0
2468,1.788,0.4276,9.8661,0.0046,0.0121,0.3654,0
2488,1.7035,0.2393,9.7506,0.0013,0.0094,0.4477,0
2508,1.8283,0.5107,9.7721,0.017,0.0196,0.4993,0
2528,2.0429,0.3955,9.821,-0.0036,0.0088,0.4732,0
2548,1.9837,0.3531,9.7476,-0.0228,-0.0067,0.445,0
2568,2.2688,0.0249,9.8023,-0.0003,-0.0441,0.4928,0
2588,1.9038,0.1064,9.8388,-0.0567,0.0166,0.5427,0
