timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.1197,0.1225,9.7256,0.0126,-0.0409,-0.0163,0
20,0.0553,-0.0834,9.7199,-0.003,-0.0249,0.0296,0
40,-0.0888,0.0321,10.2572,0.0418,-0.0383,0.0186,0
60,0.0242,0.0464,9.8765,-0.0035,0.0047,0.0146,0
80,-0.1063,0.1572,10.3818,-0.0466,0.013,-0.0404,0
100,0.2481,-0.0075,9.7648,0.0224,0.0064,-0.0361,0
120,0.1378,-0.0522,9.9822,-0.0107,-0.0078,0.0128,0
140,-0.0607,0.0242,9.3039,0.0245,0.0174,-0.0236,0
160,-0.0414,-0.2997,9.8425,0.02,0.0496,0.0331,0
180,-0.0439,-0.0909,9.9761,0.0085,-0.0101,-0.0052,0
200,0.0942,-0.2365,9.8724,-0.0256,-0.0132,0.0554,0
220,0.1137,0.226,10.2997,-0.0271,0.0078,-0.0289,0
240,0.1691,0.0236,9.591,-0.0363,0.0112,-0.0203,0
260,-0.0285,0.0313,9.5543,-0.052,-0.0143,0.0212,0
280,0.0446,0.0465,9.7359,0.0343,0.0108,-0.0014,0
301,0.0232,0.1868,9.7544,-0.0381,0.0122,-0.0415,0
321,0.1327,0.0768,9.6202,-0.0162,0.03,-0.0334,0
341,-0.1619,-0.0942,9.388,0.0026,-0.03,0.0249,0
361,-0.0047,0.0689,9.9683,0.0351,0.0094,-0.0164,0
381,-0.3296,0.2138,9.8116,0.0266,0.0092,-0.0289,0
401,-0.1479,0.0484,9.7542,-0.0089,-0.052,-0.021,0
421,-0.1356,-0.0601,9.8313,-0.0309,0.0349,-0.0478,0
441,0.1242,0.0635,9.8223,0.0127,0.0022,0.0202,0
461,0.3198,0.0498,9.9417,-0.0322,-0.0501,-0.0003,0
481,0.1426,0.0721,10.0688,-0.0301,-0.046,-0.0144,0
501,-0.1784,-0.0061,9.7883,-0.0335,-0.0353,-0.0027,0
521,-0.2542,-0.0856,9.6393,-0.0278,0.0134,0.0509,0
541,0.1598,-0.1161,9.9653,0.01,0.0363,-0.0108,0
561,0.1094,0.1569,9.9867,0.0014,0.0223,0.0045,0
581,0.1093,0.155,9.7925,-0.0124,-0.0188,-0.01,0
602,0.0177,0.0817,9.7501,-0.0835,0.016,0.0212,0
622,-0.1126,-0.0662,9.7596,-0.0033,-0.0428,-0.0542,0
642,-0.2052,-0.052,9.6685,0.0354,-0.0245,-0.0083,0
662,-0.0114,-0.2284,10.0749,-0.0113,0.0283,-0.0183,0
682,0.0745,-0.006,9.9762,0.021,-0.039,-0.0217,0
702,0.1021,0.2313,9.8809,-0.0049,-0.0223,-0.0198,0
722,0.0074,0.1885,9.5983,-0.0105,0.0123,0.0265,0
742,-0.1576,0.0552,9.9194,-0.0047,-0.0067,-0.014,0
762,0.3059,0.0567,9.8087,0.0333,0.0064,0.0301,0
782,-0.3925,-0.0278,10.0773,-0.0103,-0.0008,-0.0105,0
802,0.0379,0.0783,9.8176,-0.01,0.0265,-0.0369,0
822,0.1113,0.1212,9.9339,-0.0056,0.0036,0.0257,0
842,-0.2783,0.2323,10.0066,0.0489,-0.0407,-0.0027,0
862,-0.003,-0.1368,9.7274,-0.0547,0.0283,-0.0367,0
882,-0.3161,0.0549,10.0762,0.0211,-0.0201,0.0146,0
903,0.0928,0.0978,9.7403,-0.014,-0.0206,-0.0426,0
923,-0.0565,-0.1124,9.7624,0.0204,-0.0342,0.002,0
943,-0.0412,-0.0291,9.8565,-0.0224,0.0066,-0.0022,0
963,-0.162,0.084,9.8928,-0.007,0.0327,-0.0265,0
983,0.1791,0.371,9.8414,0.0021,-0.0298,-0.0033,0
1003,-0.2772,0.3845,9.8563,0.0171,-0.0127,0.0195,0
1023,-0.1065,-0.0162,10.0802,0.0223,-0.0085,0.0067,0
1043,-0.1225,-0.1016,9.8829,-0.0059,0.0214,-0.0097,0
1063,0.1,0.2123,9.5443,-0.0088,-0.0552,0.0025,0
1083,-0.0045,0.0605,9.8907,0.0013,-0.0561,-0.0114,0
1103,-0.3195,-0.0317,9.5434,0.0092,0.0102,0.033,0
1123,-0.0911,0.0951,9.7789,-0.006,-0.0347,-0.0235,0
1143,0.0832,-0.1472,9.7545,0.0025,0.0226,-0.0185,0
1163,-0.0331,0.1096,9.6194,0.0231,-0.0028,-0.0195,0
1183,-0.1322,0.2971,9.8261,-0.0264,-0.0425,-0.0298,0
1204,0.041,0.1757,9.7654,0.0186,-0.0065,-0.0375,0
1224,-0.0014,0.3083,9.8388,0.025,0.0767,-0.031,0
1244,0.0634,0.3741,9.652,0.0106,-0.0016,-0.0214,0
1264,0.0043,-0.1206,9.9677,-0.0106,-0.0002,0.0248,0
1284,-0.0911,-0.1442,9.8672,-0.0065,-0.0168,-0.0117,0
1304,-0.3538,0.2444,9.8589,-0.047,0.0259,-0.0724,0
1324,-0.0134,0.0675,9.6221,0.0531,0.0059,0.0074,0
1344,0.2629,0.0269,10.1035,-0.0233,-0.0187,0.015,0
1364,0.0494,0.1106,9.8843,0.0372,-0.0144,-0.0005,0
1384,0.0459,0.1822,9.687,-0.0437,-0.0248,0.0283,0
1404,-0.1356,0.3645,9.657,-0.028,0.002,0.0123,0
1424,0.0072,0.2648,9.5504,0.0307,-0.0076,0.0129,0
1444,0.1833,0.2335,10.0767,0.0119,-0.002,0.0277,0
1464,-0.1012,0.0718,10.1415,-0.0227,-0.006,0.0258,0
1484,0.2371,-0.0077,9.8178,-0.0173,0.0302,-0.0002,0
1505,0.0801,0.0229,9.687,-0.0171,0.0319,0.0218,0
1525,0.089,0.0319,9.6209,-0.0036,0.0091,-0.0175,0
1545,0.2295,0.2448,9.8537,-0.0053,0.0102,-0.0281,0
1565,-0.0193,0.159,9.8014,0.0607,-0.0182,-0.0426,0
1585,-0.0659,0.1633,9.897,-0.0264,-0.0021,0.0184,0
1605,0.0022,0.1094,9.939,0.0062,-0.0322,-0.038,0
1625,-0.1258,0.2106,9.7586,-0.0128,-0.0007,0.0168,0
1645,-0.1756,0.3052,9.8563,0.0167,0.0131,0.019,0
1665,0.0725,-0.013,10.1111,0.0218,0.013,-0.0254,0
1685,-0.1443,0.1734,10.1357,-0.0092,-0.0031,0.0024,0
1705,-0.0331,0.3458,9.515,0.0228,0.0063,-0.0175,0
1725,0.0078,0.2128,9.7956,0.0193,-0.0123,0.0089,0
1745,0.0453,0.1549,10.2098,-0.0185,-0.0245,-0.0113,0
1765,-0.0822,0.0878,9.8601,0.0248,-0.0267,0.0198,0
1785,0.0154,0.0475,9.9969,-0.0164,0.0233,0.015,0
1806,-0.051,0.1456,9.9144,0.0274,-0.0303,-0.0702,0
1826,0.1041,0.2333,10.0937,0.0069,-0.0087,-0.0404,0
1846,0.0783,0.0601,9.4694,-0.0011,0.0004,0.0003,0
1866,-0.1391,0.3229,9.8026,-0.0347,-0.0402,0.0023,0
1886,-0.0057,0.1095,9.7909,0.0191,-0.0311,0.0217,0
1906,-0.1096,-0.0351,9.5891,0.0092,0.0131,-0.0122,0
1926,0.2322,0.3407,10.2049,0.0375,-0.019,0.0162,0
