timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.0217,0.1351,9.8792,-0.0025,-0.0293,0.0338,0
20,-0.1008,-0.2356,10.1018,-0.0043,-0.0193,0.0225,0
40,-0.0178,-0.1005,9.727,0.0232,-0.0154,0.0109,0
60,-0.0279,0.1744,9.7344,-0.0545,-0.0112,0.0508,0
80,-0.244,0.0664,9.6329,-0.0132,0.0623,0.0177,0
100,0.2057,-0.0915,9.7555,0.0632,-0.0114,-0.0289,0
120,-0.0594,0.1612,9.9228,-0.0023,0.0128,0.0074,0
140,-0.012,0.0618,9.7071,0.0268,-0.021,0.0142,0
160,0.0645,0.1565,10.015,-0.0029,0.0243,-0.0425,0
180,-0.0248,-0.039,9.9366,0.0066,-0.0327,-0.0371,0
200,0.198,0.1892,9.6907,0.0155,0.0158,-0.0039,0
220,-0.0921,0.1728,9.9533,0.0197,0.0363,0.0175,0
240,0.1741,0.036,9.7727,-0.0059,0.0162,-0.0046,0
260,0.0097,0.0729,9.7017,0.0355,0.0088,-0.0447,0
280,0.0393,-0.1249,9.9721,0.0431,0.0261,-0.0247,0
301,-0.1139,-0.0268,9.6686,0.0214,-0.0543,0.0061,0
321,0.35,0.1,9.5412,0.0432,0.0438,0.0211,0
341,-0.2898,-0.2101,10.053,-0.0227,-0.0115,0.0372,0
361,-0.0291,0.2026,9.6564,0.0242,0.0233,0.0315,0
381,0.2497,-0.2232,9.9301,0.0554,0.02,0.0156,0
401,-0.0513,-0.0026,10.0449,-0.0157,-0.032,-0.0121,0
421,0.1334,0.1254,9.9852,-0.0693,-0.0329,0.0346,0
441,0.0587,-0.1747,10.0964,-0.0219,-0.0617,0.0619,0
461,-0.0505,-0.0864,9.4812,0.0189,-0.0099,-0.019,0
481,-0.07,-0.083,9.7038,-0.0355,-0.0261,-0.0053,0
501,-0.0485,0.1903,9.8532,-0.0069,-0.0082,0.0053,0
521,0.0294,-0.0007,10.0127,0.0219,-0.0423,-0.0034,0
541,-0.1093,0.225,9.9034,-0.0211,-0.0071,0.0437,0
561,0.1319,-0.0143,10.1211,0.0193,0.0034,0.0071,0
